cate1,cate2,Q,A
결혼중개업,결격사유 확인,직원을 두고 결혼중개업을 하려고 하는데요. 혹시 결혼중개업을 운영하거나 종사할 수 없는 사람도 있나요?,"다음의 어느 하나에 해당하는 사람은 결혼중개업을 운영하거나 그 업무에 종사할 수 없습니다(규제「결혼중개업의 관리에 관한 법률」 제6조).
1. 미성년자·피성년후견인·피한정후견인 또는 파산선고를 받고 복권되지 않은 사람
2. 금고 이상의 실형을 선고받고 그 집행이 종료(집행이 종료된 것으로 보는 경우를 포함)되거나 집행이 면제된 날부터 2년이 경과되지 않은 사람
3. 금고 이상의 형의 집행유예를 선고받고 그 유예기간 중에 있는 사람
4. 위의 2. 및 3. 에도 불구하고 「결혼중개업의 관리에 관한 법률」,「형법」제228조 및 제287조부터 제294조까지의 규정, 「특정범죄가중처벌 등에 관한 법률」 제5조의2,「성매매알선 등 행위의 처벌에 관한 법률」, 「풍속영업의 규제에 관한 법률」, 「아동·청소년의 성보호에 관한 법률」 또는 「출입국관리법」제7조의2 및 제18조제4항을 위반하여 벌금 이상의 형의 선고(범칙금 통고처분을 포함)를 받고 그 집행이 종료되거나 집행을 받지 않기로 확정된 후 3년이 경과되지 않은 사람
5. 국제결혼 중개행위 관련 외국의 현지 형사법령 또는 행정법령을 위반하여 형 또는 행정처분이 확정(형사법령을 위반한 경우에는 형을 집행하지 않기로 확정된 경우를 포함)되어 그 집행이 종료된 후 3년이 경과되지 않은 사람
6. 규제「결혼중개업의 관리에 관한 법률」 제18조에 따라 등록이 취소되거나 영업소가 폐쇄된 후 3년이 경과되지 않은 사람(위 1.에 해당하여 등록이 취소되거나 영업소가 폐쇄된 경우는 제외)
7. 임원 중에 위의 1.~6.의 어느 하나에 해당하는 사람이 있는 법인"
경비(업),특수경비원,특수경비원과 청원경찰은 어떻게 다른가요?,"특수경비원과 청원경찰은 국가중요시설의 경비를 담당하고 있어서 외관은 비슷하지만, 특수경비원은 「경비업법」의 적용을 받고, 청원경찰은 「청원경찰법」의 적용을 받습니다.
◇ 특수경비원이란
☞ 공항(항공기를 포함)·항만, 원자력발전소 등의 시설 중 국가정보원장이 지정하는 국가보안목표시설과 국방부장관이 관계 행정기관의 장 및 국가정보원장과 협의하여 지정하는 국가중요시설의 경비 및 도난·화재 그 밖의 위험발생을 방지하는 경비업무를 수행하는 자를 말합니다.
◇ 청원경찰이란
☞ 다음 어느 하나에 해당하는 기관의 장 또는 시설·사업장 등의 경영자가 경비(청원경찰경비)를 부담할 것을 조건으로 경찰의 배치를 신청하는 경우 그 기관·시설 또는 사업장 등의 경비(警備)를 담당하게 하기 위해 배치하는 경찰을 말합니다.
· 국가기관 또는 공공단체와 그 관리하에 있는 중요 시설 또는 사업장
· 국내 주재(駐在) 외국기관
· 선박, 항공기 등 수송시설
· 금융 또는 보험을 업(業)으로 하는 시설 또는 사업장
· 언론, 통신, 방송 또는 인쇄를 업으로 하는 시설 또는 사업장
· 학교 등 육영시설
· 「의료법」에 따른 의료기관
· 그 밖에 공공의 안녕질서 유지와 국민경제를 위하여 고도의 경비(警備)가 필요한 중요 시설, 사업체 또는 장소
☞ 청원경찰은 「청원경찰법」제4조제2항에 따라 청원경찰의 배치 결정을 받은 자(청원주)와 배치된 기관·시설 또는 사업장 등의 구역을 관할하는 경찰서장의 감독을 받아 그 경비구역만의 경비를 목적으로 필요한 범위에서 「경찰관 직무집행법」에 따른 경찰관의 직무를 수행합니다."
귀농인,귀농준비 및 귀농 종합상담,귀농을 결심했지만 막상 무엇을 해야 할지 막막합니다. 체계적인 상담을 받을 수 있는 곳이 있을까요?,"귀농을 결심했지만 무엇을 해야 할지 막막할 경우 귀농귀촌종합센터, 귀농귀촌 창업박람회 및 귀농귀촌 창업박람회와 각 지방자치단체별 상담기관 등을 통하여 상담을 받을 수 있습니다.
◇ 귀농상담 : 귀농귀촌종합센터, 농업교육포털: 귀농귀촌 종합센터와 농업교육포털은 귀농인들에게 전화와 인터넷 상담 및 방문 상담으로 도움을 주고 있습니다.
· 전화상담: ☎ 1899-9097
· 인터넷상담: www.returnfarm.com(귀농귀촌종합센터), www.agriedu.net(농업교육포털)
· 방문상담: 귀농귀촌종합센터"
네일샵 창업ㆍ운영,영업신고·변경,네일샵을 내고 영업을 하려 했더니 일단 영업신고를 해야 한다고 하네요. 영업신고는 어떻게 하나요?,"네일 미용업을 하려면 영업설비 구비 및 사전 위생교육 이수 등을 마친 후 시장·군수 또는 구청장에게 영업신고서와 필요한 첨부서류를 제출하여 영업신고를 해야 합니다.
◇ 영업신고 : 네일 미용업을 하려는 자는 영업설비 구비 및 위생교육 이수 등을 마친 후 해당 시장·군수 또는 구청장에게 영업신고를 해야 합니다. 영업신고를 하려는 자는 다음의 서류를 해당 시장·군수 또는 구청장에게 제출해야 합니다.
· 영업신고서
· 영업시설 및 설비개요서
· 교육수료증(교육을 사전에 받은 경우에만 해당)
· 「국유재산법 시행규칙」 제14조제3항에 따른 국유재산사용허가서(국유철도 정거장 시설에서 영업하려고 하는 경우에만 해당함)
· 철도사업자(도시철도사업자를 포함)와 체결한 철도시설 사용계약에 관한 서류(국유철도외의철도 정거장 시설에서 영업하려고 하는 경우에만 해당)"
동업계약,동업계약의 개념 및 유형,동업계약도 체결 방식에 따라 종류가 나눠지나요?,"네, 동업계약의 체결 방식에 따라 종류가 나뉘며 적용되는 법률도 달라집니다.
◇ 동업계약의 유형
1. 동업자끼리 동일한 조건으로 체결한 동업계약(「민법」상의 조합)
· 동업자 모두 자본 또는 노무를 출자하는 것으로 계약을 체결하는 일반적인 형태의 동업계약을 말합니다. 예를 들어 3명의 친구가 모여 음식점을 하기로 하고 한 명은 건물을, 한 명은 현금을, 한 명은 그곳에서 일하는 노무를 제공하기로 체결한 동업계약을 통해 만들어진 동업체가 「민법」상의 조합에 해당합니다.
2. 자본만을 출자하는 동업자가 있는 동업계약 중 출자자본이 영업을 하는 동업자의 소유가 되는 동업계약(「상법」상의 익명조합)
· 동업자 중 한 당사자는 자본과 노무를 출자하고, 다른 당사자는 자본만을 출자하는 형태인 동업계약을 말하는데 출자재산은 노무를 출자해 영업을 담당하는 동업자의 소유가 되는 동업계약이 이에 해당합니다. 예를 들어 영화제작사가 거액의 영화제작비를 조달하기 위해 출자자를 모집해 필요한 자금을 조달하는 경우와 같이 출자금은 영화제작사의 소유가 되고 영업도 영화제작사가 단독으로 수행하며, 익명조합원인 출자자와는 내부적인 관계에서만 인정되는 형태입니다.
3. 자본만을 출자하는 동업자가 있는 동업계약 중 출자자본이 공동소유가 되는 동업계약(「상법」상의 합자조합)
· 동업자 중 한 당사자는 자본과 노무를 출자하고, 다른 당사자는 자본만을 출자하는 형태의 동업계약을 말하며 출자재산은 동업자의 공동소유가 되는 동업계약이 이에 해당합니다. 예를 들어 발명가인 A씨의 아이디어가 투자가치가 있다고 판단한 재산가 B씨가 10억을 투자하기로 하고 동업체를 만든 경우 발명가이자 영업자인 A씨는 무한책임을 지는 업무집행조합원이 되고, B씨는 동업체의 구성원으로써 10억 한도 내에서만 책임을 지는 유한책임조합원이 됩니다.
4. 회사를 만들기로 하는 동업계약
· 동업으로 회사를 만들어 운영하는 경우는 「상법」의 합명회사, 합자회사에 관한 규정에 따라 규율됩니다."
메이크업샵 창업ㆍ운영,미용업(메이크업)의 개념 및 범위,뷰티에 관심이 많아 메이크업샵을 창업하고 싶어요. 메이크업샵의 영업범위와 요구되는 자격이 있나요?,"메이크업샵은 메이크업 면허의 범위 내에서 영업을 할 수 있으며, 창업하려는 사람은 메이크업 면허를 취득해야 합니다.
◇ 미용업(메이크업)의 영업범위
√얼굴 등 신체의 화장 및 분장, 눈썹손질(의료기기나 의약품을 사용하지 않음)
☞ 그 밖에 미용업의 종류는 다음과 같습니다
미용업(일반) - 파마·머리카락자르기·머리카락모양내기·머리피부손질·머리카락염색·머리감기, 의료기기나 의약품을 사용하지 않는 눈썹손질을 하는 영업
미용업(피부) - 의료기기나 의약품을 사용하지 않는 피부상태분석·피부관리·제모(除毛)·눈썹손질을 하는 영업
미용업(손톱·발톱) - 손톱과 발톱을 손질·화장(化粧)하는 영업
미용업(종합) - 위의 업무를 모두 하는 영업
◇ 미용업(메이크업)의 업무범위 - 미용사(메이크업) 면허를 받은 사람만이 메이크업샵을 개설하거나 그 업무에 종사할 수 있습니다."
미용실 창업ㆍ운영,미용사 면허 취득 요건,미용사가 되고 싶은데 미용사 면허를 받으려면 어떻게 하면 되나요?,일정한 교육과정을 이수하거나 「국가기술자격법」에 따른 미용사 자격증을 취득하면 미용사 면허를 받을 수 있습니다. 다음의 어느 하나에 해당하는 사람은 미용사 면허를 취득할 수 있습니다. 전문대학 또는 이와 같은 수준 이상의 학력이 있다고 교육부장관이 인정하는 학교에서 미용에 관한 학과를 졸업한 사람. 「학점인정 등에 관한 법률」 제8조에 따라 대학 또는 전문대학을 졸업한 사람과 같은 수준 이상의 학력이 있는 것으로 인정되어 미용에 관한 학위를 취득한 사람. 고등학교 또는 이와 같은 수준의 학력이 있다고 교육부장관이 인정하는 학교에서 미용에 관한 학과를 졸업한 사람. 교육부장관이 인정하는 고등기술학교에서 1년 이상 미용에 관한 소정의 과정을 이수한 사람. 「국가기술자격법」에 따른 미용사의 자격을 취득한 사람
민간임대주택사업자,임대사업자에 대한 혜택,"현재 오피스텔 몇 채를 임대하고 있는데요, 뉴스에서 민간임대주택시장 활성화를 위해 민간임대주택사업자로 등록하여 임대사업을 하면 많은 혜택이 있다고 하는데, 어떤 혜택을 받을 수 있나요?","「민간임대주택에 관한 법률」에 따른 임대사업자로 등록하여 임대업을 할 경우, 임대의무기간, 연 5%의 임대료 증액제한 등의 의무가 따르지만, 주택도시기금의 자금지원, 취득세 등 세금 감면, 토지의 우선공급, 용적률·건폐율, 층수제한 완화 등 다양한 혜택을 받을 수 있습니다.
◇ 토지의 우선공급 등 지원 - 국가·지방자치단체·공공기관 또는 지방공사가 그가 소유하거나 조성한 토지를 공급(매각 또는 임대를 말함)하는 경우에는 민간임대주택을 건설하려는 임대사업자에게 우선적으로 공급할 수 있습니다.
◇ 건폐율, 용적률, 층수제한 완화 - 임대사업자가 공공지원민간임대주택을 건설하기 위해 사업계획승인을 신청하거나 건축허가를 신청하는 경우에 건폐율과 용적률의 경우 완화된 기준을 적용할 수 있으며, 다세대주택의 경우 층수를 5층까지 건축할 수 있습니다.
◇ 세금 감면 혜택 - 임대사업자는 취득세, 양도소득세, 재산세, 종합부동산세 등의 세제혜택을 받을 수 있습니다."
민박 사업자,민박 및 민박 사업자란?,민박 사업과 펜션 사업은 다른 건가요?,"현행 법령에서 허용하고 있는 민박사업은 「농어촌정비법」에 따른 농어촌민박사업에 한합니다. 따라서 민박사업을 하려는 경우에는 「농어촌정비법」에 따른 시설기준을 준수해야 하며, 농어촌민박사업자 신고를 하고 농어촌민박사업을 운영해야 합니다.
농어촌민박을 운영하는 사업자나 이용객 모두 ‘농어촌민박’이라는 법령상의 용어 대신 펜션이라는 용어를 많이 사용하고 있습니다. 실제로 농어촌민박사업으로 신고했지만 상호에는 ‘00 펜션’이라는 용어를 쓰는 경우가 적지 않습니다.
그러나 「공중위생관리법」에 따른 숙박시설과 「관광진흥법」에 따른 관광펜션 및 「제주특별자치도 설치 및 국제자유도시 조성을 위한 특별법」에 따른 휴양펜션이 아닌 경우는 상호가 ‘펜션’이라도 법률상으로는 농어촌민박임을 유의하시기 바랍니다."
반찬가게 창업ㆍ운영,반찬가게 영업시설,반찬가게를 창업하려면 어떤 시설을 갖추어야 하나요?,"반찬가게를 하려는 사람은 「식품위생법」에 따라 건물, 작업장, 식품취급시설, 급수시설, 판매시설 및 화장실 등의 시설기준을 갖추어야 합니다.
◇ 즉석판매제조·가공업의 시설기준
독립된 건물이거나 즉석판매제조·가공 외의 용도로 사용되는 시설과 분리 또는 구획되어야 합니다. 다만, 백화점 등 식품을 전문으로 취급하는 일정장소(식당가·식품매장 등을 말한다) 또는 일반음식점·휴게음식점·제과점 영업장과 직접 접한 장소에서 즉석판매제조·가공업의 영업을 하려는 경우로서 식품위생상 위해발생의 우려가 없다고 인정되는 때에는 그렇지 않습니다. 건물의 위치는 축산폐수·화학물질 그 밖에 오염물질의 발생시설로부터 식품에 나쁜 영향을 주지 않는 거리를 두어야 합니다. 건물의 구조는 제조하려는 식품의 특성에 따라 적정한 온도가 유지될 수 있고, 환기가 잘 될 수 있어야 합니다. 건물의 자재는 식품에 나쁜 영향을 주지 않고 식품을 오염시키지 않는 것이어야 합니다. 식품을 위생적으로 유지·보관할 수 있는 진열·판매시설을 갖추어야 합니다."
