cate1,Q,A,paragraph
1인 가구,SH공사가 지원하는 1인 가구 주택에는 어떤 것들이 있나요?,"행복주택, 원룸형 임대주택, 청년협동조합 공공주택,희망하우징, 두레주택, 대학생 전세임대","급증하고 있는 1인 가구의 유형별·세대별 주거, 안전, 건강, 재정, 여가 등과 관련한 법령 정보 및 지원정책 등을 소개합니다. 1인 가구란 1인이 독립적으로 취사, 취침 등의 생계를 유지하는 가구를 말합니다. 한국토지주택공사 및 SH공사는 행복주택, 원룸형 임대주택, 청년협동조합 공공주택,희망하우징, 두레주택, 대학생 전세임대 등 1인 가구를 위한 주택을 공급·지원하고 있습니다. 정부는 무주택 서민층의 주거안정을 위해 국민주택기금으로 전세자금 및 보금자리 마련에 필요한 자금을 대출해 주고 있습니다. 독립적인 주거생활을 하는 데 지장이 없는 60세 이상의 사람은 노인복지주택에 입소할 수 있습니다. “성범죄자 알림e”는 해당 읍, 면, 동을 검색해 지역별로 거주하는 성범죄자의 신상정보뿐만 아니라 성범죄 예방과 피해자 지원 안내 정보를 제공하고 있습니다. 저녁취약시간에 여성과 학생의 안전한 귀가를 위해 여성·학생 안전귀가 지원 서비스를 제공하고 있습니다. 1인 가구 여성들이 많이 거주하고 있는 다가구·다세대 주택가와 원룸촌을 중심으로 무인택배보관함을 운영하고 있어 낯선 사람을 직접 대면하지 않고 택배를 받을 수 있습니다. 위급한 상황에서 휴대폰, 스마트폰을 이용한 신고를 통해 신속하게 112신고 센터에 긴급상황과 신고자 위치정보를 제공하는 ‘SOS 국민안심 서비스’가 있습니다. "
1인 가구,1인 가구를 위한 주거지원에는 무엇이 있나요?,"한국토지주택공사 및 SH공사는 행복주택, 원룸형 임대주택, 청년협동조합 공공주택,희망하우징, 두레주택, 대학생 전세임대 등 1인 가구를 위한 주택을 공급·지원하고 있습니다.","급증하고 있는 1인 가구의 유형별·세대별 주거, 안전, 건강, 재정, 여가 등과 관련한 법령 정보 및 지원정책 등을 소개합니다. 1인 가구란 1인이 독립적으로 취사, 취침 등의 생계를 유지하는 가구를 말합니다. 한국토지주택공사 및 SH공사는 행복주택, 원룸형 임대주택, 청년협동조합 공공주택,희망하우징, 두레주택, 대학생 전세임대 등 1인 가구를 위한 주택을 공급·지원하고 있습니다. 정부는 무주택 서민층의 주거안정을 위해 국민주택기금으로 전세자금 및 보금자리 마련에 필요한 자금을 대출해 주고 있습니다. 독립적인 주거생활을 하는 데 지장이 없는 60세 이상의 사람은 노인복지주택에 입소할 수 있습니다. “성범죄자 알림e”는 해당 읍, 면, 동을 검색해 지역별로 거주하는 성범죄자의 신상정보뿐만 아니라 성범죄 예방과 피해자 지원 안내 정보를 제공하고 있습니다. 저녁취약시간에 여성과 학생의 안전한 귀가를 위해 여성·학생 안전귀가 지원 서비스를 제공하고 있습니다. 1인 가구 여성들이 많이 거주하고 있는 다가구·다세대 주택가와 원룸촌을 중심으로 무인택배보관함을 운영하고 있어 낯선 사람을 직접 대면하지 않고 택배를 받을 수 있습니다. 위급한 상황에서 휴대폰, 스마트폰을 이용한 신고를 통해 신속하게 112신고 센터에 긴급상황과 신고자 위치정보를 제공하는 ‘SOS 국민안심 서비스’가 있습니다. "
1회용품 줄이기,목욕탕에 1회용품을 무상으로 제공해도 될까요?,목욕장업에서는 1회용품을 무상으로 제공할 수 없습니다.,"목욕장업에서는 1회용품을 무상으로 제공할 수 없습니다. “목욕장업”이란 다음의 어느 하나에 해당하는 서비스를 손님에게 제공하는 영업을 말합니다. 다만, 다음에 해당하는 시설은 목욕장업에서 제외됩니다. 체육시설에서는 1회용품을 무상으로 제공할 수 없습니다. “체육시설”이란 체육 활동에 지속적으로 이용되는 시설과 그 부대시설을 말합니다."
1회용품 줄이기,체육시설에서 무상으로 1회용품을 제공할 수 있나요?,체육시설에서는 1회용 응원용품을 무상으로 제공할 수 없습니다,"목욕장업에서는 1회용품을 무상으로 제공할 수 없습니다. “목욕장업”이란 다음의 어느 하나에 해당하는 서비스를 손님에게 제공하는 영업을 말합니다. 다만, 다음에 해당하는 시설은 목욕장업에서 제외됩니다. 체육시설에서는 1회용품을 무상으로 제공할 수 없습니다. “체육시설”이란 체육 활동에 지속적으로 이용되는 시설과 그 부대시설을 말합니다."
ICT 규제샌드박스,신속처리제도란 무슨 서비스를 말하는 것인가요?,정보통신 및 정보통신융합 신기술·서비스에 대한 법령 적용 여부 또는 허가 등의 필요 여부를 신속하게 확인해 주는 서비스,“신속처리제도”란 정보통신 및 정보통신융합 신기술·서비스에 대한 법령 적용 여부 또는 허가 등의 필요 여부를 신속하게 확인해 주는 서비스를 말합니다. 신규 정보통신융합 등 기술·서비스를 활용하여 사업을 하려는 자는 과학기술정보통신부장관에게 해당 사업에 대한 신규 정보통신융합 등의 기술·서비스와 관련된 법령에 따른 허가·승인·등록·인가·검증 등의 필요 여부 등을 확인해 줄 것을 신청할 수 있습니다. 신속처리를 신청하려는 자는 다음의 서류를 과학기술정보통신부장관에게 제출해야 합니다. 과학기술정보통신부장관은 신속처리 신청을 받은 경우 신청사실 및 신청내용을 관계 중앙행정기관 및 지방자치단체의 장에게 통보해야 합니다. 과학기술정보통신부장관 및 관계기관의 장은 신청 내용에 보완이 필요하다고 판단되는 경우에는 보완에 필요한 상당한 기간을 정하여 보완을 요구할 수 있습니다. 관계기관의 장은 신속처리 신청사실을 통보받은 날부터 30일 이내에 신규 정보통신융합 등 기술·서비스의 소관 업무 여부 및 허가 등의 필요 여부를 과학기술정보통신부장관에게 회신해야 합니다. 관계기관의 장은 신속처리 신청이 관계 법령에 따른 허가 등이 필요하다고 판단할 경우에는 허가 등에 필요한 조건 및 절차 등을 함께 회신해야 합니다. 
가공식품,동등성 인정제품에 대한 유기표시는 무엇을 따르나요?,유기가공식품의 표시방법,"동등성을 인정할 수 있는 유기가공식품의 구체적인 범위는 농림축산식품부장관 및 해양수산부장관이 동등성 인정을 신청한 해당 국가의 정부와 협의하여 정할 수 있습니다. 동등성 인정제품에 대한 유기표시는 유기가공식품의 표시방법을 따릅니다. 우리나라는 현재 미국, 유럽연합과 상호 동등성인정 협정이 체결되어 있으며, 동등성 인정 협정에 따라 수입된 유기가공식품은 양국의 로고를 함께 또는 선택하여 사용할 수 있습니다. 동등성 인정 협정국의 표시도형은 다음과 같습니다. 유기가공식품의 인증표시와 관련한 더욱 자세한 내용은 이 사이트가공식품유기가공식품 인증제도에서 확인할 수 있으며, 동등성을 인정받은 국가현황 및 협정문 등 이와 관련된 자료는 친환경인증관리 정보시스템에서 확인할 수 있습니다. 유기표시가 된 인증품 또는 동등성이 인정된 인증을 받은 유기가공식품을 판매나 영업에 사용할 목적으로 수입하려는 자는 해당 제품의 통관절차가 끝나기 전에 수입 품목, 수량 등을 농림축산식품부장관 또는 해양수산부장관에게 신고해야 합니다. 수입 유기가공식품 신고대상품목은 다음과 같습니다. 수입 유기가공식품의 의무적인 표시사항은 다음과 같습니다. 수입 유기가공식품 중 국내인증을 별도로 받거나, 동등성 인정 협정국가에서 수입한 유기가공식품의 경우에 한해 국내인증 표시도형을 사용할 수 있습니다. 다만, 포장을 하지 않은 상태로 판매하거나 낱개로 판매하는 경우에는 농림축산식품부 소관 친환경농어업 육성 및 유기식품 등의 관리·지원에 관한 법률 시행규칙 별표 6 및 해양수산부 소관 친환경농어업 육성 및 유기식품 등의 관리·지원에 관한 법률 시행규칙 별표 6의 유기식품 등의 인증정보 표시방법에 따라 표시판 또는 푯말에 유기표시를 할 수 있습니다. 수입 유기가공식품을 신고하지 않고 판매하거나 영업에 사용한 자는 1년 이하의 징역 또는 1천만원 이하의 벌금에 처해집니다. 그 밖에 유기가공식품 동등성 인정제도 및 수입 유기식품 신고제도와 관련된 사항은 2018 유기가공식품 질의·응답에서 확인할 수 있습니다."
가공식품,"식품안전관리인증기준(HACCP)마크를 부착한 식품을 유통하는 영업자가 식품별로 정한 식품안전관리인증기준을 지키지 않을 경우, 어떤 제재를 받게 되나요?","인증의 취소 등 인증의 취소 또는 시정명령, 허가취소 등 영업허가 또는 등록이 취소되거나 6개월 이내의 기간에서 그 영업의 전부 또는 일부정지 및 영업소 폐쇄명령, 3년 이하의 징역 또는 3천만원 이하의 벌금","다음의 어느 하나에 해당하는 식품을 제조·가공·조리·소분·유통하는 영업자는 식품의약품안전처장이 식품별로 정한 식품안전관리인증기준을 지켜야 합니다. 위의 식품 중 1.의 어육소시지, 4.의 과자·캔디류, 6. 음료류 및 8.부터 13.까지의 식품은 다음의 구분에 따른 날부터 기준이 적용됩니다. 식품안전관리인증기준의 적용·운영에 관한 자세한 사항은 식품 및 축산물 안전관리인증기준에서 확인할 수 있습니다. HACCP 적용 사업장은 다음과 같이 식품에 HACCP 적용식품 표시를 하거나 또는 HACCP 적용업소 인증사실에 대한 광고를 할 수 있습니다. 식품안전관리인증기준적용업소가 아닌 업소의 영업자는 식품안전관리인증기준적용업소라는 명칭을 사용해서는 안 되며, 이를 위반하면 500만원 이하의 과태료가 부과됩니다. 인증의 유효기간은 인증을 받은 날부터 3년이며, 변경 인증의 유효기간은 원래 인증 유효기간의 남은 기간입니다. 식품안전관리인증기준적용업소는 안전관리인증기준의 준수 여부와 식품위생법 제48조제5항에 따른 교육훈련 수료 여부를 연 1회 이상 조사·평가받아야 합니다. 식품안전관리인증기준을 지키지 않은 경우, 다음과 같은 행정처분 및 벌칙을 받을 수 있습니다. 인증의 취소 등 인증의 취소 또는 시정명령, 허가취소 등 영업허가 또는 등록이 취소되거나 6개월 이내의 기간에서 그 영업의 전부 또는 일부정지 및 영업소 폐쇄명령, 3년 이하의 징역 또는 3천만원 이하의 벌금. 식품안전관리인증업소는 한국식품안전관리인증원 에서 조회하실 수 있습니다."
가수(아이돌),가수 지망생의 교육기관에는 어떤 것들이 있나요?,"대학ㆍ전문대학, 엔터테인먼트 학원, 연예기획사 부설 아카데미, 방송국 부설 아카데미 등","가수지망생은 가수가 되기 위해서 일반적으로 엔터테인먼트 관련 교육기관에서 교육을 받으며 실력을 연마한 후 연예기획사의 오디션이나 캐스팅을 통해 연예기획사와 연습생 계약을 맺고 가수가 되기 위한 교육ㆍ훈련을 받습니다. 가수지망생 교육기관은 대학ㆍ전문대학, 엔터테인먼트 학원, 연예기획사 부설 아카데미, 방송국 부설 아카데미 등이 있습니다. 오디션, 캐스팅을 통해 연예기획사 소속 연습생으로 발탁된 가수지망생은 외국어, 연기, 보컬, 댄스 등의 교육ㆍ육성 프로그램 지원을 받으며 가수 데뷔를 위한 기회를 기다립니다. 가수지망생은 가수가 되기 위해서 일반적으로 엔터테인먼트 관련 교육기관에서 교육을 받으며 실력을 연마한 후 연예기획사의 오디션이나 캐스팅을 통해 연예기획사와 연습생 계약을 맺고 가수가 되기 위한 교육·훈련을 받습니다. 일정기간 동안 연예기획사의 교육·훈련을 받은 가수지망생은 음반제작 전에 연예기획사와 전속계약을 체결하게 됩니다. 가수지망생 중에는 연습생 계약 기간 없이 바로 전속계약을 체결하고 가수로 데뷔하는 경우도 있습니다. 가수 지망생이 연예활동을 준비할 수 있는 교육기관은 대학·전문대학의 실용음악 관련 학과, 엔터테인먼트 학원, 방송국 부설 아카데미, 연예기획사 부설 아카데미 등이 있습니다. 실용음악 관련 학과가 설치되어 있는 대학·전문대학이 있습니다. 각 대학 실용음악 관련 학과의 입학자격은 해당 대학·전문대학 홈페이지의 입학요강을 확인하시길 바랍니다. 대학·전문대학의 실용음악 관련 학과 및 입시요강은 한국대학교육협의회 및 한국전문대학교육협의회에서도 확인할 수 있습니다. "
가수(아이돌),"가수의 성명, 예명을 상표등록을 하는 것이 가능한가요?","가수의 성명, 예명은 상표로 등록하여 보호받을 수 있습니다.","가수의 성명, 예명은 상표로 등록하여 보호받을 수 있습니다. 연예기획사는 가수가 이미 저명해진 경우에는 가수의 승낙을 받아야만 상표를 등록할 수 있습니다. “상표”란 자기의 상품과 타인의 상품을 식별하기 위하여 사용하는 표장을 말합니다. 상표의 예시는 다음과 같습니다. 국내에서 상표를 사용하는 사람 또는 사용하고자 하는 사람은 자기의 상표를 등록받을 수 있습니다. 다음의 어느 하나에 해당하는 상표를 제외하고는 상표등록을 받을 수 있습니다. 용어 정리 “그 상품의 보통명칭”이란 그 상품의 명칭, 약칭, 속칭, 기타 해당 상품을 취급하는 거래사회에서 그 상품을 지칭하는 것으로 실제로 사용되고 인식되어 있는 명칭을 말합니다[상표심사기준 제4부제1장 1.적용요건,1-1]. “보통으로 사용하는 방법으로 표시”되어 있다는 것은 상표의 외관, 칭호, 관념을 통해 상품의 ‘보통명칭 등’으로 직감할 수 있도록 표시된 경우를 의미하며, 따라서 출원상표가 일반인의 특별한 주의를 끌 정도로 독특한 서체·도안 및 구성으로 표시되어 있어 문자의 의미를 직감할 수 없을 정도로 도안화된 경우에는 이에 해당하지 않는 것으로 봅니다. 출원상표가 지정상품의 보통명칭“만”으로 구성되어 있어야 한다는 것은 보통명칭에 다른 식별력 있는 문자나 도형 등이 결합되어 있어 전체적으로 식별력이 인정되는 경우는 포함되지 않습니다. 위의 3. ~ 6.에 해당하는 상표라도 상표등록출원 전부터 그 상표를 사용한 결과 수요자 간에 특정인의 상품에 관한 출처를 표시하는 것으로 식별할 수 있게 된 경우에는 그 상표를 사용한 상품에 한정하여 상표등록을 받을 수 있습니다. 다음의 어느 하나에 해당하는 상표는 상표등록을 받을 수 없습니다. 다만, 국제적십자, 국제올림픽위원회 또는 저명한 국제기관이 자기의 명칭, 약칭 또는 표장을 상표등록출원한 경우에는 상표등록을 받을 수 있습니다. "
가압류 신청,"법원에 가압류 신청을 하였더니, 법원으로부터 담보제공명령을 받았습니다. 담보제공명령이 무엇인가요?",법원이 가압류로 생길 수 있는 채무자의 손해를 쉽게 회복해주기 위해 가압류 신청자에게 담보를 제공하도록 하는 명령을 뜻합니다.,"가압류를 신청하려는 자는 청구채권의 내용ㆍ신청취지ㆍ신청이유 등을 적은 가압류신청서 및 가압류신청 진술서를 작성해야 합니다. 법원은 가압류로 생길 수 있는 채무자의 손해에 대하여 담보제공을 명령할 수 있으며, 법원의 담보제공명령을 받은 채권자는 현금공탁 또는 공탁보증보험 가입을 통해 담보제공을 해야 합니다. 부동산, 자동차 등에 대해 가압류를 신청하려는 자는 등록면허세 및 지방교육세를 납부해야 합니다. 법원은 가압류로 생길 수 있는 채무자의 손해에 대하여 채권자에게 가압류 명령을 내리기에 앞서 담보제공을 명령할 수 있습니다. 가압류를 신청하려는 자는 가압류신청서를 비롯한 관련 서류를 관할법원 민사신청 담당부서에 제출해야 합니다. 가압류 신청서에는 소장에 관한 규정이 준용되므로 심리에 앞서 재판장이 신청서의 형식적 적법 여부가 심사됩니다. 법원은 가압류로 생길 수 있는 채무자의 손해에 대하여 담보제공을 명령할 수 있으며, 법원의 담보제공명령을 발한 후 담보제공명령을 받은 채권자가 그 결정에 정하여진 기일 내에 담보를 제공하지 않으면 법원은 신청을 각하하게 되며 담보제공이 되면 가압류 명령을 발하게 됩니다. 소송요건에 흠이 있어 부적법하거나 법원이 명한 담보를 제공하지 아니한 때에는 가압류 신청이 각하됩니다. 채권자는 신청을 기각하거나 각하하는 결정에 대하여 결정 고지된 날부터 1주 이내에 즉시항고장을 제출함으로써 즉시항고할 수 있습니다. 가압류의 집행에 대하여는 강제집행에 관한 규정이 일부 준용됩니다."
