cate2,paragraph
가정부문 에너지 절약,"에너지란?
에너지는 연료·열 및 전기를 말합니다(「에너지법」 제2조제1호).
연료는 석유·가스·석탄이나 그 밖에 열을 발생하는 열원(熱源)을 말하며, 제품의 원료로 사용되는 것은 제외합니다(「에너지법」 제2조제2호).
에너지 절약이란?
에너지 절약은 에너지 낭비를 줄이기 위한 수단이나 그로 인한 효과를 말하는 것으로서, 에너지를 합리적이고 효율적으로 이용하여 에너지소비로 인한 환경피해를 줄여 국민경제의 건전한 발전과 지구온난화의 최소화를 위한 것입니다(「에너지이용 합리화법」 제1조 및 산업통상자원부 『지식경제용어사전』<2010. 11.> 참조).
가정에너지의 종류(예시)
구분 내용
전기 전기는 일상생활에서 자주 사용하는 TV나 냉장고, 세탁기와 같은 가전제품을 사용할 수 있도록 해주는 에너지입니다.
도시가스 도시가스는 천연가스(액화한 것을 포함), 배관(配管)을 통하여 공급되는 석유가스, 나프타부생(副生)가스, 바이오가스 또는 합성천연가스를 말합니다(「도시가스사업법」 제2조제1호).
자동차 연료 자동차 연료는 휘발유(가솔린), 경유(디젤), 액화석유가스(LPG) 및 압축천연가스(CNG) 등이 있습니다(네이버 지식백과 홈페이지 참조).
태양광·태양열 등 태양광은 태양에서 복사되는 빛에너지를 말하며, 태양열은 태양으로부터 방사되는 에너지를 흡수·저장 및 열변환 등을 통해 얻어지는 무공해·무한정의 청정 에너지원을 말합니다(한국에너지공단 신ㆍ재생에너지센터 홈페이지 참조).
법령정보 제공범위
『가정에너지 절약』 콘텐츠에서는 가정에서 주로 사용하고 있는 위의 에너지와 관련된 법령정보를 제공합니다."
전기 사용하기,"※ 일러두기▪ 전기는 그 사용용도에 따라 주택용전력, 일반용전력, 교육용전력, 산업용전력, 농사용전력, 가로등, 예비전력, 임시전력 등으로 구분합니다[「기본공급약관」(한국전력공사 약관 2020. 6. 2. 발령, 2020. 6. 1. 시행) 제55조].▪ 이 콘텐츠에서는 전기의 사용용도 중에서 일반 국민이 가장 많이 이용하는 주택용전력의 전기요금에 대해서 소개합니다.
주택용전력 사용
주택용전력은 다음의 어느 하나에 해당하는 고객에게 적용합니다(「기본공급약관」 제56조).
1. 주거용 고객(다만, 「신에너지 및 재생에너지 개발·이용·보급 촉진법」 제13조에 따라 인증된 지열설비는 별도 분리하여 일반용전력을 적용)
2. 계약전력 3kW 이하의 고객(다만, 농사용전력, 가로등, 임시전력은 해당 계약종별을 적용)
3. 독신자합숙소(기숙사 포함)나 집단주거용 사회복지시설로서 고객이 주택용전력의 적용을 희망할 경우
4. 주거용 오피스텔(주택은 아니면서 실제 주거용 도로 이용되는 오피스텔) 고객
전기요금이란?
전기요금은 기본요금과 전력량요금을 원칙으로 하고, 자원의 효율적 배분을 위하여 필요하다고 인정하는 경우에는 차등요금, 누진요금으로 보완할 수 있습니다[「발전사업세부허가기준, 전기요금산정기준, 전력량계 허용오차 및 전력계통운영업무에 관한 고시」(산업통상자원부 고시 제2020-40호, 2020. 3. 31. 발령·시행) 제14조제2항].
※ 기본요금이란?▪ 사용전력량 유무에 관계없이 요금적용전력에 대하여 수급개시일부터 적용하는 요금을 말합니다(「기본공급약관」 제67조제1항제1호).※ 전력량요금이란?▪ 사용전력량이 있는 경우 사용전력량에 대하여 부과하는 요금을 말합니다(「기본공급약관」 제67조제1항제2호).
전기요금 계산
기본요금과 전력량요금은 하나의 전기사용계약에 대해 1개월마다 다음에 해당하는 월간 전기요금표의 해당 계약종별 요율에 따라 계산됩니다(「기본공급약관」 제67조제2항 및 별표 1).
저압전력(표준전압 110V 이상 380V 이하) 고압전력(표준전압 3,300V 이상)
사용전력량 기본요금(호당) 전력량요금(kWh당) 사용전력량 기본요금(호당) 전력량요금(kWh당)
200kWh 이하 910원 93.3원 200kWh 이하 730원 78.3원
201~400kWh 1,600원 187.9원 201~400kWh 1,260원 147.3원
400kWh 초과 7,300원 280.6원 400kWh 초과 6,060원 215.6원
※ 다만, 여름철(7월 1일부터 8월 31일까지)과 겨울철(12월 1일부터 다음 해 2월 말일까지) 월 사용전력량이 1,000kWh 초과하는 경우에는 초과사용량에 대해 kWh당 저압전력은 709.5원, 고압전력은 574.6원이 적용됩니다(「기본공급약관」 별표 1).
전기요금 이외의 부담금의 청구
또한, 전기요금에는 ① 전력산업기반기금(전기요금의 3.7%), ② TV수신료, ③ 부가가치세(전기요금의 10%)가 함께 청구될 수 있습니다(「전기사업법」 제51조제1항, 「전기사업법 시행령」 제36조, 「기본공급약관」 제82조, 「부가가치세법」 제2조제1호, 제30조 및 「부가가치세법 시행령」 제2조제1항제2호).
※ 전기요금 계산은 한국전력공사 사이버지점 홈페이지(http://cyber.kepco.co.kr)의 <조회·납부-요금계산·비교>에서, 전력사용량을 확인할 때 계량기 보는 방법은 <조회·납부-청구서·계량기 보는 법>에서 확인할 수 있습니다.※ 전기제품별 전기요금 계산은 한국에너지공단 효율관리제도 홈페이지(http://eep.energy.or.kr)의 <더 알아보기-비용계산기>에서 확인 할 수 있습니다.
전기요금의 재계산 및 환불
전기요금을 잘못 계산하였을 경우에는 재계산한 요금과 잘못 계산한 요금과의 차액을 해당 월 요금에서 더하거나 빼는 것이 원칙이며, 한국전력공사의 잘못으로 요금을 과다청구하여 납부한 요금을 환불하는 경우에는 이자를 가산하여 지급합니다(「기본공급약관」 제76조).
※ 그 밖에 전기요금에 대한 자세한 사항은 한국전력공사 사이버지점 홈페이지(http://cyber.kepco.co.kr)에서 확인할 수 있습니다."
전기요금 할인받기,"대가족 및 생명유지장치 사용자 할인받기
① 주거용 고객(다만, 「신에너지 및 재생에너지 개발·이용·보급 촉진법」 제13조에 따라 인증된 지열설비는 별도 분리하여 일반용전력을 적용), ② 독신자합숙소(기숙사 포함)나 집단주거용 사회복지시설로서 고객이 주택용전력의 적용을 희망하는 고객, ③ 주거용 오피스텔(주택은 아니면서 실제 주거용 도로 이용되는 오피스텔을 말함) 고객이 다음의 할인 대상에 해당하는 경우에는 전기요금을 할인받을 수 있습니다[「기본공급약관」(한국전력공사 약관 2020. 6. 2. 발령, 2020. 6. 1. 시행) 제67조제6항제4호 및 「기본공급약관시행세칙」(한국전력공사 약관시행세칙, 2020. 7. 29. 발령, 2020. 8. 1. 시행) 제48조제6항].
대상 할인기준
가구원 중 자녀가 3명 이상인 가구 해당월 전기요금의 30%(월 1만 6천원 한도)
가구원수가 5명 이상인 가구
출산가구
호흡기 장애 또는 희귀난치성질환으로 산소발생기, 인공호흡기 등 생명유지장치를 사용하는 가구 해당월 전기요금의 30%
이에 따라 전기요금을 할인받으려는 경우에는 전기요금 할인 신청서를 작성하여 한국전력공사에 신청하면 됩니다(「기본공급약관」 제67조제6항제2호 및 별지 제4호서식).
복지 할인받기
① 주거용 고객(다만, 「신에너지 및 재생에너지 개발·이용·보급 촉진법」 제13조에 따라 인증된 지열설비는 별도 분리하여 일반용전력을 적용), ② 독신자합숙소(기숙사 포함)나 집단주거용 사회복지시설로서 고객이 주택용전력의 적용을 희망하는 고객, ③ 주거용 오피스텔(주택은 아니면서 실제 주거용 도로 이용되는 오피스텔을 말함) 고객이 다음과 같은 할인 대상에 해당하는 경우에는 전기요금을 할인받을 수 있습니다[「기본공급약관」 제67조제6항제2호 및 「기본공급약관시행세칙」 제48조제6항].
대상 할인기준
「장애인복지법」에 따른 정도가 심한 장애인 해당 월 전기요금(월 1만 6천원 한도, 다만, 여름철은 월 2만원 한도)
「국가유공자 등 예우 및 지원에 관한 법률」에 따른 1 ~ 3급 상이자
「5·18민주유공자예우에 관한 법률」에 따른 1 ~ 3급 상이자
「독립유공자예우에 관한 법률」에 따른 독립유공자 또는 독립유공자의 권리를 이전받은 유족 1명
「국민기초생활 보장법」에 따른 생계·의료급여 수급자
「국민기초생활 보장법」에 따른 주거·교육급여 수급자 해당월 전기요금(월 1만원 한도, 다만 여름철은 월 1만 2천원 한도)
「국민기초생활 보장법」 제9조제5항에 따라 지원을 받는 근로능력이 있는 기초생활수급자 해당월 전기요금의 8천원(다만, 여름철은월 1만원 한도)
「국민건강보험법 시행령」 별표 2 제3호라목에 따라 희귀난치성잘환 또는 중증질환 등으로 국민건강보험급여를 받는 사람
「장애인복지법」 제49조 및 제50조에 따라 장애수당, 장애아동수당 및 보호수당을 받는 사람
「한부모가족지원법」 제5조(소득인정액이 기준 중위소득의 60% 이하인 사람 포함)에 따라 지원받는 사람
「국민기초생활 보장법 시행규칙」 제38조제4항에 따라 차상위계층 확인서를 발급받은 사람
이에 따라 전기요금을 할인받으려는 경우에는 전기요금 할인 신청서를 작성하여 한국전력공사에 신청하면 됩니다(「기본공급약관」 제67조제6항제2호 및 별지 제4호서식).
공항 주변의 소음대책지역 주민 지원받기
공항소음피해가 있는 지역의 주민은 세대별로 「공항소음 방지 및 소음대책지역 지원에 관한 법률」 제8조제1항제3호에 따른 주민 주거용 시설에 설치된 냉방시설에 대해 4개월동안 전기료를 지원받을 수 있습니다(「공항소음 방지 및 소음대책지역 지원에 관한 법률 시행령」 제3조제1항제5호).
이에 따라 주민 주거용 시설에 설치된 냉방시설 전기료를 지원받으려는 사람은 냉방시설 전기료 지원 신청서를 「공항소음 방지 및 소음대책지역 지원에 관한 법률」 제4조에 따른 시설관리자에게 제출해야 합니다(「공항소음 방지 및 소음대책지역 지원에 관한 법률 시행규칙」 제6조의2제1항 및 별지 제1호서식).
※ 공항 주변 소음대책지역은 해당 지역의 지방항공청에서 확인할 수 있습니다.
전기 절약하기
주택용전력은 사용량에 따라 기본요금과 전력용요금의 단가가 다르게 적용되는 누진요금을 적용하고 있으므로, 전기 사용량을 줄이면 단가가 낮은 요금이 적용되어 전기요금을 줄일 수 있습니다.
※ 주택용전력 사용량별 전기요금은 한국전력공사 사이버지점 홈페이지(http://cyber.kepco.co.kr)의 <조회·납부-전기요금표>에서 확인할 수 있습니다.※ 그 밖에 전기를 절약하는 방법에 대해서는 이 콘텐츠의 <전기-전기 절약>에서 확인할 수 있습니다."
에너지소비효율등급 확인 및 사용,"전기제품 효율적으로 사용하기
에너지소비효율 1등급 제품을 사용하면 다른 제품에 비해 에너지 절약 효과가 크기 때문에 전기를 절약할 수 있습니다. 또한, 같은 제품을 사용하더라도 제품의 맞는 절약노하우에 따라 사용하면 전기를 절약할 수 있습니다.
※ TV, 전기세탁기, 드럼세탁기, 에어컨, 전기진공청소기, 가정용가스보일러 및 전열기 등의 전기제품의 절약노하우는 한국에너지공단 효율관리제도 홈페이지(http://eep.energy.or.kr/)의  <더 알아보기-절약노하우>에서 확인할 수 있습니다.
에너지소비효율등급 표시제도
에너지소비효율등급 표시제도는 소비자들이 효율이 높은 에너지절약형 제품을 쉽게 구입할 수 있도록 하고 제조(수입)업자들이 생산(수입)단계에서부터 원천적으로 에너지절약형 제품을 생산하고 판매하도록 하기위한 의무적인 신고제도입니다(한국에너지공단 효율관리제도 홈페이지 참조).
에너지소비효율등급은 효율관리기자재의 에너지 사용량을 측정한 에너지소비효율 또는 에너지사용량을 최상위 1등급부터 5등급까지 나눈 것을 말합니다[「에너지이용 합리화법」 제15조제2항, 「효율관리기자재 운용규정」(산업통상자원부 고시 제2020-83호, 2020. 5. 26. 발령·시행) 제3조제2호 및 제5호 참조].
에너지효율등급이 1등급에 가까울수록 에너지절약형 제품이며, 1등급의 제품을 사용하면 5등급 제품 대비 약 30-40%의 에너지를 절감할 수 있습니다(한국에너지공단 효율관리제도 홈페이지 참조).
※ 효율관리기자재란? 효율관리기자재는 보급량이 많고 그 사용량에 있어서 상당량의 에너지를 소비하는 기자재 중 에너지이용 합리화에 필요하다고 산업통상자원부에서 인정해 지정한 전기냉장고, 전기냉방기, 전기세탁기, 조명기기 등의 에너지사용기자재를 말합니다(「에너지이용 합리화법」 제15조제1항, 「에너지이용 합리화법 시행규칙」 제7조제1항 및 「효율관리기자재 운용규정」 제3조제1호).
에너지소비효율등급 표시 대상제품
에너지소비효율등급 표시 대상제품은 다음과 같습니다(「에너지이용 합리화법」 제15조제1항, 「에너지이용 합리화법 시행규칙」 제7조제1항 및 「효율관리기자재 운용규정」 제4조).
에너지소비효율등급 표시 대상제품
▪ 전기냉장고 ▪ 김치냉장고 ▪ 전기냉방기 ▪ 전기세탁기(일반) ▪ 전기세탁기(드럼) ▪ 전기냉온수기 ▪ 전기밥솥 ▪ 전기진공청소기 ▪ 선풍기 ▪ 공기청정기 ▪ 백열전구 ▪ 형광램프 ▪ 안정기내장형램프 ▪ 삼상유도전동기 ▪ 가정용가스보일러 ▪ 어댑터·충전기 ▪ 전기냉난방기 ▪ 상업용전기냉장고▪ 가스온수기▪ 변압기▪ 창 세트▪ 텔레비전수상기▪ 전기온풍기▪ 전기스토브▪ 멀티전기히트펌프시스템▪ 제습기▪ 전기레인지▪ 셋톱박스▪ 컨버터 내장형 LED램프▪ 컨버터 외장형 LED램프▪ 냉동기▪ 공기압축기▪ 사이니지 디스플레이▪ 의류건조기
※ 에너지소비효율등급 표시 대상제품의 제품별 에너지소비효율등급과 소비전력량, 용량, 이산화탄소배출량, 연간 에너지 비용 등은 한국에너지공단 효율관리제도 홈페이지(http://eep.energy.or.kr)에서 확인할 수 있습니다.
에너지소비효율등급 미표시에 대한 제재
효율관리기자재에 대한 에너지소비효율등급 또는 에너지소비효율을 표시하지 않거나 거짓으로 표시한 자에게는 2천만원 이하의 과태료가 부과됩니다(「에너지이용 합리화법」 제78조제1항제1호).
에너지소비효율등급 표시 방법
에너지소비효율등급은 다음과 같이 에너지소비효율등급라벨에 에너지소비효율, 1시간 사용 시 CO₂배출량, 월간 또는 연간에너지비용, 소비효율등급 등을 표시해야 합니다(「효율관리기자재 운용규정」 제16조제1항 및 별표 7).
다만, 전체 대상제품 중 선풍기, 백열전구, 형광램프, 안정기내장형램프, 어댑터·충전기, 변압기, 전기온풍기, 전기스토브, 전기레인지, 셋톱박스에는 다음과 같은 별도의 에너지소비라벨을 부착할 수 있습니다(「효율관리기자재 운용규정」 제16조제1항 및 별표 7).

※ 그 밖에 에너지소비효율등급라벨 및 에너지소비효율라벨 표시방법에 대한 자세한 내용은 「효율관리기자재 운용규정」 별표 7에서 확인할 수 있습니다."
대기전력 차단하기,"대기전력 차단을 통한 전기절약
전기제품의 전원이 꺼져있다 하더라도 콘센트에 연결되어 있으면 일정부분의 전력이 소모됩니다. 따라서 전기제품의 플러그를 빼서 대기전력을 차단하는 것만으로도 전기를 절약할 수 있습니다.
대기전력저감 프로그램
대기전력저감 프로그램은 전자제품을 사용하지 않을 때 소모되는 대기전력(Standby Power)을 저감시킨 대기전력저감 우수제품의 보급을 확대하고 관련 기술의 개발을 촉진하기 위한 의무적인 신고제도입니다[한국에너지공단 효율관리제도 홈페이지 참조].
컴퓨터, 모니터 등 사무·가전기기는 항상 콘센트에 연결되어 있어 전원이 꺼졌다 하더라도 일정부분의 전력이 소모되는데, 이렇게 대기시간에 버려지는 에너지비용이 우리나라 가정·상업부문 전력사용량의 10%가 넘습니다[한국에너지공단 효율관리제도 홈페이지 참조]. 이에 따라 대기전력저감을 위한 기준에 만족하는 대기전력저감우수제품을 사용하면 에너지를 절약할 수 있습니다.
※ 대기전력저감우수제품이란?▪ 대기전력저감우수제품은 외부의 전원과 연결만 되어 있고, 주기능을 수행하지 않거나 외부로부터 켜짐 신호를 기다리는 상태에서 소비되는 대기전력의 저감(低減)이 필요하다고 인정되는 에너지사용기자재 중 대기전력 저감성이 우수하여 대기전력저감기준에 적합한 제품을 말합니다[「에너지이용 합리화법」 제18조 및 「대기전력저감 프로그램 운용규정」(산업통상자원부 고시 제2020-211호, 2020. 12. 4. 발령·시행) 제2조제4호 참조].
대기전력저감 대상제품
대기전력저감 대상제품은 다음과 같습니다(「에너지이용 합리화법」 제18조, 「에너지이용 합리화법 시행규칙」 제13조제1항, 별표 2 및 「대기전력저감 프로그램 운용규정」 제3조).
대기전력저감 대상제품
▪ 컴퓨터 ▪ 모니터 ▪ 프린터 ▪ 복합기 ▪ 전자레인지 ▪ 팩시밀리 ▪ 복사기 ▪ 스캐너 ▪ 오디오 ▪ DVD플레이어 ▪ 라디오카세트 ▪ 도어폰▪ 유무선전화기▪ 비데▪ 모뎀▪ 홈 게이트웨이▪ 자동절전제어장치▪ 손건조기▪ 서버▪ 디지털컨버터▪ 유무선공유기
대기전력저감 표시 방법
대기전력저감기준에 미달하는 제품에는 아래의 왼쪽과 같은 대기전력경고표지를 표시(의무표시) 해야 하며, 대기전력저감우수제품에는 아래의 오른쪽과 같은 에너지절약마크를 표시(임의표시)할 수 있습니다(「대기전력저감 프로그램 운용규정」 제6조제1항, 제8조제1항, 별표 5 및 별표 6).
※ 대기전력경고표지 및 대기전력저감우수제품의 표시방법에 대한 자세한 내용은 「대기전력저감 프로그램 운용규정」 별표 6 및 별표 7에서 확인할 수 있습니다."
고효율에너지기자재 사용하기,"고효율에너지기자재인증제도
고효율에너지기자재인증제도는 에너지사용기자재 중 에너지효율 및 품질시험 검사 결과가 일정기준 이상 만족하는 제품을 고효율에너지기자재로 인증하는 제도입니다(한국에너지공단 효율관리제도 홈페이지).
고효율에너지기자재 인증을 받은 조명설비, 전력설비, 냉난방설비 등을 사용하면 에너지이용의 효율성을 높일 수 있습니다.
고효율에너지인증대상기자재
고효율에너지인증대상기자재는 에너지이용의 효율성이 높아 보급을 촉진할 필요가 있는 에너지사용기자재 또는 에너지관련기자재로서 다음과 같은 기자재를 말합니다[「에너지이용 합리화법」 제22조제1항 본문,「에너지이용 합리화법 시행규칙」 제20조, 「고효율에너지기자재 보급촉진에 관한 규정」 제3조 및 별표 1].
고효율에너지인증대상기자재
1. 산업·건물용 가스보일러2. 펌프3. 원심식·스크류 냉동기4. 무정전전원장치5. 인버터6. 직화흡수식 냉온수기7. 원심식 송풍기8. 터보압축기9. LED 유도등10. 항온항습기11. 고기밀성단열문 12. 가스히트펌프13. 전력저장장치(ESS)14. 최대수요전력 제어장치15. 문자간판용 LED모듈16. 냉방용 창유리필름17. 가스진공 온수보일러18. 중온수 흡수식 냉동기19. 전기자동차 충전장치20. 등기구21. LED램프22. 스마트LED조명시스템
※ 위의 고효율에너지인증대상기자재의 적용범위에 대한 자세한 내용은 「고효율에너지기자재 보급촉진에 관한 규정」 별표 1에서 확인할 수 있습니다.
미인증 고효율에너지기자재 표시에 대한 제재
이를 위반하여 고효율에너지기자재의 인증을 받지 않은 자가 고효율에너지기자재의 인증 표시를 한 경우에는 500만원 이하의 벌금에 처해집니다(「에너지이용 합리화법」 제76조제8호).
고효율에너지기자재 표시 방법
고효율에너지기자재에는 다음과 같은 고효율 인증 마크를 표시할 수 있습니다(「고효율에너지기자재 보급촉진에 관한 규정」 제4조제3항 본문 및 별표 4).
다만, LED 램프 및 등기구는 다음의 표시를 추가하여 인증표시를 해야 합니다(「고효율에너지기자재 보급촉진에 관한 규정」 제4조제3항 단서 및 별표 5).
※ 고효율에너지기자재의 인증표시 방법에 대한 자세한 내용은 「고효율에너지기자재 보급촉진에 관한 규정」 별표 4에서 확인할 수 있으며, LED 조명 성능표시방법에 대한 자세한 내용은 「고효율에너지기자재 보급촉진에 관한 규정」 별표 5에서 확인할 수 있습니다."
도시가스 사용하기,"도시가스란?
도시가스란 지하에서 자연적으로 생성되는 가연성 가스로서 메탄을 주성분으로 하는 천연가스(액화한 것을 포함)와 천연가스와 일정량을 혼합하거나 이를 대체해도 가스공급시설 및 가스사용시설의 성능과 안전에 영향을 미치지 않는 것으로서 배관(配管)을 통하여 공급되는 석유가스, 나프타부생(副生)가스, 바이오가스 또는 합성천연가스 등을 말합니다(「도시가스사업법」 제2조제1호 및 「도시가스사업법 시행령」 제1조의2).
가스도매사업자 또는 일반도시가스사업자는 도시가스의 요금이나 그 밖의 공급조건에 관한 공급규정(이하 “도시가스 공급규정”이라 함)을 산업통상자원부 장관의 승인을 받고, 승인받은 공급규정에 따라 도시가스를 공급하고 있습니다(「도시가스사업법」 제20조제1항 및 제4항).
※ 도시가스 공급규정은 지방자치단체에 따라 달리 정하고 있어 구체적인 도시가스 요금은 지방자치단체에 따라 다를 수 있습니다. 이 콘텐츠에서는 서울의 경우를 예시로 하여 도시가스 요금(주택용)을 소개합니다.
주택용 도시가스 요금 계산하기
가스요금은 수요자가 가스를 사용하기 시작한 날부터 시작되며, 수요자는 기본요금에 사용열량(MJ)에 대하여 도매요금과 공급비용을 합한 소비자요금을 내야 합니다[「서울특별시 도시가스 공급규정」(서울특별시, 2020. 12. 1. 발령·시행) 제19조제1항, 별표 4].
※ 지역별 도시가스 요금은 한국도시가스협회 홈페이지(http://www.citygas.or.kr/)의 <자료실-도시가스 요금표> 및 해당 도시가스회사에서 확인할 수 있습니다.
또한, 도시가스요금에는 부가가치세(도시가스요금의 10%)가 함께 청구됩니다(「부가가치세법」 제2조제1호, 제30조 및 「부가가치세법 시행령」 제2조제1항제2호).
※ 사회적 배려대상자는 주택용으로 사용하는 도시가스 요금에 대해 지원을 받을 수 있습니다. 이와 관련된 자세한 내용은 한국가스공사 홈페이지(http://www.kogas.or.kr)의 <고객지원제도-에너지복지제도>에서 확인할 수 있습니다.
도시가스요금에 대한 이의신청
도시가스요금에 이의가 있는 경우에는 그 통지를 받은 날부터 15일 이내에 해당 도시가스회사에 이의신청을 해야 하며, 이의신청을 한 날부터 7일 이내에 이의신청에 대한 심사내용을 통지받을 수 있습니다(「서울특별시 도시가스 공급규정」 제23조제1항 및 제2항).
※ 각 지방자치단체별 도시가스회사 현황 및 도시가스회사 고객센터는 한국도시가스협회 홈페이지(http://www.citygas.or.kr/)의 <도시가스회사>에서 확인할 수 있습니다."
도시가스 절약하기,"※ 이하의 내용은 한국에너지공단 효율관리제도 홈페이지(http://eep.energy.or.kr/)의 <더 알아보기-절약노하우>의 내용을 참고하여 작성하였습니다.
보일러 똑똑하게 이용하기
방 별로 코일의 길이가 달라 난방불균형이 발생하는데, 코일별로 회수온도가 높은 방의 밸브 일부를 잠그고, 회수온도가 낮은 방의 밸브를 열어둡니다.
사용하지 않는 방의 밸브만 닫을 경우 난방절약효과가 없기 때문에 주차단밸브 또는 사용하는 방밸브를 조절해야 합니다.
보일러 난방밸브 조정하기
사용하지 않는 방의 밸브는 잠그고, 주차단(메인) 밸브를 일부 닫힘 위치로 조절합니다. 또한 난방을 하지 않는 방에는 문을 닫아 두어 열손실을 방지합니다.
외출 기능 이용 및 온수 온도 조정하기
외출할 때 보일러를 완전히 끄면 일정온도까지 재가동하는데 더 많은 에너지가 소비되므로 외출 기능을 활용하면 도시가스를 절약할 수 있습니다.
그 밖에 온수를 목욕탕 온탕 온도(40℃)정도로 조정하면 물을 데우는 에너지를 절약하고 물낭비와 아이들 화상의 위험을 줄일 수 있습니다.
보일러 청소의 생활화
연료의 연소로 인한 그을음이나 재와 물 속의 스케일 성분으로 열효율이 나빠지므로 가을철 사용 전에 내부청소를 하는 것이 좋습니다.
<에너지절약 효과분석>
<출처: 한국에너지공단 효율관리제도 홈페이지(http://eep.energy.or.kr)의 (더 알아보기-절약노하우) 참조>
에어캡 등 이용하기
난방은 보일러나 보조 난방 기기를 사용해 실내 온도를 높이는 것 보다 그 온도를 유지하는 것이 더 중요하므로, 외부의 찬 기운이 실내로 들어오지 않도록 이른바 뽁뽁이라 불리는 에어캡이나 커텐 등을 시공하면 실내 온도를 지속시켜주는 효과가 있어 난방으로 인한 도시가스를 절약할 수 있습니다."
자동차 연료 사용하기,"자동차의 정의 및 종류
자동차란 철길이나 가설된 선을 이용하지 않고 원동기를 사용하여 운전되는 차(견인되는 자동차도 자동차의 일부로 봄)로서 다음의 차를 말합니다(「도로교통법」 제2조제18호).
「자동차관리법」 제3조에 따른 승용자동차, 승합자동차, 화물자동차, 특수자동차 및 이륜자동차(다만, 원동기장치자전거는 제외)
「건설기계관리법」 제26조제1항 단서에 따른 건설기계
자동차 연료의 종류
자동차 연료로는 다음과 같이 휘발유(가솔린), 경유(디젤), 액화석유가스(LPG) 및 압축천연가스(CNG)와 같은 석유제품과 전기 및 바이오디젤 등이 일반적으로 사용되고 있습니다(네이버 지식백과 홈페이지 참조).
구분 내용
휘발유(가솔린) 원유를 분별 증류할 때 끓는점의 범위가 약 30~200℃ 정도인 액체상태의 석유를 말하며, 불꽃 점화식으로 점화 플러그를 통해 전기 불꽃을 발생시키는 구동엔진의 연료로 사용됨
경유(디젤) 원유를 증류하였을 때 끓는점의 범위가 약 250~350℃ 정도인 액체상태의 석유를 말하며, 압축 착화식으로 점화 플러그 없이 공기의 압축열을 이용한 자연 발화식 구동엔진에 사용되어 디젤 차량의 고속엔진의 연료로 사용됨
액화석유가스(LPG) 프로판이나 부탄을 주성분으로 한 가스를 액화(液化)한 것[기화(氣化)된 것을 포함]을 말하며(「액화석유가스의 안전관리 및 사업법」 제2조제1호), 주로 택시나 렌터카, 장애인 등의 차량의 연료로 사용됨
압축천연가스(CNG) 천연가스를 200∼250kg/㎠의 높은 압력으로 압축한 것으로서, 주로 시내버스나 굴삭기, 지게차 등의 연료로 사용됨
바이오 디젤 콩기름 등의 식물성 기름을 원료로 해서 만든 바이오연료로서 친환경대체연료로 사용되고 있으며, 아직 우리나라에서는 대중적으로 사용하고 있지 않음
자동차 연료 바르게 사용하기
자동차 연료는 차량의 엔진에 따라 각각의 연료를 사용하게 되는데, 이를 혼동하여 잘못 사용할 경우 엔진 등 차량이 손상될 수 있으므로 휘발유(가솔린)과 경유(디젤)의 혼유 사고를 주의하여야 합니다. 만약 혼유 사고를 확인한 경우에는 즉시 차량의 운행을 중지하고, 가급적 자동차 제작사 서비스센터에서 수리를 받는 것이 안전합니다."
자동차 연료 절약하기,"에너지소비효율등급 표시 대상 자동차
국내에서 제작되거나 수입되어 국내에 판매되는 다음의 자동차(차량 총중량이 3.5톤 미만이어야 함)에는 에너지소비효율 및 등급이 표시되어야 합니다[「에너지이용 합리화법」 제15조제1항, 「에너지이용 합리화법 시행규칙」 제7조제1항제6호, 「자동차의 에너지소비효율 및 등급표시에 관한 규정」(산업통상자원부 고시 제2015-62호, 2015. 4. 8. 발령·시행) 제2조제1항 및 제3조제3항].
승용자동차: 일반형, 승용겸화물형, 다목적형, 기타형
승합자동차: 15인승 이하의 자동차로서 특수형을 제외한 밴형 화물자동차를 포함
화물자동차: 특수용도형을 제외한 경형 및 소형
※ 에너지소비효율(연비)는 자동차에서 사용하는 단위 연료에 대한 주행거리(km/L, km/kWh, km/kg 등)를 말합니다(「자동차의 에너지소비효율 및 등급표시에 관한 규정」 제3조제1항).
자동차의 에너지소비효율 및 등급 표시방법은 다음과 같습니다(「자동차의 에너지소비효율 및 등급표시에 관한 규정」 제10조제2항 및 별표 5).
※ 위의 에너지소비효율 및 등급 표시방법은 기존연비 표시방법으로서 승용자동차, 승합자동차 및 화물자동차(경형 제외)의 표시방법입니다.※ 경형자동차, 하이브리드자동차, 전기자동차, 플러그인하이브리드자동차 및 수소전기자동차의 연비 표시방법이나 신연비 표시방법은 「자동차의 에너지소비효율 및 등급표시에 관한 규정」 별표 5에서 확인할 수 있습니다.
에너지소비효율 및 등급 확인하기
에너지소비효율이 높은 자동차를 이용하면 단위 연료에 대한 주행거리가 길어서 자동차의 연료를 절약할 수 있습니다.
에너지소비효율 높은 타이어 사용하기
자동차용 타이어의 에너지소비효율 및 등급 표시방법은 다음과 같습니다[「자동차용 타이어의 에너지소비효율 측정 및 등급기준·표시 등에 관한 규정」 제12조제1항 및 별표 4]
※ 그 밖에 타이어의 에너지소비효율 등급표시 및 방법은 「자동차용 타이어의 에너지소비효율 측정 및 등급기준·표시 등에 관한 규정」 별표 4에서 확인할 수 있습니다."
