cate2,paragraph
개인회생절차 개념 및 신청자격,"개인회생절차란?
개인회생절차는 재정적 어려움으로 파탄에 직면한 개인채무자 중 장래에 계속적으로 또는 반복해 수입을 얻을 가능성이 있는 사람의 채권자 등 이해관계인의 법률관계를 조정함으로써 채무자의 효율적 회생과 채권자의 이익을 도모하기 위해 마련된 절차입니다(「채무자 회생 및 파산에 관한 법률」 제1조 및 대한민국 법원 전자민원센터 홈페이지 참조 ).
Q. 파산 및 개인워크아웃과는 어떠한 차이가 있나요?A. 개인회생제도는 채무자에게 일정한 수입이 있는 것을 전제로 채무자가 원칙적으로 3년간(「채무자 회생 및 파산에 관한 법률」 제611조제5항 단서의 경우 5년) 원금의 일부를 변제하면 나머지를 면책받을 수 있는 제도임에 반해 개인파산제도의 주된 목적은, 모든 채권자가 평등하게 채권을 변제받도록 보장함과 동시에, 채무자에게 면책절차를 통하여 남아 있는 채무에 대한 변제 책임을 면제받아 경제적으로 재기·갱생할 수 있는 기회를 부여하는 것입니다. 개인파산을 신청하는 이유는 주로 파산선고를 거쳐 면책결정까지 받음으로써 채무로부터 해방되기 위한 것입니다.<출처: 대한민국 법원 전자민원센터-절차안내>개인워크아웃도 개인회생제도와 같이 일정한 수입을 전제로 하나 ① 원칙적으로 원금을 면책받을 수 없는 점, ② 운영주체가 법원이 아닌 신용회복위원회라는 점, ③변제기간이 무담보 채무인 경우 최장8년(단, 「국민기초생활보장법」에서 정하는 차상위 계층 이하 소득자의 경우 최장 10년), 담보채무의 경우 최장 20년인 점에서 차이가 있습니다.<출처: 신용회복위원회 홈페이지-채무조정>
신청조건
개인회생절차는 다음 조건을 충족해야 신청할 수 있습니다.
파산의 원인인 사실이 있거나 그런 사실이 생길 염려가 있는 사람으로 다음에 해당하는 금액 이하의 채무를 부담하는 급여소득자 또는 영업소득자(「채무자 회생 및 파산에 관한 법률」 제579조제1호)
√ 유치권·질권·저당권·양도담보권가등기담보권·「동산·채권 등의 담보에 관한 법률」에 따른담보권·전세권 또는 우선특권으로 담보된 개인회생채권: 10억원
√ 위 담보채권 외의 개인회생채권: 5억원
다음과 같은 일정 소득을 장래에 계속적으로 또는 반복해 얻을 가능성이 있는 사람[「개인회생사건 처리지침」(대법원 재판예규 제1693호, 2018. 6. 7. 발령, 2018. 6. 13. 시행) 제7조의2]
√ 급여소득자: 급여, 연금, 아르바이트, 파트타임 종사자, 비정규직, 일용직 등 그 고용형태와 소득신고의 유무에 불구하고 정기적이고 확실한 수입을 얻을 가능성이 있는 모든 개인
√ 영업소득자: 부동산임대소득·사업소득·농업소득·임업소득 그 밖에 이와 유사한 수입(소득신고 유무와 관계없음)을 장래에 계속적으로 또는 반복해 얻을 가능성이 있는 모든 개인
Q. 개인회생을 신청하면 어떤 불이익이 있나요? A. 파산과 달리 개인회생절차를 신청하는 경우에는 법률상 특별한 불이익을 받지 않습니다. 오히려 변제계획안이 인가되면 그 사실이 은행연합회에 통보되어 채무자에 대한 연체정보 등록이 해제되고, 채권자들로부터 추심도 받지 않을 수 있어 채무자가 일상생활을 하는데 도움이 되는 제도입니다.<출처: 대한법률구조공단 법률정보-법률상담-법률상담/구조사례, 개인회생>
< 대한민국 법원 전자민원센터, 절차안내, 개인회생 개요>
※ 개인회생절차 신청에 대해서는 대한법률구조공단(www.klac.or.kr/main.jsp)에 문의하시면 자세히 알아보실 수 있습니다."
신청서 및 첨부서류의 작성,"신청서 작성
개인회생절차개시 신청서에는 다음의 사항이 기재되어야 합니다(「채무자 회생 및 파산에 관한 법률」 제589조제1항 및 「채무자 회생 및 파산에 관한 규칙」 제79조제2항).
채무자의 성명 주민등록번호 및 주소
신청의 취지 및 원인
채무자의 재산 및 채무
채무자에게 연락할 수 있는 전화번호(집, 직장 및 휴대전화)
제출서류의 발급기한
개인회생절차개시신청서에 첨부할 서류 중 관공서에서 작성하는 서류는 특별한 사정이 없는 한 신청일로부터 2개월 내에 발급받은 것이어야 합니다[「개인회생사건 처리지침」 (대법원 재판예규 제1693호, 2018. 6. 7. 발령, 2018. 6. 13. 시행) 제4조제1항].
부본의 제출
개인회생절차개시신청 시 신청서 부본 1부 및 알고 있는 개인회생채권자 수에 2를 더한 만큼의 개인회생채권자목록 부본을 함께 제출해야 합니다(「채무자 회생 및 파산에 관한 규칙」 제85조제1항).
<신청서 양식 예시>
<출처: 대한민국 법원 전자민원센터 양식모음>
※ 신청서에는 다음의 서류 등이 첨부되어야 합니다(다만, 신청자 개인별로 사건내용에 따라 필요한 서면이 있을 수 있음).
첨부서류  관련사항
개인회생 채권자목록 · 필수 기재사항(「채무자 회생 및 파산에 관한 규칙」 제80조제1항)√ 채권자의 성명 및 주소√ 채권의 원인 및 금액 · 추가 기재사항(「채무자 회생 및 파산에 관한 규칙」 제80조제2항 제3항 및 제4항).√ 별제권자(채무자의 재산에 담보권을 설정한 채권자)가 있는 경우: 별제권의 목적과 그 행사로 변제받을 수 없는 채권액 √ 개인회생절차개시 신청 당시에 소송이 진행 중인 경우: 법원 당사자 사건명 및 사건번호 √ 개인회생절차개시 신청 당시에 전부명령이 있는 경우: 전부명령을 내린 법원 당사자 사건명 및 사건번호, 전부명령의 대상이 되는 채권의 범위, 제3채무자에 대한 송달일 및 전부명령의 확정 여부
재산목록 작성 · 개인회생재단에 속하는 재산: 개인회생절차개시결정 당시 채무자가 가진 모든 재산과 채무자가 개인회생절차 개시결정 전에 생긴 원인으로 장래에 행사할 청구권 및 개인회생절차진행 중에 채무자가 취득한 재산(「채무자 회생 및 파산에 관한 법률」 제580조제1항).  · 개인회생재단에 속하지 않는 재산(「채무자 회생 및 파산에 관한 법률」 제580조제3항, 제383조제1항 제2항 및 「채무자 회생 및 파산에 관한 법률 시행령」 제16조) √ 압류할 수 없는 재산 √ 채무자 또는 그 피부양자의 주거용으로 사용하고 있는 건물의 임차보증금 중 ①「주택임대차보호법」 에 따라 우선변제를 받을 수 있는 금액, ② 그 금액이 주택가격의 2분의 1을 초과하는 경우에는 주택가격의 2분의 1에 해당하는 금액만큼 채무자의 신청으로 개인회생재단에서 면제 √ 6개월간의 생계비에 사용할 특정한 재산으로서 1천110만원을 초과하지 않는 부분
수입 및 지출에 관한 목록
진술서
변제계획안
금지명령 신청서
중지명령 신청서
※ 신청서와 첨부서류의 양식 및 작성요령에 관한 자세한 사항은 <대한민국 법원 전자민원센터-민원안내-양식모음>에서 확인하실 수 있습니다.
Q. 제가 채권을 가지고 있는 회사가 회생절차에 들어갔습니다. 이미 회사재산에 강제집행 등이 이루어지고 있는데, 제 채권을 다 변제받기도 전에 다른 채권자들에게 먼저 집행되어서 남는 것이 없을까 걱정입니다. 어떻게 해야 할까요?A. 회생절차의 개시신청이 있은 경우에 필요하다고 인정하는 때에는 법원은 이해관계인의 신청에 의하여 또는 직권으로 회생절차개시의 신청에 관한 결정이 있을 때까지 다음 어느 하나에 해당하는 절차의 중지를 명할 수 있습니다(「채무자 회생 및 파산에 관한 법률」 제593조).1. 채무자에 대한 회생절차 또는 파산절차2. 개인회생채권에 기하여 채무자의 업무 및 재산에 대하여 한 강제집행·가압류 또는 가처분3. 채무자의 업무 및 재산에 대한 담보권의 설정 또는 담보권의 실행 등을 위한 경매4. 개인회생채권을 변제받거나 변제를 요구하는 일체의 행위. 다만, 소송행위를 제외한다.5. 「국세징수법」"
관할법원,"재판관할
개인회생사건은 다음 어느 한 곳을 관할하는 회생법원의 관할에 전속합니다(「채무자 회생 및 파산에 관한 법률」 제3조제1항).
채무자의 보통재판적이 있는 곳
※ 채무자의 “보통재판적”은 채무자의 주소에 따라 정해집니다. 다만, 대한민국에 주소가 없거나 주소를 알 수 없는 경우에는 거소(居所)에 따라 정하고, 거소가 일정하지 않거나 거소도 알 수 없으면 마지막 주소에 따라 정합니다(「민사소송법」 제3조).
채무자의 주된 사무소나 영업소가 있는 곳 또는 채무자가 계속하여 근무하는 사무소나 영업소가 있는 곳
위에 해당하는 곳이 없는 경우에는 채무자의 재산이 있는 곳
다음의 어느 하나에 해당하는 사람에 대한 개인회생사건이 계속되어 있는 경우 다음 각각에 규정된 다른 사람에 대한 개시신청은 그 회생사건이 계속되어 있는 회생법원이 관할할 수 있습니다(「채무자 회생 및 파산에 관한 법률」 제3조제3항제3호).
주채무자와 보증인
채무자 및 그와 함께 동일한 채무를 부담하는 자
부부
※ 서울회생법원 기업회생업무의 전문성과 효율성을 제고하기 위해 서울중앙지방법원 파산부를 확대 개편해 2017년 3월 출범한 국내 첫 회생 파산 전문법원입니다. 회생법원은 법원 내 상담센터를 설치하고 파산관재인, 회생위원, 유관기관 직원을 상담위원으로 위촉하여 개인회생 파산 제도의 안내 및 회생절차를 이용하고 싶지만 그 방법을 알지 못하는 채무자들에게 무료로 상담 서비스를 제공하고 있습니다.<서울회생법원 홈페이지-개인회생/개인파산 무료지원 신청>
이송
법원은 현저한 손해 또는 지연을 피하기 위해 필요하다고 인정되는 경우 직권으로 개인회생사건을 다음 중 어느 하나에 해당하는 회생법원으로 이송할 수 있습니다(「채무자 회생 및 파산에 관한 법률」 제4조).
채무자의 다른 영업소 또는 사무소나 채무자 재산의 소재지를 관할하는 회생법원
채무자의 주소 또는 거소를 관할하는 회생법원
「채무자 회생 및 파산에 관한 법률」 제3조제2항 또는 제3항에 따른 회생법원
「채무자 회생 및 파산에 관한 법률」 제3조제2항 또는 제3항에 따라 해당 회생법원에 개인회생사건이 계속되어 있는 때에는 「채무자 회생 및 파산에 관한 법률」 제3조제1항에 따른 회생법원"
신청비용 등,"인지대
개인회생절차개시 신청서에는 3만원의 인지를 붙여야 합니다(「민사소송 등 인지법」 제9조제1항제3호).
「채무자 회생 및 파산에 관한 법률」 제593조에 따른 금지명령 또는 중지명령 신청서에는 각 2천원의 인지를 붙여야 합니다(「채무자 회생 및 파산에 관한 규칙」 제4조제10호).
예납비용
신청인은 개인회생절차의 개시 신청 시 절차 비용으로 다음 금액을 미리 납부해야 합니다(「채무자 회생 및 파산에 관한 법률」 제590조 및 「채무자 회생 및 파산에 관한 규칙」 제87조제1항).
송달료
공고비용
회생위원의 보수
그 밖에 절차 진행을 위해 필요한 비용
Q. 개인회생절차개시 신청 시 송달료 및 공고비용 계산방법이 궁금합니다.A. 개인회생절차개시 신청 시에 예납할 송달료는 (10회분) + (채권자수 × 8회분)의 금액을 납부해야 합니다[「송달료규칙의 시행에 따른 업무처리요령」 (대법원 재판예규 제1760호, 2020. 11. 26 발령·시행) 별표 1].개인회생절차에서의 공고는 법원 홈페이지(www.scourt.go.kr) 법원공고란에 게시하는 방법으로 하므로[「개인회생사건 처리지침」(대법원 재판예규 제1693호, 2018. 6. 7. 발령, 2018. 6. 13. 시행) 제6조제2항], 별도의 비용이 들지는 않습니다.
추가예납
법원은 예납된 비용이 부족한 경우 신청인에게 추가 예납을 하도록 할 수 있습니다(「채무자 회생 및 파산에 관한 규칙」 제87조제3항).
신청비용을 납입하지 않는 경우의 처리
법원은 채무자가 절차 비용을 납부하지 않은 경우 개인회생절차개시의 신청을 기각할 수 있습니다(「채무자 회생 및 파산에 관한 법률」 제595조제3호).
※ 송달료 납부에 대한 자세한 사항은 이 사이트 <나홀로 민사소송, 소송제기검토, 소송비용의 산정방법>을 참조하세요."
서류심사 및 보정,"보정서의 작성 및 제출
신청인은 개인회생절차의 개시신청서를 접수한 다음 신청서의 기재사항에 오류 또는 누락이 있거나 첨부서류에 누락이 있는 경우 등에는 접수담당 법원서기관·법원사무관·법원주사 또는 법원주사보로부터 보정권고 또는 안내를 받을 수 있습니다[「개인회생사건 처리지침」(대법원 재판예규 제1693호, 2018. 6. 7. 발령, 2018. 6. 13. 시행) 제3조제1항 및 제2항].
신청인은 법원의 보정권고에 따라 정해진 기간 내에 보정서류를 제출해야 합니다. 법원이 정한 제출기한을 준수하지 않는 경우 개인회생절차개시신청은 기각될 수 있습니다(「채무자 회생 및 파산에 관한 법률」 제595조제2호)."
개인회생절차 개시결정,"개인회생절차 개시결정의 시기
법원은 신청일부터 1개월 이내에 개인회생절차의 개시 여부를 결정해야 합니다(「채무자 회생 및 파산에 관한 법률」 제596조제1항).
개시결정문의 공고
개시결정문에는 다음의 사항을 공고하여야 합니다(「채무자 회생 및 파산에 관한 법률」 제596조제4항 및 제597조제1항).
개인회생절차개시결정의 주문
이의기간
개인회생채권자가 이의기간 안에 자신 또는 다른 개인회생채권자의 채권내용에 관해 개인회생채권조사확정재판을 신청할 수 있다는 뜻
개인회생채권자집회의 기일
결정의 연 월 일 시
개시결정의 효력
개인회생절차 개시결정은 그 결정 시부터 효력이 발생합니다(「채무자 회생 및 파산에 관한 법률」 제596조제5항).
개인회생절차 개시결정이 있는 경우 다음의 절차나 행위는 중지 또는 금지됩니다(「채무자 회생 및 파산에 관한 법률」 제600조제1항).
채무자에 대한 회생절차 또는 파산절차
개인회생재단에 속하는 재산에 대한 강제집행 가압류 또는 가처분(채권자목록에 기재된 채권에 한함)
개인회생채권을 변제받거나 변제를 요구하는 일체의 행위. 단, 소송행위 제외(채권자목록에 기재된 채권에 한함)
「국세징수법」 또는 「지방세징수법」에 따른 체납처분, 국세징수의 예(국세 또는 지방세 체납처분의 예를 포함)에 따른 체납처분 또는 조세채무담보를 위해 제공된 물건의 처분(채권자목록에 기재된 채권에 한함)
개인회생절차개시의 결정이 있는 경우 변제계획의 인가결정일 또는 개인회생절차 폐지결정의 확정일 중 먼저 도래하는 날까지 개인회생재단에 속하는 재산에 대한 담보권의 설정 또는 담보권의 실행 등을 위한 경매는 중지 또는 금지됩니다(「채무자 회생 및 파산에 관한 법률」 제600조제2항).
개인회생절차개시결정으로 처분을 할 수 없거나 중지된 경우 그 기간 중에 시효는 진행하지 않습니다(「채무자 회생 및 파산에 관한 법률」 제600조제4항).
개시결정 후 수정
채무자가 책임을 질 수 없는 사유로 개인회생채권자목록에 누락했거나 잘못 기재한 사항을 발견한 경우에는 개인회생절차개시결정 후라도 법원의 허가를 받아 개인회생채권자목록의 기재 사항을 수정할 수 있습니다(「채무자 회생 및 파산에 관한 규칙」 제81조제1항 본문).
※ 변제계획인가결정이 있은 경우에는 채권자목록을 수정하지 못합니다(「채무자 회생 및 파산에 관한 규칙」 제81조제1항 단서).
수정 후 절차
법원은 개인회생채권자목록이 수정된 경우 그 수정사항에 관한 이의기간을 정해 공고하고, 채무자 및 알고 있는 개인회생채권자에게 이의기간이 기재된 서면과 수정된 개인회생채권자목록을 송달해야 합니다(「채무자 회생 및 파산에 관한 규칙」 제81조제2항 본문).
다만, 수정으로 불리한 영향을 받는 개인회생채권자가 없는 경우 또는 불리한 영향을 받는 개인회생채권자의 의사에 반하지 않는다고 볼만한 상당한 이유가 있는 경우에는 그렇지 않습니다(「채무자 회생 및 파산에 관한 규칙」 제81조제2항 단서).
※ 사기회생죄란?채무자가 자기 또는 타인의 이익을 도모하거나 채권자를 해할 목적으로 다음 어느 하나에 해당하는 행위를 하고, 채무자에 대하여 개인회생절차개시의 결정이 확정된 때에는 사기회생죄에 해당되어 5년 이하의 징역 또는 5천만원 이하의 벌금에 처해집니다(「채무자 회생 및 파산에 관한 법률」 제643조제3항). 재산을 은닉 또는 손괴하거나 채권자에게 불이익하게 처분하는 행위 허위로 부담을 증가시키는 행위※ 사기회생죄에서 말하는 ‘재산의 은닉’의 의미대법원은 “ 구 개인채무자회생법(2005. 3. 31. 법률 제7428호 채무자 회생 및 파산에 관한 법률 부칙 제2조로 폐지) 제87조 제1호 사기개인회생죄에서 말하는 ‘재산의 은닉’은 재산의 발견을 불가능하게 하거나 곤란하게 만드는 것을 말하고, 재산의 소재를 불명하게 하는 경우뿐만 아니라 재산의 소유관계를 불명하게 하는 경우도 포함한다. 다만, 채무자가 법원에 개인회생절차개시신청을 하면서 단순히 소극적으로 자신의 재산 및 수입 상황을 제대로 기재하지 아니한 재산목록 등을 제출하는 행위는 위 죄에서 말하는 ‘재산의 은닉’에 해당한다고 할 수 없다.”고 판시하였습니다(대법원 2009. 1. 30. 선고 2008도6950 판결). 따라서 단순히 소극적으로 자신의 재산 및 수입 상황을 제대로 기재하지 아니한 재산목록 등을 제출하는 행위는 채무자 회생 및 파산에 관한 법률 제643조 사기회생죄에 해당하지 않는다 할 것입니다.<출처: 대한법률구조공단-법률정보-법률상담/구조사례, 개인회생>"
송달 및 변제액 임치,"송달
법원은 다음에 해당하는 사람에게 ① 개인회생절차 개시결정문, ② 개인회생채권자 목록, ③ 변제계획안을 발송합니다(「채무자 회생 및 파산에 관한 법률」 제597조제2항).
채무자
알고 있는 개인회생채권자
개인회생절차가 개시된 채무자의 재산을 소지하고 있거나 그에게 채무를 부담하는 사람
※ 법원은 송달해야 하는 장소를 알기 어렵거나 도산절차의 진행이 현저하게 지연될 우려가 있는 경우 공고로써 송달을 갈음할 수 있습니다(「채무자 회생 및 파산에 관한 법률」 제10조제1항 및 「채무자 회생 및 파산에 관한 규칙」 제7조제1호).
변제액의 임치
채무자가 변제계획안을 제출하면서 변제계획안의 인가 이전이라도 변제계획안의 제출일로부터 60일 후 90일 내의 일정한 날을 제1회로 하여 매월 일정한 날에 변제계획안의 매월 변제금을 회생위원에게 임치할 뜻을 기재한 경우, 해당 변제금을 회생위원이 지정한 계좌에 입금해야 합니다[「개인회생사건 처리지침」(대법원 재판예규 제1693호, 2018. 6. 7. 발령, 2018. 6. 13. 시행) 제7조제3항 및 제11조제3항].
※ 회생위원”이란?“회생위원”이란 다음에 해당하는 업무 수행을 위해 법원이 선임한 사람을 말합니다(「채무자 회생 및 파산에 관한 법률」 제602조제1항).1. 채무자의 재산 및 소득에 대한 조사2. 부인권 행사명령의 신청 및 그 절차 참가3. 개인회생채권자집회의 진행4. 그 밖에 법령 또는 법원이 정하는 업무 법원은 이해관계인의 신청에 의하거나 직권으로 다음의 해당하는 사람을 회생위원으로 선임할 수 있습니다(「채무자 회생 및 파산에 관한 법률」 제601조제1항).1. 관리위원회의 관리위원2. 법원서기관·법원사무관·법원주사 또는 법원주사보3. 변호사·공인회계사 또는 법무사의 자격이 있는 사람4. 법원주사보·검찰주사보 이상의 직에 근무한 경력이 있는 사람5. 「은행법」에 의한 은행에서 근무한 경력이 있는 사람으로서 회생위원의 직무수행에 적합한 사람6. 채무자를 상대로 신용관리교육·상담 및 신용회복을 위한 채무조정업무 등을 수행하는 기관 또는 단체에 근무 중이거나 근무한 경력이 있는 사람으로서 회생위원의 직무수행에 적합한 사람7. 1. 부터 6. 까지 규정된 자에 준하는 사람으로서 회생위원의 직무수행에 적합한 사람
Q. 개인회생채무자의 채권자가 수령하는 임치금에 대하여 가압류를 할 수 있을까요?A. 변제계획이 인가되면 채무자는 인가된 변제계획에 따라서 개인회생채권자에게 변제하여야 할 금원을 회생위원에게 임치하여야 합니다(「채무자 회생 및 파산에 관한 법률」 제617조제1항). 개인회생채권자는 임치된 금원을 변제계획에 따라서 회생위원으로부터 지급받아야 합니다. 만약 개인회생채권자가 매일 지급받아야 할 변제금을 수령할 계좌를 신고하지 않으면 지급해야 할 금원을 공탁할 수 있습니다.그렇다면 제3채무자를 대한민국(소관 : 개인회생위원)한 변제금수령채권에 압류를 할 수 있을 것으로 보이고, 만약 개인회생채권자에게 지급할 금원이 공탁되면 공탁금출급청구권에 압류를 할 수 있을 것으로 생각됩니다.<출처: 대한법률구조공단-법령정보-법률상담/구조사례, 개인회생>"
신청의 취하 및 기각,"취하시기
채무자는 개인회생절차의 개시결정이 있기 전에는 신청을 취하할 수 있습니다(「채무자 회생 및 파산에 관한 법률」 제594조 본문).
다만, 채무자가 보전처분이나 중지명령을 받은 후에는 법원의 허가를 받아야 신청을 취하할 수 있습니다(「채무자 회생 및 파산에 관한 법률」 제594조 단서).
기각사유
법원은 다음 중 어느 하나에 해당하는 경우 개인회생절차개시신청을 기각할 수 있습니다(「채무자 회생 및 파산에 관한 법률」 제595조).
채무자가 신청자격을 갖추지 않은 경우
채무자가 신청서의 첨부서류를 제출하지 않거나, 허위로 작성해 제출했거나, 법원이 정한 제출기한을 준수하지 않은 경우
채무자가 절차의 비용을 납부하지 않은 경우
채무자가 변제계획안의 제출기한을 준수하지 않은 경우
채무자가 신청일 전 5년 이내에 면책(파산절차에 의한 면책 포함)을 받은 사실이 있는 경우
개인회생절차를 개시하는 것이 채권자 일반의 이익에 적합하지 않은 경우
그 밖에 신청이 성실하지 않거나 상당한 이유 없이 절차를 지연시키는 경우
불복방법
개인회생절차개시신청의 기각결정에 대해서는 재판이 고지된 날부터 1주 이내에 서면으로 즉시항고를 할 수 있습니다(「채무자 회생 및 파산에 관한 법률」 제14조, 제33조 및 「민사소송법」 제444조제1항).
※ 기각 사유의 판단에 관한 기준대법원은 「채무자 회생 및 파산에 관한 법률」 제595조제7호와 관련하여 “소정의 ‘그 밖에 신청이 성실하지 아니한 때’에 해당한다는 이유로 채무자의 개인회생절차 개시신청을 기각하려면 채무자에게 제595조제1호 내지 제5호에 준하는 절차적인 잘못이 있거나, 채무자가 개인회생절차의 진행에 따른 효과만을 목적으로 하는 등 부당한 목적으로 개인회생절차 개시신청을 하였다는 사정이 인정되어야 한다.그리고 법원 또는 회생위원은 채무자가 제출한 자료에 보완이 필요한 경우 언제든지 채무자에게 금전의 수입과 지출 그 밖에 채무자의 재산상의 업무에 관하여 보고를 요구할 수 있고, 필요하다고 인정하는 경우에는 재산상황의 조사, 시정의 요구 그 밖의 적절한 조치를 취할 수 있으며, 채무자가 법원의 보정 요구에 일단 응한 경우에는 그 내용이 법원의 요구사항을 충족시키지 못하였다 하더라도 특별한 사정이 없는 한 법원이 추가적인 보정 요구나 심문 등을 통하여 이를 시정할 기회를 제공하지 아니한 채 곧바로 그 신청을 기각하는 것은 허용되지 않는다.”라고 판시하였습니다(대법원 2013. 7. 12. 자 2013마668 결정)."
개인회생채권자집회,"개인회생채권자집회의 의미
“개인회생채권자집회”란 채무자가 개인회생채권자에게 변제계획의 요지를 설명하고, 개인회생채권자는 변제계획에 관해 이의를 진술할 수 있도록 마련된 자리입니다(「채무자 회생 및 파산에 관한 법률」 제613조제1항 및 제5항 참조).
변제계획에 관한 이의진술
채무자는 개인회생채권자집회에 출석해 개인회생채권자의 요구가 있는 경우 변제계획에 관해 필요한 설명을 해야 합니다(「채무자 회생 및 파산에 관한 법률」 제613조제2항).
※ 법원은 채무자가 정당한 사유 없이 출석 또는 설명을 하지 않거나 허위의 설명을 한 경우 직권으로 개인회생절차 폐지결정을 할 수 있습니다(「채무자 회생 및 파산에 관한 법률」 제620조제2항제2호).
채권자는 개인회생채권자집회에서 변제계획에 관해 이의를 진술할 수 있습니다(「채무자 회생 및 파산에 관한 법률」 제613조제5항).
※ 이의 진술은 개인회생채권자가 개인회생채권자집회기일의 종료 시까지 이의진술서를 법원에 제출하는 방식으로 갈음할 수 있습니다(「채무자 회생 및 파산에 관한 규칙」 제90조제1항).
채권자의 계좌신고
개인회생채권자는 개인회생채권자집회기일 종료 시까지 변제계획에 따른 변제액을 송금받기 위한 금융기관의 계좌 번호를 회생위원에게 신고해야 합니다(「채무자 회생 및 파산에 관한 규칙」 제84조제1항).
법원은 계좌신고를 하지 않는 개인회생채권자가 있는 경우 지급할 변제액은 변제계획에서 정하는 바에 따라 공탁할 수 있습니다(「채무자 회생 및 파산에 관한 규칙」 제84조제2항)."
채권자 목록에 대한 이의제기,"서면에 의한 이의제기
개인회생채권자목록의 내용에 관해 이의가 있는 개인회생채권자는 이의기간 안에 서면으로 이의를 신청할 수 있습니다(「채무자 회생 및 파산에 관한 법률」 제604조제1항 전단).
개인회생채권조사확정재판
“개인회생채권조사확정재판” 이란 개인회생채권자목록의 내용에 이의가 있는 개인회생채권자가 이의기간 안에 개인회생절차를 진행하고 있는 법원에 재판을 신청하면 법원이 조사하여 확정하는 재판을 말합니다(「채무자 회생 및 파산에 관한 법률」 제604조 참조).
개인회생채권조사확정재판은 별도의 소송으로 소송비용을 내야 하므로, 대부분의 경우에는 이의기간에 이의를 제기하는 방식을 취합니다.
※ 개인회생채권조사확정재판 신청서 양식은 <대한민국 법원 전자민원센터-민원안내-양식모음>에서 확인하실 수 있습니다.
이의제기로 인한 수정
채무자가 채권자의 이의내용을 인정하는 경우에는 법원의 허가를 받아 개인회생채권자목록을 변경할 수 있습니다. 이 경우 법원은 조사확정재판신청에 대한 결정을 하지 아니할 수 있습니다(「채무자 회생 및 파산에 관한 법률」 제604조제1항 후단).
개인회생채권의 확정
개인회생채권자목록에 기재된 채권자가 이의기간 안에 이의를 제기하지 않은 경우 및 개인회생채권조사확정재판신청이 각하된 경우 개인회생채권자목록의 기재대로 채권이 확정됩니다(「채무자 회생 및 파산에 관한 법률」 제603조제1항).
개인회생채권이 확정되면 개인회생채권자 전원에 대해 확정판결과 동일한 효력이 있습니다(「채무자 회생 및 파산에 관한 법률」 제603조제3항)."
