cate2,paragraph
건설일용근로자의 의의,"건설일용근로자
“건설일용근로자”란 「한국표준산업분류」에 따른 건설업에 종사하는 일용근로자를 말합니다.
건설업
“건설업”이란 「통계법」에 따라 통계청장이 고시하는 한국표준산업분류에 따른 건설업을 말합니다(「건설근로자의 고용개선 등에 관한 법률」 제2조제1호 및 「건설근로자의 고용개선 등에 관한 법률 시행령」 제2조).
※ 건설업에 대한 자세한 사항은 「한국표준산업분류」(통계청 고시 제2017-13호, 2017. 1. 13. 발령, 2017. 7. 1. 시행)에서 확인할 수 있습니다.
일용근로자
“일용근로자”란 1일 단위로 고용되거나 근로일에 따라 일당(미리 정해진 1일 동안의 근로시간에 대하여 근로하는 대가로 지급되는 임금을 말함) 형식의 임금을 지급받는 근로자로서 그 날의 근로가 끝나면 근로관계가 종료되어 계속 고용이 보장되지 않는 근로자를 말합니다(「산업재해보상보험법 시행령」 제23조제1호 본문 및 고용노동부, 「임금의 매월 1회 이상 정기지급 원칙에 관한 해석기준」).
다만, 다음의 경우에는 일용근로자로 보지 않습니다(「산업재해보상보험법 시행령」 제23조제1호 단서).
근로관계가 3개월 이상 계속되는 경우
그 근로자 및 같은 사업에서 같은 직종에 종사하는 다른 일용근로자의 근로조건, 근로계약의 형식, 구체적인 고용 실태 등을 종합적으로 고려할 때 근로 형태가 상용근로자와 비슷하다고 인정되는 경우"
구직 경로 및 유의사항,"구직 경로
건설일용근로자는 일반적으로 다음의 방법을 통해 일자리를 구합니다(고용노동부, “건설근로자 고용개선 방안 개발 연구” 통계자료 참조).
※ 다음의 사이트를 통해 무료로 구직정보를 얻을 수 있습니다.▪ 고용노동부 워크넷: www.work.go.kr▪ 건설근로자공제회 건설일드림넷: www.jobgohrd.or.kr※ 건설근로자 취업지원센터(☎ 1666-1829)를 통해 지역별 센터의 상담을 받을 수 있습니다.
유료직업소개소 이용
등록되지 않은 유료직업소개소를 이용하는 경우 선급금 지급을 요구 받거나 최저임금을 보장받지 못하는 사업장을 소개 받는 등 여러 불이익을 당할 수 있으므로 직업소개를 받기 전에 반드시 특별자치도지사·시장·군수 및 구청장에게 등록된 직업소개소인지 확인해야 합니다(「직업안정법」 제19조제1항 참조).
직업소개사업자는 구직자로부터 고용기간 중 지급받기로 한 임금의 100분의 1이하의 소개요금 외의 금품을 받아서는 안 됩니다[「직업안정법」 제19조제3항 본문 및 「국내유료직업소개요금 등 고시」(고용노동부 고시 제2017-22호, 2017. 4. 3. 발령, 2017. 7. 1. 시행) 제2호나목 1)].
부당한 소개 등의 금지
폭행·협박 또는 감금이나 그 밖에 정신·신체의 자유를 부당하게 구속하는 것을 수단으로 직업소개를 하거나 건설일용근로자를 모집하면 7년 이하의 징역 또는 7천만원 이하의 벌금에 처해집니다(「직업안정법」 제46조제1항제1호).
거짓 구인광고 등 금지
직업소개사업, 근로자 모집을 하거나 이에 종사하는 사람은 거짓 구인광고를 하거나 거짓 구인조건을 제시해서는 안 되며, 이를 위반하면 5년 이하의 징역 또는 5천만원 이하의 벌금에 처해집니다(「직업안정법」 제34조제1항 및 제47조제6호).
Q. 구체적으로 어떤 내용이 거짓 구인광고에 해당하며, 거짓 구인광고로 피해를 입은 경우 어떻게 대처해야 하는지 궁금합니다.A. 거짓 구인광고란 신문·잡지, 그 밖의 간행물, 유선·무선방송, 컴퓨터통신, 간판, 벽보 또는 그 밖의 방법에 의하여 광고를 하는 행위 중 다음의 어느 하나에 해당하는 경우를 말합니다(「직업안정법 시행령」 제34조).▪ 구인을 가장하여 물품판매·수강생모집·직업소개·부업알선·자금모금 등을 행하는 광고▪ 거짓 구인을 목적으로 구인자의 신원(업체명 또는 성명)을 표시하지 않는 광고▪ 구인자가 제시한 직종·고용형태·근로조건 등이 응모할 때의 그것과 현저히 다른 광고▪ 그 밖에 광고의 중요내용이 사실과 다른 광고거짓 구인광고로 피해를 입은 경우에는 ① 지방고용노동(지)청 또는 시·군·구청에 신고할 수 있으며, ② 워크넷(www.work.go.kr) 메인화면 상탄의 ㄱ~ㅎ 색인을 클릭한 후 좌측에 있는 거짓 구인광고신고를 통해 인터넷으로도 신고가 가능합니다.< 고용노동부 민원마당-민원정보-자주하는질문 >
근로자파견 금지
건설공사현장에서 이루어지는 업무에 대해서는 근로자파견사업이 금지됩니다(「파견근로자 보호 등에 관한 법률」 제5조제3항제1호)."
최저임금의 적용 및 지급책임,"최저임금이란?
“최저임금”이란 국가가 근로자의 생활안정과 노동력의 질적향상을 위하여 임금의 최저수준을 보장하여 주는 것(「최저임금법」 제1조)으로, 사용자에 대해 그 준수를 강제함으로써 근로자는 최저임금을 보장받을 수 있습니다.
※ 사용자는 최저임금의 적용을 받는 건설일용근로자에게 최저임금액 이상의 임금을 지급해야 하며, 사용자는 최저임금을 이유로 종전의 임금수준을 낮춰서는 안 됩니다. 이를 위반하면 3년 이하의 징역 또는 2천만원 이하의 벌금에 처해지며, 이 경우 징역과 벌금이 병과(倂科)될 수 있습니다(「최저임금법」 제6조제1항, 제2항 및 제28조제1항).
2020. 1. 1.부터 2020. 12. 31.까지의 최저임금액은 시간급 8,720원입니다[「2021년 적용 최저임금고시」(고용노동부 고시 고용노동부고시 제2020-110호, 2020. 8. 5. 제정, 2021. 1. 1. 시행)].
최저임금에 미치지 못하는 근로계약의 효력
최저임금의 적용을 받는 근로자와 사용자 사이의 근로계약 중 최저임금액에 미치지 못하는 금액을 임금으로 정한 부분은 무효로 하며, 이 경우 무효로 된 부분은 최저임금액과 동일한 임금을 지급하기로 한 것으로 봅니다(「최저임금법」 제6조제3항).
※ ""최저임금"" 더 알아보기
도급인의 최저임금 지급책임
도급으로 사업을 행하는 경우 도급인이 책임져야 할 사유로 수급인이 건설일용근로자에게 최저임금액에 미치지 못하는 임금을 지급한 경우 도급인은 해당 수급인과 연대(連帶)하여 다음의 사유에 대하여 책임을 집니다(「최저임금법」 제6조제7항 및 제8항).
1. 도급인이 도급계약 체결 당시 인건비 단가를 최저임금액에 미치지 못하는 금액으로 결정하는 행위
2. 도급인이 도급계약 기간 중 인건비 단가를 최저임금액에 미치지 못하는 금액으로 낮춘 행위
※ 도급인에게 연대책임이 발생하여 근로감독관이 그 연대책임을 이행하도록 시정지시하였음에도 불구하고 도급인이 시정기한 내에 이를 이행하지 않은 경우 2년 이하의 징역 또는 1천만원 이하의 벌금에 처해집니다(「최저임금법」 제28조제2항).
직상 수급인의 최저임금 지급책임
두 차례 이상의 도급으로 사업을 행하는 경우 직상(直上) 수급인(하수급인에게 직접 하도급을 준 수급인)이 책임져야 할 사유로 하수급인(下受給人)이 근로자에게 최저임금액에 미치지 못하는 임금을 지급한 경우 직상 수급인은 해당 하수급인과 연대(連帶)하여 위의 1.부터 2.까지에 대하여 책임을 집니다(「최저임금법」 제6조제7항, 제8항 및 제9항)."
근로시간 제한,"법정근로시간
1주 간의 근로시간은 휴게시간을 제외하고 40시간을 초과할 수 없습니다(「근로기준법」 제50조제1항).
""1주""란 휴일을 포함한 7일을 말합니다(「근로기준법」 제2조제7호).
1일의 근로시간은 휴게시간을 제외하고 8시간을 초과할 수 없습니다(「근로기준법」 제50조제2항).
근로시간을 산정함에 있어 작업을 위하여 근로자가 사용자의 지휘·감독 아래에 있는 대기시간 등은 근로시간으로 봅니다(「근로기준법」 제50조제3항).
연장근로의 허용 및 범위
상시 30명 미만의 근로자를 사용하는 사용자는 다음 사항에 대해 근로자대표와 서면으로 합의한 경우 1주간 12시간에 더해 1주 간 8시간을 초과하지 않는 범위에서 근로시간을 연장할 수 있습니다(「근로기준법」 제53조제3항).
「근로기준법」 제53조제1항 또는 제2항에 따라 연장한 근로시간을 초과할 필요가 있는 사유와 그 기간
대상 근로자의 범위
※ 위 내용은 「근로기준법」(법률 제15513호) 부칙 제2조에 따라 2022년 12월 31일까지 유효합니다.
사용자는 특별한 사정이 있으면 고용노동부장관의 인가와 건설일용근로자의 동의를 받아 12시간을 한도로 근로시간을 연장할 수 있으며, 사태가 급박하여 고용노동부장관의 인가를 받을 시간이 없는 경우에는 사후에 지체 없이 승인을 받아야 합니다. 이 때 고용노동부장관은 근로시간의 연장이 부적당하다고 인정하면 사용자에게 그 후 연장시간에 상당하는 휴게시간이나 휴일을 건설일용근로자에게 줄 것을 명할 수 있습니다(「근로기준법」 제53조제4항·제5항).
위반 시 제재
위의 법정근로시간 및 연장근로에 관한 규정을 위반하면 2년 이하의 징역 또는 2천만원 이하의 벌금에 처해집니다(「근로기준법」 제110조).
Q. 저희 회사는 4명의 근로자가 일하는 사업장입니다. 저희 회사도 법정근로시간이나 연장 근로에 관한 규정이 적용되나요?A. 「근로기준법」은 상시 4명 이하의 근로자를 사용하는 사업 또는 사업장에 적용하는 규정을 정하고 있으며, 법정근로시간 및 연장 근로에 관한 규정은 5명 이상의 근로자를 사용하는 경우에만 적용됩니다(「근로기준법」 제11조제2항 및 「근로기준법 시행령」 별표 1)."
근로계약서 작성,"근로계약의 개념
“근로계약”이란 근로자가 사용자에게 근로를 제공하고 사용자는 이에 대하여 임금을 지급하는 것을 목적으로 체결된 계약을 말합니다(「근로기준법」 제2조제1항제4호).
근로조건의 기준 및 결정
「근로기준법」에서 정하는 근로조건은 최저기준이므로 건설일용근로자와 근로계약을 체결하는 사용자는 이 기준을 이유로 근로조건을 낮출 수 없으며, 근로자와 사용자가 동등한 지위에서 자유의사에 따라 결정해야 합니다(「근로기준법」 제3조 및 제4조).
근로계약의 일부 무효
「근로기준법」에서 정하는 기준에 미치지 못하는 근로조건을 정한 근로계약은 그 부분에 한정하여 무효로 하며, 무효로 된 부분은 「근로기준법」에서 정한 기준에 따릅니다(「근로기준법」 제15조).
※ 근로계약 체결 시 금지사항▪ 위약 예정의 금지: 사용자는 근로계약 불이행에 대한 위약금 또는 손해배상액을 예정하는 계약을 체결하지 못합니다(「근로기준법」 제20조).▪ 전차금 상계의 금지: 사용자는 전차금(前借金)이나 그 밖에 근로할 것을 조건으로 하는 전대(前貸)채권과 임금을 상계하지 못합니다(「근로기준법」 제21조).▪ 강제 저금의 금지: 사용자는 근로계약에 덧붙여 강제 저축 또는 저축금의 관리를 규정하는 계약을 체결하지 못합니다(「근로기준법」 제22조제1항).
근로계약서의 서면 작성
사용자는 건설일용근로자와 근로계약을 체결할 때에 다음과 같이 근로계약기간, 근로시간 및 휴게, 임금, 취업의 장소와 종사하여야할 업무에 관한 사항 등의 근로조건이 명시된 서면을 건설일용근로자에게 교부해야 합니다(「근로기준법」 제17조, 「기간제 및 단시간근로자 보호 등에 관한 법률」 제17조 및 고용노동부, “건설일용근로자 표준근로계약서”).
※ 이를 위반하면 500만원 이하의 벌금 또는 과태료가 부과됩니다(「근로기준법」 제114조제1호 및 「기간제 및 단시간근로자 보호 등에 관한 법률」 제24조제2항제2호).
※ 건설일용근로자의 국민연금 가입 일용근로자나 1개월 미만의 기간을 정해 사용되는 근로자는 「국민연금법」상 근로자에서 제외됩니다. 다만, 1개월 이상 계속 사용되면서 「건설산업기본법」 제2조제4호에 따른 건설공사의 사업장 등에서 1개월 동안 8일 이상 근무하는 사람은 「국민연금법」상 근로자에 포함되어 국민연금 사업장가입자가 될 수 있습니다(「국민연금법」 제3조제1항제1호, 제8조제1항 및 「국민연금법 시행령」 제2조제1호).
손해배상 청구 및 근로계약 해제
명시된 근로조건이 사실과 다를 경우에 건설일용근로자는 근로조건 위반을 이유로 손해의 배상을 청구할 수 있으며 즉시 근로계약을 해제할 수 있습니다(「근로기준법」 제19조제1항).
상시 5명 이상의 근로자를 사용하는 사업 또는 사업장에 근무하는 건설일용근로자가 손해배상을 청구할 경우에는 노동위원회에 신청할 수 있으며, 근로계약이 해제되었을 경우에는 사용자는 취업을 목적으로 거주를 변경하는 건설일용근로자에게 귀향 여비를 지급해야 합니다(「근로기준법」 제19조제2항 및 「근로기준법 시행령」 별표 1)."
휴게시간 등의 보장,"근무 중 휴게시간의 보장
사용자는 근로시간이 4시간인 경우에는 30분 이상, 8시간인 경우에는 1시간 이상의 휴게시간을 근로시간 도중에 주어야 하며, 휴게시간은 건설일용근로자가 자유롭게 이용할 수 있습니다(「근로기준법」 제54조).
※ 이를 위반하여 근로시간 도중에 건설일용근로자에게 휴게시간을 주지 않으면 2년 이하의 징역 또는 2천만원 이하의 벌금에 처해집니다(「근로기준법」 제110조제1호).
근로 후 휴일의 보장
1주 동안의 소정근로일에 개근하고, 4주를 평균(4주 미만인 경우에는 그 기간)으로 하여 1주 동안 15시간 이상 일을 한 건설일용근로자는 1주일에 평균 1회 이상의 유급휴일을 받을 수 있습니다(「근로기준법」 제55조, 제18조제3항 및 「근로기준법 시행령」 제30조제1항).
※ 이를 위반하여 건설일용근로자에게 유급휴일을 주지 않으면 2년 이하의 징역 또는 2천만원 이하의 벌금에 처해집니다(「근로기준법」 제110조제1호).
유급 휴일의 보장
사용자는 근로자에게 「관공서의 공휴일에 관한 규정」 제2조 각 호(제1호는 제외함)에 따른 공휴일 및 「관공서의 공휴일에 관한 규정」 제3조에 따른 대체공휴일을 유급으로 보장해야 합니다(「근로기준법」 제55조제2항 및 「근로기준법 시행령」 제30조제2항).
이를 위반하여 건설일용근로자에게 유급휴일을 주지 않으면 2년 이하의 징역 또는 2천만원 이하의 벌금에 처해집니다(「근로기준법」 제110조제1호).
※ 유급 휴일 보장은 다음의 구분에 따른 날부터 시행됩니다(「근로기준법」 제55조제2항 및 「근로기준법 시행령」 제30조제2항). 상시 300명 이상의 근로자를 사용하는 사업 또는 사업장, 「공공기관의 운영에 관한 법률」 제4조에 따른 공공기관, 「지방공기업법」 제49조 및 「지방공기업법」 제76조에 따른 지방공사 및 지방공단, 국가·지방자치단체 또는 정부투자기관이 자본금의 2분의 1 이상을 출자하거나 기본재산의 2분의 1 이상을 출연한 기관·단체와 그 기관·단체가 자본금의 2분의 1 이상을 출자하거나 기본재산의 2분의 1 이상을 출연한 기관·단체, 국가 및 지방자치단체의 기관: 2020년 1월 1일 상시 30명 이상 300명 미만의 근로자를 사용하는 사업 또는 사업장: 2021년 1월 1일 상시 5인 이상 30명 미만의 근로자를 사용하는 사업 또는 사업장: 2022년 1월 1일
유급휴가의 보장
건설일용근로자도 상시 5명 이상의 근로자를 사용하는 사업 또는 사업장에서 계속하여 근로한 기간이 1년 미만이거나 또는 1년간 80퍼센트 미만 출근한 경우에는 1개월 개근 시 1일의 유급휴가를 받을 수 있습니다(「근로기준법」 제60조제2항 및 「근로기준법 시행령」 별표 1).
※ 이를 위반하여 건설일용근로자에게 유급휴가를 주지 않으면 2년 이하의 징역 또는 2천만원 이하의 벌금에 처해집니다(「근로기준법」 제110조제1호)."
편의시설 설치,"편의시설 설치 또는 이용조치 의무
사업주는 공사예정금액(공사현장이 둘 이상으로 분리된 경우에는 전체 공사예상금액 중 각 현장에 해당하는 공사예정금액을 말함)이 1억원 이상인 건설공사가 시행되는 현장에 화장실·식당·탈의실 등의 시설을 설치하거나 이용할 수 있도록 조치해야 합니다(「건설근로자의 고용개선 등에 관한 법률」 제7조의2 전단 및 「건설근로자의 고용개선 등에 관한 법률 시행령」 제4조).
※ 이를 위반하여 화장실·식당·탈의실 등의 시설을 설치하거나 이용할 수 있도록 조치하지 않으면 500만원 이하의 과태료가 부과됩니다(「건설근로자의 고용개선 등에 관한 법률」 제26조제1항제1호).
편의시설 설치 또는 이용조치 기준
고용 관련 편의시설의 설치 또는 이용조치에 관한 기준은 다음과 같습니다(「건설근로자의 고용개선 등에 관한 법률」 제7조의2 후단 및 「건설근로자의 고용개선 등에 관한 법률 시행규칙」 별표).
항목 설치 또는 이용조치 기준
화장실 ▪ 건설공사가 시행되는 현장으로부터 300미터 이내에 화장실을 설치하거나 임차하는 등의 방법으로 화장실을 이용할 수 있도록 할 것 ▪ 화장실 관리자를 지정하여 관리할 것▪ 건설공사가 시행되는 현장에 남성과 여성이 함께 근로하면 남녀를 구분하여 화장실을 설치하거나 이용할 수 있도록 할 것
식당 ▪ 휴게(식사) 시간 내에 모든 근로자가 식사를 마칠 수 있도록 식당을 설치하거나 근로현장 주변의 식당을 이용할 수 있도록 할 것(다만, 바다나 산악지대 등 식당을 설치하거나 이용하게 하는 것이 현저히 곤란한 경우로서 도시락을 제공하는 등의 방법으로 식사를 할 수 있게 한 경우에는 식당을 설치하거나 이용하게 한 것으로 봄)
탈의실 ▪ 탈의실을 설치하거나 임차하는 등의 방법으로 탈의실을 이용할 수 있도록 할 것▪ 건설공사가 시행되는 현장에 남성과 여성이 함께 근로하는 경우에 남녀를 구분하여 탈의실을 설치하거나 이용할 수 있도록 할 것 ▪ 외부로부터 차단된 공간이 확보되도록 할 것"
고용관리 책임자 지정,"고용관리 책임자의 지정 및 신고
총공사금액이 20억원 이상인 공사를 하는 사업장의 사업주는 다음에 관한 해당 사업장의 업무 처리를 위하여 사업장별로 고용관리 책임자를 지정하고 이를 고용노동부장관에게 신고해야 합니다(「건설근로자의 고용개선 등에 관한 법률」 제5조제1항, 「건설근로자의 고용개선 등에 관한 법률 시행령」 제3조의2제2항 및 「건설근로자의 고용개선 등에 관한 법률 시행규칙」 제2조제1항).
건설근로자의 모집·고용 및 배치에 관한 사항
건설근로자의 기능 향상을 위하여 실시하는 교육훈련에 관한 사항
건설근로자의 편의시설의 설치 및 이용에 관한 사항
고용보험 피보험자격 취득·상실의 신고 등 고용보험사무 처리에 관한 사항
퇴직공제의 가입, 공제부금의 납부 등 퇴직공제에 관한 사항
건설근로자의 명부 및 임금대장에 관한 사항
건설근로자의 산업재해보상보험 및 고용보험에 관한 사항
건설근로자의 고용개선 등의 지원과 관련된 사항
※ 이를 위반하여 고용관리 책임자 관련 신고를 하지 않으면 100만원 이하의 과태료가 부과됩니다(「건설근로자의 고용개선 등에 관한 법률」 제26조제3항제1호).
고용관리 책임자의 고지
사업주는 고용관리 책임자를 지정하면 고용관리 책임자의 성명, 직위 및 직무 내용을 해당 사업장에 게시하는 등의 방법으로 건설일용근로자에게 그 지정 사실을 알려야 합니다(「건설근로자의 고용개선 등에 관한 법률」 제5조제2항 및 「건설근로자의 고용개선 등에 관한 법률 시행규칙」 제2조제2항)."
임금의 지급,"임금의 개념
“임금”이란 사용자가 근로의 대가로 근로자에게 임금, 봉급이나 그 밖에 어떠한 명칭으로든지 지급하는 모든 금품을 말합니다(「근로기준법」 제2조제1항제5호).
평균임금 및 통상임금
평균임금 및 통상임금의 개념은 다음과 같습니다(「근로기준법」 제2조제1항제6호, 제2항, 「근로기준법 시행령」 제3조 및 제6조).
구분 내용
평균임금 ▪ 평균임금을 산정하여야 할 사유가 발생한 날 이전 3개월 동안에 그 근로자에게 지급된 임금의 총액을 그 기간의 총일수로 나눈 금액을 말함▪ 근로자가 취업한 후 3개월 미만인 경우도 이에 준함▪ 일용근로자의 평균임금은 고용노동부장관이 사업이나 직업에 따라 정하는 금액으로 함
통상임금 ▪ 근로자에게 정기적이고 일률적으로 소정(所定)근로 또는 총 근로에 대하여 지급하기로 정한 시간급 금액, 일급 금액, 주급 금액, 월급 금액 또는 도급 금액을 말함
임금 지급 원칙
임금은 통화(通貨)로 직접 근로자에게 그 전액을 지급해야 합니다. 다만, 법령 또는 단체협약에 특별한 규정이 있으면 임금의 일부를 공제하거나 통화 이외의 것으로 지급할 수 있습니다(「근로기준법」 제43조제1항).
※ 이를 위반하면 3년 이하의 징역 또는 3천만원 이하의 벌금에 처해지며, 이 경우 피해자의 명시적인 의사와 다르게 공소를 제기할 수 없습니다(「근로기준법」 제109조).
※ “임금” 더 알아보기
임금계산 및 지급방법
일용근로자는 매일 근로관계가 단절되므로 임금산정은 시간급 또는 일급 단위가 원칙이며, 근로관계가 종료한 시점에 임금을 지급해야 합니다(고용노동부, 「임금의 매월 1회 이상 정기지급 원칙에 관한 해석기준」).
다만, 일용 형태의 근로자라 하더라도 공사 진행기간, 일정업무 수행기간에 상시적으로 출근하거나 출근이 예정되어 매일 계산된 임금을 월급형태로 지급하는 경우에는 매월 1회 이상 일정한 날짜를 정하여 임금을 지급해야 합니다. 이 때 임시로 지급하는 임금, 수당, 정근수당, 근속수당, 상여금 등은 일정한 날짜를 정하여 지급하지 않아도 됩니다(「근로기준법」 제43조제2항, 「근로기준법 시행령」 제23조 및 「임금의 매월 1회 이상 정기지급 원칙에 관한 해석기준」).
연장근로수당 및 야간근로수당
상시 5명 이상의 근로자를 사용하는 사업 또는 사업장(이하 ""사용자""라 함)은 건설일용근로자의 연장근로(「근로기준법」 제53조, 제59조 및 제69조 단서에 따라 연장된 근로를 말함)에 대하여는 통상임금의 100분의 50 이상을 가산하여 지급해야 합니다(「근로기준법」 제56조제1항 및 「근로기준법 시행령」 별표 1).
위에도 불구하고 사용자는 휴일근로에 대하여는 다음의 기준에 따른 금액 이상을 가산하여 건설일용근로자에게 지급해야 합니다(「근로기준법」 제56조제2항).
8시간 이내의 휴일근로 : 통상임금의 100분의 50
8시간을 초과하는 휴일근로 : 통상임금의 100분의 100
사용자는 야간근로(오후 10시부터 다음 날 오전 6시 사이의 근로를 말함)에 대하여는 통상임금의 100분의 50 이상을 가산하여 건설일용근로자에게 지급해야 합니다(「근로기준법」 제56조제3항).
※ 이를 위반하여 건설일용근로자에게 연장근로수당이나 야간근로수당을 지급하지 않으면 3년 이하의 징역 또는 3천만원 이하의 벌금에 처해지며, 이 경우 피해자의 명시적인 의사와 다르게 공소를 제기할 수 없습니다(「근로기준법」 제109조).
주휴수당의 지급
1주 동안의 소정근로일에 개근하고, 4주를 평균(4주 미만이면 그 기간)으로 하여 1주 동안 15시간 이상 일을 한 건설일용근로자는 1주일에 평균 1회 이상의 주휴수당을 받을 수 있습니다(「근로기준법」 제55조제1항, 제18조제3항 및 「근로기준법 시행령」 제30조제1항).
※ “주휴수당” 더 알아보기
계속 고용이 보장되지 않는 순수 일용근로자
매일 근로관계가 단절되어 계속 고용이 보장되지 않는 순수 일용근로자의 경우에는 1일 단위로 발생되는 수당은 포괄임금에 포함할 수 있으나, 1일 단위를 넘는 기간 근로해야 발생하는 수당은 포함할 수 없습니다(고용노동부, 「건설일용근로자 포괄임금 업무처리 지침」).
포괄임금 포함 가능 수당: 연장근로수당, 야간근로수당
포괄임금 포함 불가 수당: 휴일근로수당, 주휴수당, 연차유급휴가 수당 등
일정기간 사용이 예정되어 있는 일당제 일용근로자
이 경우 예정되어 있는 근로기간 동안 근로할 경우에 지급요건을 충족하는 수당은 포괄임금에 포함할 수 있습니다(고용노동부, 「건설일용근로자 포괄임금 업무처리 지침」).
다만, 연차유급휴가 수당 및 연차유급휴가 미사용 수당은 이를 포괄임금에 포함할 경우에는 휴가권 박탈의 문제가 발생할 수 있으므로 포함할 수 없습니다(고용노동부, 「건설일용근로자 포괄임금 업무처리 지침」).
임금의 시효
「근로기준법」에 따른 임금채권은 3년간 행사하지 않으면 시효로 소멸합니다(「근로기준법」 제49조).
임금의 압류 금지
건설사업자가 도급받은 건설공사의 도급금액 중 해당 공사(하도급한 공사를 포함)의 근로자에게 지급해야 할 임금에 상당하는 금액에 대해서는 이를 압류할 수 없습니다(「건설산업기본법」 제88조제1항).
※ “임금의 압류 금지” 더 알아보기"
직상 수급인의 임금 지급,"※ 직상 수급인이란?▪ “직상(直上) 수급인”이란 「건설산업기본법」 또는 그 밖의 법률 등에 따라 등록 등을 하고 건설관련업을 하는 사람을 말합니다(고용노동부, 「건설업에서의 임금 지급 연대책임 및 건설업의 공사도급에 있어서 임금에 관한 특례 규정 업무처리 지침」, p.4).
연대책임 적용 요건
건설업에서 사업이 2차례 이상 「건설산업기본법」에 따른 도급(이하 “공사도급”이라 함)이 이루어진 경우에 「건설산업기본법」에 따른 건설사업자가 아닌 하수급인이 그가 사용한 근로자에게 임금(해당 건설공사에서 발생한 임금으로 한정)을 지급하지 못한 경우에는 그 직상 수급인은 하수급인과 연대하여 하수급인이 사용한 근로자의 임금을 지급할 책임을 집니다(「근로기준법」 제44조의2제1항).
발주자 ⇒ 원수급인(일반건설) ⇒ 하수급인(전문건설) ⇒ 시공참여자(십장,오야지, 현장반장 등)
(1차)  (2차)  (3차)
다만, 직상 수급인이 「건설산업기본법」에 따른 건설사업자가 아닌 때에는 그 상위 수급인 중에서 최하위의 건설사업자를 직상 수급인으로 봅니다(「근로기준법」 제44조의2제2항).
※ 발주자 ⇒ 일반건설 ⇒ 전문건설 ⇒ 십장① ⇒ 십장②
(원수급인)  (직상수급인)
연대책임의 내용
직상 수급인은 하수급인과 연대해서 하수급인이 사용한 건설일용근로자의 임금을 지급할 책임을 부담합니다(「근로기준법」 제44조의2제1항).
※ 이를 위반하여 직상 수급인이 연대책임을 지지 않으면 3년 이하의 징역 또는 3천만원 이하의 벌금에 처해지며, 이 경우 피해자의 명시적인 의사와 다르게 공소를 제기할 수 없습니다(「근로기준법」 제109조).
공사도급이 이루어진 경우
공사도급이 이루어진 경우로서 다음의 어느 하나에 해당하는 때에는 직상 수급인은 하수급인에게 지급해야 하는 하도급 대금 채무의 부담 범위에서 그 하수급인이 사용한 건설일용근로자가 청구하면 하수급인이 지급해야 하는 임금(해당 건설공사에서 발생한 임금으로 한정)에 해당하는 금액을 건설일용근로자에게 직접 지급해야 합니다(「근로기준법」 제44조의3제1항).
직상 수급인이 하수급인을 대신하여 하수급인이 사용한 건설일용근로자에게 지급해야 하는 임금을 직접 지급할 수 있다는 뜻과 그 지급방법 및 절차에 관하여 직상 수급인과 하수급인이 합의한 경우
「민사집행법」에 따른 확정된 지급명령, 하수급인의 건설일용근로자에게 하수급인에 대하여 임금채권이 있음을 증명하는 「민사집행법」 제56조제4호에 따른 집행증서, 「소액사건심판법」 제5조의7에 따라 확정된 이행권고결정이나 그 밖에 이에 준하는 집행권원이 있는 경우
하수급인이 그가 사용한 건설일용근로자에 대하여 지급해야 할 임금채무가 있음을 직상 수급인에게 알려주고, 직상 수급인이 파산 등의 사유로 하수급인이 임금을 지급할 수 없는 명백한 사유가 있다고 인정하는 경우
원수급인이 하수급에 대한 집행권원이 있는 경우
「건설산업기본법」에 따른 발주자의 수급인(이하 “원수급인”이라 함)으로부터 공사도급이 2차례 이상 이루어진 경우로서 하수급인(도급받은 하수급인으로부터 재하도급 받은 하수급인을 포함)이 사용한 건설일용근로자에게 그 하수급인에 대한 집행권원이 있으면 건설일용근로자는 하수급인이 지급해야 하는 임금(해당 건설공사에서 발생한 임금으로 한정)에 해당하는 금액을 원수급인에게 직접 지급할 것을 요구할 수 있습니다. 이 때 원수급인은 건설일용근로자가 자신에 대하여 「민법」에 따른 채권자대위권을 행사할 수 있는 금액의 범위에서 이에 따라야 합니다(「근로기준법」 제44조의3제2항).
※ 채권자대위권이란?▪ “채권자대위권”이란 자기의 채권을 보전하기 위하여 채무자의 권리를 행사할 수 있는 권리를 말합니다(「민법」 제404조).
직상 수급인 및 원수급인이 하수급인이 사용한 건설일용근로자에게 임금을 지급한 경우
직상 수급인 또는 원수급인이 하수급인이 사용한 건설일용근로자에게 임금에 해당하는 금액을 지급하면 하수급인에 대한 하도급 대금 채무는 그 범위에서 소멸한 것으로 봅니다(「근로기준법」 제44조의3제3항)."
