cate2,paragraph
건강보험의 의의 및 적용 대상자,"국민건강보험제도의 개념
“국민건강보험제도”란 질병이나 부상으로 인해 발생한 고액의 진료비로 가계에 과도한 부담이 되는 것을 방지하기 위하여, 국민들이 평소에 보험료를 내고 보험자인 국민건강보험공단이 이를 관리·운영하다가 필요시 보험급여를 제공함으로써 국민 상호간 위험을 분담하고 필요한 의료서비스를 받을 수 있도록 하는 사회보장제도를 말합니다(국민건강보험공단 정책센터 국민건강보험).
국민건강보험의 특성
의무적인 보험가입 및 보험료 납부
보험가입을 기피할 수 있도록 제도화될 경우 질병위험이 큰 사람만 보험에 가입하여 국민 상호간 위험분담 및 의료비 공동해결이라는 건강보험제도의 목적을 실현할 수 없기 때문에 일정한 법적요건이 충족되면 본인의 의사와 관계없이 건강보험가입이 강제되며 보험료 납부의무가 부여됩니다(국민건강보험공단 정책센터 국민건강보험).
부담능력에 따른 보험료 부과
민간보험은 보장의 범위, 질병위험의 정도, 계약의 내용 등에 따라 보험료를 부담하는데 비해, 사회보험방식으로 운영되는 국민건강보험은 사회적 연대를 기초로 의료비 문제를 해결하는 것을 목적으로 하므로 소득수준 등 보험료 부담능력에 따라서 보험료를 부과합니다(국민건강보험공단 정책센터 국민건강보험).
균등한 보장
민간보험은 보험료 수준과 계약내용에 따라 개인별로 다르게 보장되지만, 사회보험인 국민건강보험은 보험료 부담수준과 관계없이 관계법령에 따라 균등하게 보험급여가 이루어집니다(국민건강보험공단 정책센터 국민건강보험).
적용 대상자
국내에 거주하는 국민은 다음의 어느 하나에 해당하는 사람을 제외하고는 건강보험의 가입자(이하 “가입자”라 함)가 됩니다(「국민건강보험법」 제5조제1항).
「의료급여법」에 따라 의료급여를 받는 사람
「독립유공자예우에 관한 법률」 및 「국가유공자 등 예우 및 지원에 관한 법률」에 따라 의료보호를 받는 사람(이하 “유공자 등 의료보호대상자”라 함). 다만, 다음의 어느 하나에 해당하는 사람은 가입자 또는 피부양자가 됩니다.
√ 유공자 등 의료보호대상자 중 건강보험의 적용을 보험자에게 신청한 사람
√ 건강보험을 적용받고 있던 사람이 유공자 등 의료보호대상자로 되었으나 건강보험의 적용배제신청을 보험자에게 하지 않은 사람
※ “직장가입자” 알아보기※ 외국인의 건강보험 가입에 대해 더 알아보기(『결혼이민자』, 『외국인유학생』, 『외국인투자자』, 『재외동포』)"
지역가입자 가입 자격,"지역가입자의 범위
직장가입자와 그 피부양자를 제외한 가입자는 지역가입자가 됩니다(「국민건강보험법」 제6조제3항).
※ “직장가입자” 및 “피부양자” 알아보기
지역가입자 자격 취득 시기
지역가입자는 국내에 거주하게 된 날에 지역가입자의 자격을 얻습니다. 다만, 다음의 어느 하나에 해당하는 사람은 그 해당되는 날에 각각 자격을 얻습니다(「국민건강보험법」 제8조제1항).
「의료급여법」에 따라 의료급여를 받는 사람이었던 사람: 그 대상자에서 제외된 날
직장가입자의 피부양자(배우자 및 직계존·비속 등을 말함. 이하 같음)이었던 사람: 그 자격을 잃은 날
「독립유공자예우에 관한 법률」 및 「국가유공자 등 예우 및 지원에 관한 법률」에 따라 의료보호를 받는 사람(이하 “유공자 등 의료보호대상자”라 함)이었던 사람: 그 대상자에서 제외된 날
보험자에게 건강보험의 적용을 신청한 유공자 등 의료보호대상자: 그 신청한 날
지역가입자 자격 취득 신고
지역가입자의 세대주는 그 세대의 구성원이 지역가입자의 자격을 취득한 경우에는 자격을 취득한 날부터 14일 이내에 다음의 서류를 국민건강보험공단(이하 “공단”이라 함)에 제출해야 합니다(「국민건강보험법」 제8조제2항 및 「국민건강보험법 시행규칙」 제4조제1항 전단).
지역가입자 자격 취득·변동 신고서(「국민건강보험법 시행규칙」 별지 제5호서식)
보험료 감면 증명자료(「국민건강보험법」 제74조 및 제75조에 따라 보험료가 면제되거나 일부를 경감받는 사람만 해당)
※ “보험료 경감” 더 알아보기"
자격의 변동 및 상실,"지역가입자 자격의 변동 사유
지역가입자는 다음의 어느 하나에 해당하게 된 날에 그 자격이 변동됩니다(「국민건강보험법」 제9조제1항제1호, 제3호, 제4호, 제5호 및 제7조제2호).
지역가입자가 적용대상사업장의 사용자로 되거나, 근로자·공무원 또는 교직원(이하 “근로자 등”이라 함)으로 사용된 날
직장가입자인 근로자 등이 그 사용관계가 끝난 날의 다음 날
적용대상사업장에 휴업·폐업 등의 사유가 발생한 날의 다음 날
지역가입자가 다른 세대로 전입한 날
지역가입자 자격의 변동 신고
지역가입자의 자격이 변동된 경우 직장가입자의 사용자와 지역가입자의 세대주는 다음의 구분에 따라 각각 그 명세를 자격이 변동된 날부터 14일 이내에 국민건강보험공단(이하 “공단”이라 함)에 신고해야 합니다(「국민건강보험법」 제9조제2항, 「국민건강보험법 시행규칙」 제4조제1항 및 제2항).
자격 변동 사유 변동 신고자 제출 서류
지역가입자가 적용대상사업장의 사용자로 되거나, 근로자 등으로 사용된 경우 직장가입자의 사용자 ▪ 직장가입자 자격취득 신고서(「국민건강보험법 시행규칙」 별지 제6호서식)▪ 가족관계등록부의 증명서 1부(피부양자와 해당 직장가입자의 관계를 주민등록표 등본으로 확인할 수 없을 경우만 해당)
직장가입자인 근로자 등이 그 사용관계가 종료된 경우 지역가입자의 세대주 ▪ 지역가입자 자격 취득·변동 신고서(「국민건강보험법 시행규칙」 별지 제5호서식)▪ 보험료 감면 증명자료※ 다만, 사용자가 직장가입자 자격상실 신고서(「국민건강보험법 시행규칙」 별지 제8호서식)를 공단에 제출한 경우에는 지역가입자 자격 취득·변동 신고서를 제출한 것으로 봅니다.
적용대상사업장에 휴업·폐업 등의 사유가 발생한 경우
지역가입자가 다른 세대로 전입한 날
지역가입자 자격의 상실 시기
지역가입자는 다음의 어느 하나에 해당하게 된 날에 그 자격을 상실합니다(「국민건강보험법」 제10조제1항).
사망한 날의 다음 날
국적을 잃은 날의 다음 날
국내에 거주하지 않게 된 날의 다음 날
직장가입자의 피부양자가 된 날
「의료급여법」에 따라 의료급여를 받는 사람이 된 날
건강보험을 적용받고 있던 사람이 「독립유공자예우에 관한 법률」 및 「국가유공자 등 예우 및 지원에 관한 법률」에 따라 의료보호를 받게 되어 건강보험의 적용배제신청을 한 날
지역가입자 자격의 상실 신고
지역가입자 자격을 상실한 경우 해당 지역가입자의 세대주는 자격을 상실한 날부터 14일 이내에 지역가입자 자격상실 신고서를 공단에 제출해야 합니다(「국민건강보험법」 제10조제2항, 「국민건강보험법 시행규칙」 제4조제4항제1호 및 별지 제7호서식).
※ “실업자의 직장가입자 자격 유지(임의계속가입제도)” 더 알아보기"
건강보험증 발급 및 부정수급 금지,"건강보험증의 발급
지역가입자는 건강보험증을 발급받으려면 건강보험증 발급 신청서를 국민건강보험공단(이하 '공단'이라 함)에 제출(「정보통신망 이용촉진 및 정보보호 등에 관한 법률」 제2조제1항제1호에 따른 정보통신망에 의한 제출 포함)하여야 하며, 공단은 건강보험증의 발급 신청을 받으면 지체 없이 건강보험증을 가입자 또는 세대주에게 발급해야 합니다(「국민건강보험법」 제12조제1항, 「국민건강보험법 시행규칙」 제5조제1항∙2항, 별지 제10호서식, 제11호서식 및 제11호의2서식).
공단은 「국민건강보험법」 제96조에 따라 제공받은 자료를 이용하여 지역가입자의 자격 취득·변동 사실을 확인한 경우에는 가입자의 신청 없이 건강보험증을 발급할 수 있습니다(「국민건강보험법」 제12조제1항, 「국민건강보험법 시행규칙」 제5조제3항 및 별지 제11호서식).
건강보험증을 발급받은 지역가입자는 건강보험증에 기재된 내용이 변경된 경우에는 변경된 날부터 30일 이내에 건강보험증 기재사항 변경 신청서를 공단에 제출해야 합니다(「국민건강보험법」 제12조제1항, 「국민건강보험법 시행규칙」 제5조제4항 및 별지 제10호서식).
※ 『모바일 건강보험증의 발급』에 관한 개정규정은 2020년 11월 1일 이후 건강보험증 발급을 신청하는 경우부터 적용합니다(「국민건강보험법 시행규칙」(보건복지부령 제759호, 2020. 10. 30. 개정, 2020. 11. 1. 시행) 부칙 제2조).
건강보험증의 제출
지역가입자가 요양급여를 받을 때에는 천재지변이나 그 밖의 부득이한 사유가 있는 경우를 제외하고는 건강보험증을 요양기관에 제출해야 합니다(「국민건강보험법」 제12조제2항).
다만, 지역가입자는 주민등록증, 운전면허증, 여권이나 다음의 증명서 또는 서류를 신분증명서로 요양기관이 그 자격을 확인할 수 있으면 건강보험증을 제출하지 않을 수 있습니다. 이 경우 그 증명서 또는 서류에 유효기간이 적혀 있는 경우에는 그 유효기간이 지나지 않아야 합니다(「국민건강보험법」 제12조제3항 및 「국민건강보험법 시행규칙」 제7조).
행정기관이나 공공기관이 발행한 증명서로서 사진이 붙어 있어 본인임을 확인할 수 있는 공무원증, 국가유공자증, 장애인 등록증, 외국인 등록증, 국가기술자격증, 그 밖에 신분을 확인할 수 있는 증명서
행정기관이나 공공기관이 기록·관리하는 것으로서 사진이 붙어 있어 본인을 확인할 수 있는 서류
※ “요양급여” 및 “요양기관” 더 알아보기
부정수급의 금지
지역가입자는 자격을 상실한 후 자격을 증명하던 서류를 사용하여 보험급여를 받아서는 안 됩니다(「국민건강보험법」 제12조제4항).
누구든지 건강보험증이나 신분증명서를 다른 사람에게 양도하거나 대여하여 보험급여를 받게 해서는 안 되며, 양도 또는 대여를 받거나 그 밖에 이를 부정하게 사용하여 보험급여를 받아서는 안 됩니다(「국민건강보험법」 제12조제5항 및 제6항).
위반 시 제재
이를 위반하여 거짓이나 그 밖의 부정한 방법으로 보험급여를 받거나 타인으로 하여금 보험급여를 받게 한 경우에는 2년 이하의 징역 또는 2천만원 이하의 벌금에 처해집니다(「국민건강보험법」 제115조제3항)."
요양급여 및 비급여의 범위,"요양급여 대상
지역가입자는 질병, 부상, 출산 등에 대하여 다음의 요양급여를 받을 수 있습니다(「국민건강보험법」 제41조제1항).
진찰·검사
약제·치료재료의 지급
처치·수술 및 그 밖의 치료
예방·재활
입원
간호
이송
※ 요양기관 범위 요양급여(간호와 이송은 제외)는 다음의 요양기관에서 실시합니다(「국민건강보험법」 제42조제1항 전단). 「의료법」에 따라 개설된 의료기관 「약사법」에 따라 등록된 약국 「약사법」에 따라 설립된 한국희귀·필수의약품센터 「지역보건법」에 따른 보건소·보건의료원 및 보건지소 「농어촌 등 보건의료를 위한 특별조치법」에 따라 설치된 보건진료소 다만, 보건복지부장관은 공익이나 국가정책에 비추어 요양기관으로 적합하지 않다고 인정되는 의료기관 등으로서 다음에 해당하는 의료기관 또는 약국은 요양기관에서 제외할 수 있습니다(「국민건강보험법」 제42조제1항 후단 및 「국민건강보험법 시행령」 제18조제1항). 「의료법」에 따라 개설된 부속 의료기관 「사회복지사업법」에 따른 사회복지시설에 수용된 사람의 진료를 주된 목적으로 개설된 의료기관 본인일부부담금을 받지 않거나 경감하여 받는 등의 방법으로 가입자나 피부양자를 유인하는 행위 또는 이와 관련하여 과잉 진료행위를 하거나 부당하게 많은 진료비를 요구하는 행위를 하여 다음의 어느 하나에 해당하는 업무정지 처분 등을 받은 의료기관√ 「국민건강보험법」에 따른 업무정지 또는 과징금 처분을 5년 동안 2회 이상 받은 의료기관√ 「의료법」에 따른 면허자격정지 처분을 5년 동안 2회 이상 받은 의료인이 개설·운영하는 의료기관 「국민건강보험법」에 따른 업무정지 처분 절차가 진행 중이거나 업무정지 처분을 받은 요양기관의 개설자가 개설한 의료기관 또는 약국
비급여 대상
보건복지부장관은 요양급여의 기준을 정할 때 업무나 일상생활에 지장이 없는 질환에 대한 치료 등은 요양급여대상에서 제외되는 비급여대상으로 정할 수 있습니다(「국민건강보험법」 제41조제4항).
※ 비급여대상의 세부 기준은 「국민건강보험 요양급여의 기준에 관한 규칙」 별표 2 에서 확인할 수 있습니다."
본인일부부담금,"본인일부부담금의 부담률 예시
입원진료를 받는 경우
요양급여비용 총액(보건복지부장관이 정하여 고시하는 식대와 장애인 치과진료에 대한 가산금액은 제외)의 100분의 20(상급종합병원에서 신고한 입원병실 중 일반입원실 및 정신과 폐쇄병실의 4인실을 이용한 경우에는 그 입원료에 한정하여 100분의 30으로 하고, 보건복지부장관이 정하여 고시하는 격리 입원에 대해서는 그 입원료에 한정하여 100분의 10으로 함)에 입원기간 중 식대의 100분의 50을 더한 금액을 본인이 부담합니다[「국민건강보험법」 제44조제1항, 「국민건강보험법 시행령」 제19조제1항 및 별표 2 제1호가목1)].
요양시설이나 외래진료를 받는 것이 적합한 경우
「의료법」에 따른 요양병원에서 입원진료를 받는 사람 중 입원치료보다는 요양시설이나 외래진료를 받는 것이 적합한 환자로서 보건복지부장관이 정하여 고시하는 환자군에 해당하는 경우에는 요양급여비용 총액의 100분의 40에 입원기간 중 식대의 100분의 50을 더한 금액을 본인이 부담합니다[「국민건강보험법」 제44조제1항, 「국민건강보험법 시행령」 제19조제1항 및 별표 2 제1호가목2)].
처방전에 따라 의약품을 조제 받은 경우
진료를 담당한 의사 또는 치과의사가 발행한 처방전에 따라 의약품을 조제받은 경우에는 요양급여비용 총액의 100분의 30을 본인이 부담합니다[「국민건강보험법」 제44조제1항, 「국민건강보험법 시행령」 제19조제1항 및 별표 2 제1호다목1)].
√ 이 때 65세 이상인 지역가입자가 처방전에 따라 의약품을 조제받는 경우 본인부담액은 다음과 같습니다[「국민건강보험법 시행령」 제19조제1항, 별표 2 제1호다목1), 「국민건강보험법 시행규칙」 제13조 및 별표 4 제1호].
① 요양급여비용 총액이 10,000원을 넘지 않는 경우: 1,000원
② 요양급여비용 총액이 10,000원을 넘고 12,000원을 넘지 않는 경우: 요양급여비용 총액 X 20/100
※ 그 밖에 본인일부부담금에 대한 자세한 사항은 「국민건강보험법 시행령」 별표 2 및 「본인일부부담금 산정특례에 관한 기준」(보건복지부고시 제2020-256호, 2020. 11. 10. 발령, 2020. 12. 1. 시행)에서 확인할 수 있습니다.
Q. 몸 상태가 좋지 않아 집 근처에 있는 병원에서 진찰을 받았는데, 상급종합병원에서 정밀 진단을 받아보라는 소견을 들었습니다. 상급종합병원이란 어떤 병원을 말하는 건가요?A. 상급종합병원이란 일정 요건을 갖춘 종합병원 중에서 중증질환에 대하여 난이도가 높은 의료행위를 전문적으로 하는 종합병원을 말합니다.상급종합병원은 「상급종합병원의 지정 및 평가에 관한 규칙」에서 정하는 20개 이상의 진료과목을 갖추고 각 진료과목마다 전속하는 전문의를 두고 인력·시설·장비 등을 갖추는 등 「의료법」에서 정하고 있는 요건을 충족해야 합니다(「의료법」 제3조의4제1항).
납부 방법
본인일부부담금은 요양기관의 청구에 따라 요양급여를 받는 사람이 요양기관에 납부합니다(「국민건강보험법 시행령」 제19조제2항 전단).
※ 포괄수가제란? 포괄수가제(DRG : Diagnosis Related Group Payment System)는 치료과정이 비슷한 입원환자들을 묶어, 그 일련의 치료행위 전체에 하나의 가격을 매기는 의료비 지급방식을 말하며, 포괄수가제 하에서는 의료 서비스의 종류나 양에 관계없이 어떤 질병의 진료를 위해 입원했는지에 따라 미리 정해진 일정액의 진료비만을 부담하면 됩니다.포괄수가제는 수정체수술(백내장수술), 편도 및 아데노이드 수술, 항문 및 항문주위수술(치질수술), 서혜 및 대퇴부 탈장수술(신생아 제외), 충수절제술(맹장염수술), 자궁 및 자궁부속기 수술(악성종양제외), 제왕절개분만에 대한 입원진료의 경우 적용됩니다.< 국민건강보험공단 사이버민원센터–건강보험안내–보험급여-포괄수가제 >
건강보험공단의 초과 금액 부담
본인이 연간 부담하는 본인일부부담금의 총액이 「국민건강보험법 시행령」 별표 3에 따른 본인부담상한액을 초과한 경우에는 국민건강보험공단이 그 초과 금액을 부담합니다(「국민건강보험법」 제44조제2항 및 「국민건강보험법 시행령」 제19조제4항)."
요양비(현금급여) 수급,"요양비란?
지역가입자는 긴급하거나 그 밖의 부득이한 사유로 요양기관과 비슷한 기능을 하는 기관에서 질병·부상·출산 등에 대하여 요양을 받거나 요양기관이 아닌 장소에서 출산한 경우에는 그 요양급여에 상당하는 금액을 국민건강보험공단(이하 “공단”이라 함)으로부터 요양비로 지급받을 수 있습니다(「국민건강보험법」 제49조제1항).
요양기관과 비슷한 기능을 하는 기관
요양기관과 비슷한 기능을 하는 기관은 다음과 같습니다(「국민건강보험법」 제49조제1항 및 「국민건강보험법 시행규칙」 제23조제2항).
「국민건강보험법」 제42조에 따라 요양기관에서 제외된 의료기관 등
※ “요양기관에서 제외된 의료기관” 더 알아보기
만성신부전증 환자 중 복막투석으로 요양급여를 받고 있는 사람에게 다음의 물품을 판매하는 요양기관 외의 의약품판매업소
√ 복막관류액
√ 자동복막투석에 사용되는 소모성 재료(공단에 등록한 의약품판매업소만 해당)
산소치료를 필요로 하는 환자에게 의료용 산소발생기 등으로 산소치료 서비스를 제공하는 요양기관 외의 기관으로서 공단에 등록한 기관(해당 환자가 제공받는 경우만 해당)
당뇨병 환자에게 혈당검사 또는 인슐린주사에 사용되는 소모성 재료를 판매하는 요양기관 외의 의료기기판매업소로서 공단에 등록한 업소
신경인성 방광환자에게 자가도뇨에 사용되는 소모성 재료를 판매하는 요양기관 외의 의료기기판매업소로서 공단에 등록한 업소
인공호흡기 또는 기침유발기를 필요로 하는 환자에게 이를 대여하는 요양기관 외의 기관으로서 공단에 등록한 기관
양압기를 필요로 하는 환자에게 이를 대여하는 요양기관 외의 기관으로서 공단에 등록한 기관
요양비 수급 사유 및 신청방법
요양비를 받을 수 있는 사유 및 그 신청방법은 다음과 같습니다(「국민건강보험법 시행규칙」 제23조제1항 및 제3항).
요양비 수급 사유 신청방법
요양기관을 이용할 수 없거나 요양기관이 없어 질병·부상·출산(사산의 경우에는 임신 16주 이상인 경우를 말함)에 대하여 요양을 받은 경우 ▪ 요양비 지급청구서(「국민건강보험법 시행규칙」 별지 제18호서식)▪ 요양비 명세서 또는 세금계산서(약국의 경우에는 처방전과 세금계산서를 말함) 사본 1부▪ 요양기관에서 요양을 받을 수 없었던 사유를 증명할 수 있는 서류 1부
만성신부전증 환자가 의사의 처방전에 따라 복막관류액 또는 자동복막투석에 사용되는 소모성 재료를 요양기관 외의 의약품판매업소에서 구입·사용한 경우 ▪ 요양비 지급청구서(「국민건강보험법 시행규칙」 별지 제18호서식)▪ 의사의 처방전 1부▪ 세금계산서 1부
신경인성 방광환자가 의사의 처방전에 따라 자가도뇨에 사용되는 소모성 재료를 요양기관 외의 의료기기판매업소에서 구입·사용한 경우
산소치료를 필요로 하는 환자가 의사의 산소치료 처방전에 따라 보건복지부장관이 정하여 고시하는 방법으로 산소치료를 받는 경우 ▪ 요양비 지급청구서(「국민건강보험법 시행규칙」 별지 제19호서식)▪ 의사의 처방전 1부▪ 산소치료를 하였음을 증명할 수 있는 서류 1부▪ 세금계산서 1부
당뇨병 환자가 의사의 처방전에 따라 혈당검사 또는 인슐린주사에 사용되는 소모성 재료나 당뇨병 관리기기를 요양기관 외의 의료기기판매업소에서 구입·사용한 경우 ※ 당뇨병 관리기기 관련 요양비는 2020년 1월 1일 이후 발행한 처방전에 따라 구입하는 경우부터 적용합니다[(「국민건강보험법 시행규칙」 (보건복지부령 제697호, 2019. 12. 31.) 부칙 제2조]. ▪ 요양비 지급청구서(「국민건강보험법 시행규칙」 별지 제19호의2서식 또는 별지 제19호의3서식)▪ 의사의 처방전 1부▪ 세금계산서 1부
보건복지부장관이 정하여 고시하는 질환이 있는 사람으로서 인공호흡기 또는 기침유발기를 필요로 하는 환자가 의사의 처방전에 따라 인공호흡기 또는 기침유발기를 대여 받아 사용하는 경우 ▪ 요양비 지급청구서(「국민건강보험법 시행규칙」 별지 제19호의4서식)▪ 의사의 처방전 1부▪ 인공호흡기 또는 기침유발기를 대여하였음을 증명할 수 있는 서류 1부▪ 세금계산서 1부
수면무호흡증 환자가 의사의 처방전에 따라 양압기(수면 중 좁아진 기도에 지속적으로 공기를 불어 넣어 기도를 확보해 주는 기구를 말함)를 대여 받아 사용하는 경우  ▪ 요양비 지급청구서( 「국민건강보험법 시행규칙」 별지 제19호의5서식)▪ 의사의 처방전 1부▪ 양압기를 대여하였음을 증명할 수 있는 서류 1부▪ 세금계산서 1부
요양기관 외의 장소에서 출산한 경우 ▪ 요양비 지급청구서(「국민건강보험법 시행규칙」 별지 제18호서식)▪ 출산 사실을 증명할 수 있는 서류 1부
※ 요양비의 종류에 따른 지급기준 및 금액은 「요양비의 보험급여 기준 및 방법」(보건복지부 고시 제2020-274호, 2020. 12. 1. 발령·시행) 별표 6에서 확인할 수 있습니다."
임신·출산·유산 등 진료비,"임신·출산 등 진료비 이용권 지원대상 및 신청방법
임신·출산 진료비 이용권의 발급을 신청하려는 지역가입자는 산부인과전문의 또는 「의료법」 제6조에 따른 조산사가 임신·출산 사실을 확인한 신청서를 공단에 제출해야 합니다. 이 경우 임신 사실은 산부인과전문의만 확인할 수 있습니다(「국민건강보험법」 제50조, 「국민건강보험법 시행령」 제23조제1항 및 「국민건강보험법 시행규칙」 제24조제1항).
임신·출산 등 진료비 신청방법
임신·출산 진료비를 신청하려는 임산부 또는 1세 미만 영유아의 법정대리인(이하 “임산부 등”이라 함)은 건강보험 임신·출산 진료비 지급 신청서를 국민건강보험공단(이하 “공단”이라 함), 금융기관 또는 체신관서에 제출해야 합니다[「국민건강보험법 시행령」 제23조제4항, 「국민건강보험법 시행규칙」 제24조제1항, 제64조제3항제1호, 「임신·출산 진료비 지급 등에 관한 기준」(보건복지부 고시 제2020-145호, 2020. 7. 9. 발령·시행) 제3조제1항 및  별지 제1호서식].
※ 임신·출산 진료비는 < 국민건강보험공단 사이버민원센터(minwon.nhis.or.kr) 홈페이지 >를 통해서도 신청할 수 있습니다.
이용권(국민행복카드)이란?
“이용권”이란 임신과 출산에 관련된 진료, 영유아에 대한 진료 및 처방, 그에 따른 약제·치료재료 구입 등의 비용으로 지급할 수 있도록 그 이용금액을 전자적으로 기록하여 신용카드 또는 체크카드 등의 형태로 제공하는 증표를 말합니다(「임신·출산 진료비 지급 등에 관한 기준」 제2조제2호).
이용권(국민행복카드) 발급
공단은 임신한 지역가입자의 신청이 있으면 신청인의 지역가입자 자격과 임신 또는 출산 여부에 대한 확인을 거쳐 신청인에게 이용권(국민행복카드)을 발급해야 합니다(「국민건강보험법 시행령」 제23조제5항).
지원금액
이용권(국민행복카드)으로 결제할 수 있는 금액의 상한은 다음의 구분에 따릅니다. 다만, 보건복지부장관이 필요하다고 인정하여 고시하는 경우에는 다음의 상한을 초과하여 결제할 수 있습니다(「국민건강보험법 시행령」 제23조제7항).
하나의 태아를 임신·출산한 경우 : 60만원
둘 이상의 태아를 임신·출산한 경우 : 100만원
이용권(국민행복카드) 사용방법 및 사용기간
임신하거나 출산한 지역가입자는 임신과 출산에 관련된 진료를 받은 경우 임신·출산 진료비를 지급받으려면 요양기관에 이용권(국민행복카드)을 제시해야 합니다(「국민건강보험법 시행규칙」 제24조제2항).
발급받은 이용권은 임신하거나 출산한 직장가입자 또는 피부양자의 출산일(유산 및 사산의 경우 그 해당일)로부터 1년이 되는 날 및 1세 미만 영유아의 출생일로부터 1년이 되는 날까지 사용할 수 있습니다(​「국민건강보험법 시행령」 제23조제6항)."
장애인 보조기기 지원,"보조기기 지원
국민건강보험공단(이하 “공단”이라 함)은 「장애인복지법」에 따라 등록한 장애인인 지역가입자에게는 보조기기에 대하여 보험급여를 할 수 있습니다(「국민건강보험법」 제51조제1항).
보조기기에 대한 공단의 부담금액
- 보조기기에 대한 공단의 부담금액은 다음과 같습니다(「국민건강보험법 시행규칙」 제26조제1항 및 별표 7 제3호).
구분 공단의 부담금액
보청기, 전동휠체어, 전동스쿠터, 자세보조용구 ▪ 기준액, 고시금액 및 실구입금액 중 최저금액의 100분의 90에 해당하는 금액▪ 다만, 「국민건강보험법 시행령」 별표 2 제3호라목1)의 희귀난치성질환 등을 가진 사람과 별표 2 제3호라목2)의 희귀난치성질환 등 외의 질환으로 6개월 이상 치료를 받고 있거나 6개월 이상 치료가 필요한 사람 또는 18세 미만의 아동인 경우에는 지급기준금액에 해당하는 금액
그 밖의보조기기 ▪ 기준액 및 실구입금액 중 최저금액의 100분의 90에 해당하는 금액▪ 다만, 「국민건강보험법 시행령」 별표 2 제3호라목1)의 희귀난치성질환 등을 가진 사람과 별표 2 제3호라목2)의 희귀난치성질환 등 외의 질환으로 6개월 이상 치료를 받고 있거나 6개월 이상 치료가 필요한 사람 또는 18세 미만의 아동인 경우에는 지급기준금액에 해당하는 금액
※ “보조기기에 대한 보험급여” 더 알아보기"
건강검진 지원,"건강검진의 실시
국민건강보험공단(이하 “공단”이라 함)은 지역가입자에 대하여 질병의 조기 발견과 그에 따른 요양급여를 하기 위하여 건강검진을 실시합니다(「국민건강보험법」 제52조제1항).
건강검진은 「건강검진기본법」에 따라 지정된 건강검진기관(이하 “검진기관”이라 함)에서 실시합니다(「국민건강보험법 시행령」 제25조제2항).
건강검진 종류별 특징
건강검진의 종류에 따른 검진 대상자, 검진주기 및 건강검진 실시 통보를 받는 사람은 다음과 같습니다[「국민건강보험법」제52조제2항, 「국민건강보험법 시행령」 제25조 제3항부터 제5항까지, 「암관리법 시행령」 별표 1, 「건강검진 실시기준」(보건복지부 고시 제2019-262호, 2019. 12. 10. 발령, 2020. 1. 1. 시행) 제8조제2항제1호 및 제9조제1항].
건강검진 종류 대상자 검진주기 건강검진 실시 통보
일반건강검진 세대주인 지역가입자 및 20세 이상인 지역가입자 2년마다 1회 이상 검진 당사자에게 통보(각 세대에 통보하는 보험료고지서에 수록하여 안내)
암검진 위암 40세 이상의 남·여 2년
간암 40세 이상의 남·여 중 간암 발생 고위험군(간경변증, B형간염 항원 양성, C형간염 항체 양성, B형 또는 C형 간염 바이러스에 의한 만성 간질환 환자) 6개월
대장암 50세 이상의 남·여 1년
유방암 40세 이상의 여성 2년
자궁경부암 20세 이상의 여성 2년
영유아건강검진 6세 미만의 지역가입자 생후 4~6개월 검진 시기에 각 1회 해당 세대주에게 통보(각 세대에 통보하는 보험료고지서에 수록하여 안내)
생후 9~12개월
생후 18~24개월
생후 30~36개월
생후 42~48개월
생후 54~60개월
생후 66~71개월
건강검진 비용의 부담
일반건강검진, 의료급여생애전환기검진 및 영유아건강검진에 대한 비용은 공단이 전액 부담합니다(「건강검진 실시기준」 제12조제1항).
월별 보험료액이 직전년도 11월 기준으로 해당연도 수검예정 건강보험가입자의 하위 50% 이하에 해당하는 지역가입자의 암검진 비용은 국가 및 지방자치단체가 각각 100분의 5(다만, 서울특별시는 국가가 100분의 3, 지방자치단체가 100분의 7)를 부담하고, 공단이 100분의 90을 부담합니다[「암검진 실시기준」(보건복지부 고시 제2019-273호, 2019. 12. 20. 발령, 2020. 1. 1. 시행) 제10조제2호 및 제11조제2항].
다만, 지역가입자의 자궁경부암 및 대장암 검진비용은 공단이 전액 부담합니다."
