cate2,paragraph
결혼의 성립 요건,"결혼의사가 합치할 것
결혼이 유효하게 성립하기 위해서는 결혼하려는 당사자 사이에 진정으로 결혼하겠다는 의사가 합치해서 결혼이 이루어져야 합니다. 만일 당사자 사이에 결혼의 합의가 없으면 그 결혼은 무효가 됩니다(「민법」 제815조제1호).
혼인적령(만 18세)에 이를 것
결혼을 하려면 혼인적령인 만 18세에 이르러야 하며(「민법」 제807조), 혼인적령에 이르렀다 하더라도 미성년자(만 18세)가 결혼하려면 부모 또는 미성년후견인의 동의를 받아야 합니다(「민법」 제808조제1항).
근친혼이 아닐 것
혈족, 인척 등으로 밀접한 관계를 맺고 있는 다음의 경우에는 결혼이 인정되지 않습니다(「민법」 제809조).
1. 8촌 이내의 혈족(친양자의 입양 전의 혈족을 포함)인 경우
2. 6촌 이내의 혈족의 배우자, 배우자의 6촌 이내의 혈족, 배우자의 4촌 이내의 혈족의 배우자인 인척이거나 이러한 인척이었던 경우
3. 6촌 이내의 양부모계의 혈족이었던 경우와 4촌 이내의 양부모계의 인척이었던 경우
중혼이 아닐 것
배우자가 있는 사람이 다른 사람과 다시 결혼하는, 이른바 중혼은 인정되지 않습니다(「민법」 제810조).
혼인신고
법률상 혼인이 성립하려면 「가족관계의 등록 등에 관한 법률」에 따라 반드시 혼인신고를 해야 합니다(「민법」 제812조제1항).
법률혼
결혼의 실질적 요건과 형식적 요건을 모두 갖추어 법에 의해 인정된 결혼을 말합니다.
사실혼
사실혼이란 결혼의 형식적 요건을 갖추지 않고, 즉 혼인신고를 하지 않고 부부공동생활을 하는 것을 말합니다.
법률혼과 사실혼의 구분
우리나라는 혼인신고라는 명시적인 방법에 의해 부부관계를 인정하는 법률혼주의를 채택 하고 있어(「민법」 제812조제1항), 사실혼 상태의 부부에게는 법률혼에서 인정되는 권리와 의무가 일부 제한됩니다.
※ 결혼의 성립 더 자세히 알아보기"
신혼부부 콘텐츠 개관,"신혼부부 콘텐츠 제공 정보(분야)
『신혼부부』콘텐츠에서는 다음의 정보를 제공합니다.
분 야  세 부 내 용
신혼부부 개요  ￭ 결혼의 성립요건 ￭ 신혼부부 콘텐츠 개관
주거 지원  ￭ 신혼부부 전세임대 ￭ 신혼부부 국민임대주택 ￭ 신혼부부 행복주택 ￭ 신혼부부 특별공급
출산 지원  ￭ 신혼부부 건강검진 ￭ 임신·출산 진료비 ￭ 출산 축하금 ￭ 난임부부 시술비
보육·양육 지원  ￭ 영유아 보육료 ￭ 양육수당 ￭ 아이돌봄 서비스 ￭ 자녀관련 세제 혜택
일·가정 양립 지원  ￭ 임산부 근로시간 단축 ￭ 출산휴가 ￭ 육아휴직 ￭ 경력단절여성등을 위한 지원"
신혼부부 전세임대,"신혼부부 전세임대주택이란?
""신혼부부 전세임대주택""이란 신혼부부 혹은 예비신혼부부가 거주하기 원하는 기존 주택의 소유자와 공공주택사업자가 전세계약을 체결하여 신혼부부 혹은 예비신혼부부에게 임대하는 주택을 말합니다[「기존주택 전세임대 업무처리지침」(국토교통부 훈령 제1325호, 2020. 10. 19. 발령·시행) 제2조].
※ 용어의 뜻은 다음과 같이 규정되어 있습니다. ""신혼부부""란 전세임대주택 입주자 모집공고일 현재 혼인(혼인신고일 기준, 재혼 포함) 7년 이내인 사람을 말합니다(「기존주택 전세임대 업무처리지침」 제2조제4호). ""예비신혼부부""란 전세임대주택 입주자모집공고일 현재 혼인 예정인 사람으로서 해당 입주자모집공고에서 전세임대주택을 공급하기로 한 연도의 전세임대주택 입주일 전일까지 혼인신고를 하는 사람을 말합니다(「기존주택 전세임대 업무처리지침」 제2조제5호). ""공공주택사업자""란 한국토지주택공사와 지방공사를 말합니다(「기존주택 전세임대 업무처리지침」 제2조제2호).
입주대상자
신혼부부 전세임대주택의 입주대상자는 다음과 같습니다(「기존주택 전세임대 업무처리지침」 제7조의4제1항 및 제2항).
1. 신혼부부 전세임대Ⅰ : 무주택세대구성원인 신혼부부, 예비신혼부부, 한부모가족(6세 이하 자녀를 둔 경우로 한정) 또는 6세 이하 자녀를 둔 혼인가구로서 해당 세대의 월평균소득이 전년도 도시근로자 가구당 월평균소득의 70%(배우자가 소득이 있는 경우에는 90%) 이하이며, 국민임대주택의 자산기준(「공공주택 특별법 시행규칙」제13조제2항)을 충족하는 사람
2. 신혼부부 전세임대Ⅱ : 무주택세대구성원인 신혼부부, 예비신혼부부, 한부모가족(6세 이하 자녀를 둔 경우로 한정) 또는 6세 이하 자녀를 둔 혼인가구로서 해당 세대의 월평균소득이 전년도 도시근로자 가구당 월평균소득의 100%(배우자가 소득이 있는 경우에는 120%) 이하이며, 행복주택 입주자격 중 신혼부부의 자산기준(「공공주택 특별법 시행규칙」제13조제2항)을 충족하는 사람
※ 다만, 개별공시지가의 합산금액이 5천만원을 초과하는 토지 또는 보건복지부장관이 정하는 차량기준가액이 2천2백만원을 초과하는 비영업용자동차(장애인용 자동차 제외)를 소유한 경우에는 입주대상자에서 제외됩니다[「공공주택 특별법 시행규칙」제13조제2항, 「주거취약계층 주거지원 업무처리지침」(국토교통부 훈령 제1310호, 2020. 7. 29. 발령·시행) 제3조제3항].
입주신청
신혼부부 전세임대주택에 입주를 희망하는 사람은 입주자모집공고에 공고된 신청기간중에 주민등록상 주소지를 관할하는 시·군 구청장 또는 공공주택사업자에게 입주신청을 해야 합니다(「기존주택 전세임대 업무처리지침」 제6조의2제2항).
입주자 선정
입주자는 입주대상자 중 다음의 순위에 따라 선정됩니다(「공공주택 특별법 시행규칙」 별표 4 및 「기존주택 전세임대 업무처리지침」 제7조의4제3항).
순위 내용
1순위 신혼부부 입주대상자(6세 이하 자녀를 둔 혼인가구 제외) 중 자녀가 있는 사람(태아를 포함하여 미성년자로 한정하되, 입주자 모집공고일 이후 임신진단서 등으로 확인되는 임신, 「민법」상 미성년자를 입양한 경우도 포함)
2순위 신혼부부 입주대상자 중 자녀가 없는 사람
3순위 1순위가 아닌 6세 이하 자녀를 둔 혼인가구
※ 동일순위 내에서 경쟁이 있는 경우에는 다음의 배점을 합산한 점수에 따라 입주자를 선정하고, 합산한 점수가 같은 경우에는 다음의 순서대로 점수가 높은 자를 입주자로 선정(다만, 신혼부부 전세임대Ⅱ에 따라 공급하는 경우에는 ①의 배점을 합산하지 아니하고, 제2항제1호에 따라 공급하는 경우에는 ⑥의 배점을 합산하지 아니함)
① 해당 세대의 월평균소득 :「국민기초생활보장법」제2조제2호에 따른 수급자, 「한부모가족지원법 시행규칙」제3조에 따라 여성가족부장관이 정하여 고시하는 한부모가족(3점),「국민기초생활보장법」제2조제10호에 따른 차상위계층(2점)
② 자녀 수(미성년 자녀 및 태아 포함, 재혼 시 이전 배우자와의 혼인관계에서 출산한 미성년 자녀 포함): 3명이상(3점), 2명(2점), 1명(1점)
③ 청약저축 및 주택청약종합저축 납입 횟수(입주대상자 명의 저축의 인정회차를 기준): 24회 이상(3점), 12회 이상 24회 미만(2점), 6회 이상 12회 미만(1점)
④ 입주대상자의 해당 시(특별시·광역시 포함)·군 지역에서의 연속 거주기간: 3년 이상(3점), 1년 이상 3년 미만(2점), 1년 미만(1점)
⑤ 「장애인복지법」제32조에 따라 장애인등록증이 교부된 자(입주대상자를 포함) : 2점
⑥ 65세 이상의 직계존속(세대별 주민등록표상에 세대원으로 등재된 경우, 배우자의 직계존속을 포함)을 부양하는 사람 : 1점
※ 입주자 선정 더 자세히 알아보기
임대기간
최초 임대기간은 2년을 원칙으로 하고, 최초 임대기간 경과 시 재계약은 2년 단위로 하되, 재계약 횟수는 9회를 초과할 수 없습니다(「기존주택 전세임대 업무처리지침」 제12조제2항 및 제3항).
※ 신혼부부 전세임대 더 자세히 알아보기"
신혼부부 국민임대주택,"국민임대주택이란?
국민임대주택이란 저소득 서민의 주거안정을 위하여 30년 이상 장기간 임대를 목적으로 공급하는 공공임대주택을 말합니다(「공공주택 특별법 시행령」 제2조제2호).
입주자격
신혼부부(혼인기간이 7년 이내인 사람) 또는 예비신혼부부가 무주택세대구성원(예비신혼부부의 경우 혼인으로 구성될 세대의 세대구성원 모두 무주택자일 것)일 경우 1세대 1주택의 기준으로 다음 순위에 따라 국민임대주택의 입주자를 선정합니다[「공공주택 특별법 시행령」 제2조제2호 및 「공공주택 특별법시행규칙」 제15조제1항 및 별표 4제2호사목1), 2)].
순위 내용
제1순위 혼인기간 중 자녀를 출산(임신 중이거나 입양한 경우 포함)하여 자녀(태아 포함, 미성년자로 한정)가 있는 경우
제2순위 1순위에 해당하지 않는 경우
※ 1, 2순위내 경쟁 시, 다음의 기준을 적용하여 산정한 점수가 높은 순으로 입주자를 선정하고, 산정한 점수가 동일한 경우에는 추첨 방식으로 입주자 선정  ① 해당 세대의 월평균소득이 전년도 도시근로자 가구당 월평균 소득의 50% 이하인 경우: 1점② 자녀 수: 3명이상(3점), 2명(2점), 1명(1점) ③ 해당 주택건설지역의 연속거주기간: 3년 이상(3점), 1년 이상 3년 미만(2점), 1년 미만(1점)④ 주택청약종합저축 납입 횟수: 24회 이상(3점), 12회 이상 24회 미만(2점), 6회 이상 12회 미만(1점)⑤ 혼인기간: 3년 이하(3점), 3년 초과 5년 이하(2점), 5년 초과 7년 이하(1점)
※ 50㎡이상인 주택의 경우에는 주택청약종합저축에 가입하여 6개월이 경과되고 매월 약정납입일에 월납입금을 6회 이상 납입한 사람이어야 합니다.
공급비율
신혼부부를 위한 국민임대주택의 우선공급비율은 30%입니다(「공공주택 특별법 시행규칙」 별표 4).
※ 국민임대주택 더 자세히 알아보기"
신혼부부 행복주택,"행복주택의 개념
행복주택은 대학생, 사회초년생, 신혼부부 등 젊은 층의 주거안정을 목적으로 공급되는 공공임대주택을 말합니다(「공공주택 특별법」 제2조제1호가목 및 「공공주택 특별법 시행령」 제2조제1항제3호).
신혼부부 일반형 행복주택
입주자모집공고일 현재(재계약을 체결하거나 종전 입주자가 퇴거함에 따라 예비 입주자로 선정된 날부터 2년이 경과한 예비입주자와 공급계약을 체결하는 경우에는 계약하는 때를 말함) 신혼부부 자격요건을 갖춘 사람은 80퍼센트(세부 비율은 공공주택사업자가 지역 특성을 고려하여 시장·군수 또는 구청장(이하 “시장 등”이라 함)의 의견을 들어 사업계획승인 전에 정함)의 범위에서 일반형 행복주택을 1세대 1주택의 기준으로 임대받을 수 있습니다(「공공주택 특별법 시행규칙」 제17조제1항 및 별표 5 제1호가목).
다만, 예비신혼부부의 경우에는 세대주, 세대원 및 성년자가 아닌 경우에도 공급받을 수 있고, 1인 1주택 또는 2인 1주택의 기준으로 공급받을 수 있습니다(「공공주택 특별법 시행규칙」 제17조제1항 및 별표 5 제1호).
신혼부부 산업단지형 행복주택
입주자모집공고일 현재(재계약을 체결하거나 종전 입주자가 퇴거함에 따라 예비 입주자로 선정된 날부터 2년이 경과한 예비입주자와 공급계약을 체결하는 경우에는 계약하는 때를 말함) 신혼부부 자격요건을 갖춘 사람은 90퍼센트(세부 비율은 공공주택사업자가 지역 특성을 고려하여 시장 등의 의견을 들어 사업계획승인 전에 정함)의 범위에서 산업단지형 행복주택을 1세대 1주택의 기준으로 임대받을 수 있습니다(「공공주택 특별법 시행규칙」 제17조제1항 및 별표 5 제1호나목1).
다만, 예비신혼부부의 경우에는 세대주, 세대원 및 성년자가 아닌 경우에도 공급받을 수 있고, 1인 1주택 또는 2인1주택의 기준으로 공급받을 수 있습니다(「공공주택 특별법 시행규칙」 제17조제1항 및 별표 5 제1호).
※ 산업단지형 행복주택이란, 「산업입지 및 개발에 관한 법률」 제2조제8호에 따른 산업단지, 같은 법 제46조의2제1항에 따른 지원단지 또는 「경제자유구역의 지정 및 운영에 관한 특별법」 제2조제1호에 따른 경제자유구역(산업단지 근로자인 경우에만 해당)에 건설되거나 이와 인접한 지역에 건설되는 행복주택(사업계획 승인권자가 산업단지형으로 인정하는 경우로 한정)을 말합니다(「공공주택 특별법 시행규칙」 제17조제1항 및 별표 5 제1호나목).
※ 신혼부부에게 공급하는 일반형·산업단지형 행복주택의 입주자 자격 및 거주기간에 대한 자세한 사항은 「공공주택 특별법 시행규칙」 제17조제1항 및 별표 5 에서 확인할 수 있습니다.※ 행복주택 더 자세히 알아보기"
신혼부부 특별공급,"신혼부부 특별공급 공급방법
주택의 공급방법에는 ① 일반공급, ② 우선공급 및 ③ 특별공급이 있습니다(「주택공급에 관한 규칙」 제25조제1항). 이 중 특별공급은 다자녀가구, 신혼부부, 노부모 부양자와 같이 사회적 우대계층을 배려하는 차원에서 해당자에게 우선적으로 주택을 분양하는 방법입니다.
신혼부부 특별공급 신청자격
신혼부부가 다음의 요건을 모두 갖춘 때에는 한 차례에 한정하여 1세대 1주택의 기준으로 사업주체가 건설한 85㎡ 이하의 공공건설임대주택 및 분양주택을 특별공급 받을 수 있습니다(「주택공급에 관한 규칙」 제41조제1항).
입주자모집공고일 현재 혼인(혼인관계증명서의 신고일 기준)기간이 7년 이내일 것
무주택세대구성원일 것(혼인신고일부터 입주자모집공고일까지 계속하여 무주택자일 것)
해당 세대의 월평균소득이 전년도 도시근로자 가구당 월평균소득의 120%(배우자가 소득이 있는 경우에는 130%) 이하일 것.다만, 세대에 속한 모든 자가 과거 주택을 소유한 사실이 없는 경우로서 입주자모집공고에 따른 분양가격이 6억원 이상 9억원 이하인 주택을 공급하는 경우에는 전년도 도시근로자 가구당 월평균소득의 130%(배우자가 소득이 있는 경우에는 140%) 이하를 말함.
신혼부부 특별공급 공급비율
신혼부부를 위한 특별공급 대상주택의 공급비율은 다음과 같습니다[「주택공급에 관한 규칙」 제41조제1항 및 「신혼부부 주택 특별공급 운용지침」(국토교통부고시 2020-701호, 2020. 9. 29. 발령·시행) 제3조제1항].
민간 사업주체가 건설하여 공급하는 85㎡ 이하 주택 : 20%
1. 국가·지방자치단체·한국토지주택공사 및 지방공사인 사업주체가 건설하여 공급하는 85㎡ 이하 주택 또는 1.에 해당하는 자가 단독 또는 공동으로 총지분의 50퍼센트를 초과하여 출자한 부동산투자회사인 사업주체가 건설하여 공급하는 85㎡ 이하 주택(국민임대주택은 제외) : 30%
특별공급 대상 주택수의 75%는 신혼부부 특별공급 신청자격을 모두 갖춘 사람 중 해당 세대의 월평균소득이 전년도 도시근로자 가구당 월평균소득의 100%(배우자가 소득이 있는 경우에는 120%) 이하인 사람에게 우선 공급됩니다(「주택공급에 관한 규칙」 제41조제3항 전단).
신혼부부 특별공급 입주자 선정 순서
입주자는 다음의 순서에 따라 선정됩니다(「주택공급에 관한 규칙」 제41조제1항제2호 및 제2항).
순위 내용
제1순위 다음의 어느 하나에 해당하는 경우1) 7년 이내의 혼인기간 중 자녀를 출산(임신 중이거나 입양한 경우를 포함)하여 자녀가 있는 경우2) 「민법」 제855조제2항에 따라 혼인 중의 출생자로 인정되는 혼인외의 출생자가 있는 경우
제2순위 제1순위에 해당하지 않는 경우
※ 순위가 같은 경우 다음 순으로 선정  1. 해당 주택건설지역의 거주자(다만, 「주택공급에 관한 규칙」 제4조제1항 각 호에 해당하는 지역에 주택공급을 신청하는 경우와 「주택공급에 관한 규칙」 제4조제3항 각 호에 해당하는 지역의 거주자가 해당 지역에 주택공급을 신청하는 경우만 해당)  다만, 대규모 택지개발지구 및 경제자유구역개발사업 등에서 우선공급(「주택공급에 관한 규칙」 제34조제1항)을 하는 경우는 위 규정이 적용되지 않습니다.  2. 자녀수가 많은 사람 3. 자녀수가 같은 경우에는 추첨으로 선정된 사람"
신혼부부 건강검진,"(예비)신혼부부 건강검진
국가는 결혼과 가정생활을 보호하기 위하여 결혼 전에 결혼 당사자의 건강을 확인할 것을 권장하고 있습니다. 이에 따라 결혼 당사자가 다음의 질환이 있는지에 대해 확인하기를 원하는 경우 보건소 또는 특별자치시장·특별자치도지사·시장·군수·구청장이 지정한 의료기관에서 그 내용을 확인받을 수 있습니다(「국민건강증진법」 제6조제2항·제3항 및 「국민건강증진법 시행규칙」 제3조제1항·제2항).
자녀에게 건강상 현저한 장애를 줄 수 있는 유전성 질환
결혼 당사자 또는 그 가족에게 건강상 현저한 장애를 줄 수 있는 전염성 질환
※ 건강검진 대상 및 항목 등 그 밖에 자세한 사항은 해당 지역의 보건소에서 확인할 수 있습니다."
임신·출산 진료비,"임신·출산 진료비 지원
국민건강보험공단(이하 “공단”이라 함)은 임산부에게 건강한 태아의 분만과 산모의 건강관리를 위하여 임신한 건강보험 가입자 또는 피부양자(출산한 가입자 또는 피부양자를 포함)의 임신과 출산에 관련된 진료비(출산 전후 건강관리와 관련된 진료포함)를 전자바우처(국민행복카드)로 일부 지원하고 있습니다(「국민건강보험법」 제50조 및 「국민건강보험법 시행령」 제23조).
※ “피부양자”란 다음의 어느 하나에 해당하는 사람 중 직장가입자에게 주로 생계를 의존하는 사람으로서 보수나 소득이 없는 사람을 말합니다(「국민건강보험법」 제5조제2항). 직장가입자의 배우자 직장가입자의 직계존속(배우자의 직계존속을 포함) 직장가입자의 직계비속(배우자의 직계비속을 포함)와 그 배우자 직장가입자의 형제·자매
이용권(국민행복카드)발급 및 사용범위
임신·출산 진료비 이용권의 발급을 신청하려는 사람은 산부인과 전문의(임신·출산 사실 확인) 또는 조산사(출산 사실 확인)가 그 사실을 확인한 신청서를 공단에 제출해야 합니다(「국민건강보험법 시행령」 제23조제4항 및 「국민건강보험법 시행규칙」 제24조제1항).
임신·출산 진료비 지원 대상은 다음과 같습니다(「국민건강보험법 시행령」 제23조제2항).
임신·출산한 가입자 또는 피부양자
1세 미만인 가입자 또는 피부양자의 법정대리인(출산한 가입자 또는 피부양자가 사망한 경우로 한정)
이용권으로 결제할 수 있는 비용은 다음과 같습니다(「국민건강보험법 시행령」 제23조제3항).
임신·출산과 관련된 진료에 드는 비용
임신·출산과 관련하여 처방된 약제·치료재료의 구입에 드는 비용
1세 미만 영유아의 진료에 드는 비용
1세 미만 영유아에게 처방된 약제·치료재료의 구입에 드는 비용
이용권은 출산한 가입자의 출산일부터 1년이 되는 날 또는 1세 미만 영유아의 출생일부터 1년이 되는 날(출산한 가입자 또는 피부양자가 사망한 경우로 한정)까지 사용할 수 있습니다(「국민건강보험법 시행령」 제23조제6항).
이용권으로 결제할 수 있는 금액의 상한은 다음과 같습니다. 다만, 보건복지부장관이 필요하다고 인정하여 고시하는 경우에는 상한을 초과하여 결제가 가능합니다(「국민건강보험법 시행령」 제23조제7항).
하나의 태아를 임신·출산한 경우: 60만원
둘 이상의 태아를 임신·출산한 경우: 100만원
※ 그 밖에 임신·출산 진료비 지원과 관련된 더 자세한 사항은 「임신·출산 진료비 지급 등에 관한 기준」(보건복지부 고시 제2020-145호, 2020. 7. 9. 발령·시행)에서 확인할 수 있습니다.※ 임신·출산 진료비 지원제도 더 자세히 알아보기※ 국민행복카드 더 자세히 알아보기
임신·출산 진료비 개요
임신한 수급권자와 태아의 건강상태 확인 및 안전한 출산을 위해 의료급여기관에서 받는 임신·출산 진료(출산 전후 산모와 그 산모의 1세 미만인 자녀의 건강관리와 관련된 진료를 포함)에 드는 비용과임신 및 출산과 관련하여 처방된 약제·치료재료(출산 전후 산모와 그 산모의 1세 미만 자녀의 건강관리와 관련하여 처방된 약제·치료재료를 포함)의 구입에 드는 비용을 지원하고 있습니다(「의료급여법 시행규칙」 제8조의2).
※ ""수급권자""란 「의료급여법」에 따라 의료급여를 받을 수 있는 자격을 가진 사람을 말합니다(「의료급여법」 제2조제1호).
지원 대상
의료급여 수급권자 중 임신이 확인된 사람
지원 금액
임신·출산 진료비는 의료급여 1, 2종을 불문하고 임신이 확인된 의료급여 수급권자에게 다음의 구분에 따른 금액의 범위에서 임신한 수급권자 본인이 부담하는 금액을 지원합니다(「의료급여법 시행규칙」제8조의2제1항 본문).
하나의 태아를 임신한 경우 : 60만원
둘 이상의 태아를 임신한 경우 : 100만원
※ 다만, 수급권자의 주민등록지가 임신 및 출산과 관련된 진료를 용이하게 받기 어려운 지역에 속하는 경우에는 20만원을 추가한 금액의 범위에서 임신·출산 진료비를 지원합니다.
※ 그 밖에 의료급여 임신·출산 진료비 지원과 관련된 더 자세한 사항은 「임신·출산 진료비 등의 의료급여기준 및 방법」(보건복지부 고시 제2020-149호, 2020. 7. 14. 발령·시행)에서 확인할 수 있습니다.※ 의료급여 임신·출산 진료비 자세히 알아보기
※ 출산축하금(출산장려금)지원• 출산축하금 지원제도 일부 지방자치단체에서는 출산에 드는 비용을 지원하고 출산을 장려하기 위해서 자녀를 출산하거나 일정 수 이상의 자녀를 출산한 경우 일정 금액의 출산축하금을 지급하는 출산축하금제도를 시행하고 있습니다(「저출산·고령사회기본법」 제4조 및 제10조).• 출산축하금 지원 신청 출산축하금제도는 각 지역별로 실시 여부, 지원 내용, 신청방법, 신청기간 등이 차이가 있으니, 자세한 내용은 본인이 거주하는 지역의 시·군·구청에 문의하시거나 해당 지방자치단체의 조례(국가법령정보센터, 자치법규)를 확인하시기 바랍니다."
난임부부 시술비,"‘난임’이란?
“난임”이란 부부(사실상의 혼인관계에 있는 경우 포함)가 피임을 하지 아니한 상태에서 부부간 정상적인 성생활을 하고 있음에도 불구하고 1년이 지나도 임신이 되지 않는 상태를 말합니다(「모자보건법」제2조제11호).
국가는 일정소득 계층 이하의 난임부부의 경제적 부담을 줄임으로써 임신이나 출산의 사회·의료적 장애를 제거하기 위해 난임치료 시술비용의 일부를 지원하고 있습니다.
지원 대상자(난임부부 시술비 지원사업, p.98-99)
난임부부 시술비 지원을 받으려면 다음의 요건을 모두 갖추어야 합니다.
난임시술을 요하는 의사의 ʻ난임진단서ʼ 제출자(난임진단서는 지침상 서식이어야 함)
법적 혼인상태에 있거나, 신청일 기준 1년 이상 사실상 혼인관계를 유지하였다고 관할 보건소로부터 확인된 난임부부(매 회차시마다 지원신청 접수일 기준)
부부 중 한 명은 대한민국 국적이어야 하며, 나머지 한 명이 외국 국적인 경우에는 부부 모두 건강보험 가입자인 사람
지원 내용지원 내용(난임부부 시술비 지원사업, p.99)
지원범위：체외수정(신선배아, 동결배아), 인공수정 시술비 중 일부 및 전액본인부담금, 비급여 3종(배아동결비, 유산방지제 및 착상보조제)
지원시술횟수：신선배아 최대 7회, 동결배아 최대 5회, 인공수정 최대 5회
1회당 신선배아(1~4회 최대 110만원, 5~7회 최대 90만원), 동결배아(1~3회 최대 50만원, 4~5회 최대 40만원), 인공수정(1~3회 최대 30만원, 4~5회 최대 20만원), 45세 이상자는 확대차수금액 적용
신청방법
부인의 주소지 관할 시·군·구 보건소에서 언제든지 신청할 수 있습니다.
※ 난임부부 시술비 지원 선정기준 더 자세히 알아보기"
영유아 보육료 지원,"영유아 보육
“영유아 보육”이란 6세 미만의 취학 전 아동을 안전하고 건강하게 보호·양육하고 영유아의 발달특성에 적합한 교육을 제공하는 어린이집 및 가정양육 지원에 관한 사회복지서비스를 말합니다(「영유아보육법」 제2조제1호 및 제2호).
어린이집 이용
“어린이집”이란 친권자·후견인이나 그 밖의 사람으로서 영유아를 사실상 보호하고 있는 보호자의 위탁을 받아 영유아를 보육하는 기관을 말합니다(「영유아보육법」 제2조제3호 및 제4호).
어린이집의 이용대상은 보육이 필요한 영유아를 원칙으로 하며, 필요한 경우 어린이집의 원장은 만 12세까지 연장하여 보육할 수 있습니다(「영유아보육법」 제27조).
지원대상 및 지원금액
어린이집을 이용하는 영유아의 보육료를 지원하여 양육의 부담을 덜고 가정의 경제를 돕습니다.
만 0~2세 영유에 대해서는 아이와 부모의 다양한 보육서비스 요구 상황에 맞게 지원을 다양화하고자 맞춤형 보육에 따라 종일반과 맞춤반으로 나누어 보육료를 지원받을 수 있습니다
종일반은 주중 오전 7시 30분부터 저녁 7시 30분까지 12시간 동안, 토요일은 오전 7시 30분부터 오후 3시 30분까지 8시간 동안 이용 가능합니다.
맞춤반은 주중 오전 9시부터 오후 3시까지 6시간 동안 이용가능하며, 맞춤반 보육시간 이외의 시간에 추가 보육서비스가 필요한 경우에는 월 15시간의 긴급보육바우처를 사용하여 이용시간을 탄력적으로 조정할 수 있습니다.
연령 종일반 맞춤반
만 0세 454,000원 354,000원
만 1세 400,000원 311,000원
만 2세 331,000원 258,000원
신청방법은 등록지 읍/면/동 주민센터에 방문하거나 복지로로 온라인신청(online.bokjiro.go.kr)을 합니다(보건복지부, 「2020년 보육사업안내」p 340~342.).
※ 만 0~2세 영유아 보육료지원 더 자세히 알아보기
지원대상
유치원 및 어린이집에 다니는 만 3세~5세의 모든 유아에게 월 22만원의 유아학비와 보육료를 지원합니다.
※ “유아교육”이란 「유아교육법」에 따른 유치원에서의 유아에 대한 교육을 말하며, “유치원”이란 「유아교육법」에 따라 만 3세 이상 초등학교 취학 전 어린이를 교육하기 위해 설립·운영되는 학교를 말합니다(「유아교육법」 제2조제1호 및 제2호).
누리과정 유아학비 또는 보육료 지원을 신청한, 국·공·사립유치원 및 어린이집에 다니는 만 3~5세 유아를 지원합니다.
종류 지원대상
장애아에 대한 보육료  ▪ 원칙 : 장애인복지카드(등록증)를 소지한 만 12세 이하의 미취학 장애아동▪ 예외: 특수교육대상자로 선정된 만 3~5세 아동이 특수교육대상자 진단·평가 결과 통지서를 제출한 경우
다문화 보육료  ▪ 「다문화가족지원법」 에 따른 다문화가족 자녀 중 초등학교 취학전 만 0~5세 아동(가구의 소득·재산수준과 관계없이 연령별 보육료 정부지원단가 지원)
방과 후 보육료 ▪ 장애아동 및 차상위 이하(법정저소득층 포함) 일반아동에 해당되는 취학아동이 방과후에 어린이집을 일일 4시간 이상 이용하는 경우
그 밖의 연장형 보육료 ▪ 야간연장, 야간12시간, 24시간, 휴일보육료를 포함▪ 만0~2세 연장보육료(기본보육시간 보육료 지원아동은 휴일보육료만 지원가능), 만3~5세 누리과정 보육료, 다문화 보육료 및 장애아 보육료(취학전) 지원아동
※ 그 밖의 영유아 보육 더 자세히 알아보기"
