cate2,paragraph
어린이집의 개념 및 종류,"어린이집이란
어린이집이란 보호자의 위탁을 받아 영유아를 보육하는 기관을 말합니다(「영유아보육법」 제2조제3호).
국공립어린이집
국공립어린이집이란 국가나 지방자치단체가 설치·운영(위탁운영 포함)하는 어린이집을 말합니다(「영유아보육법」 제10조제1호).
￭ 국가 또는 지방자치단체의 장이 소속 공무원을 위하여 설치·운영하는 어린이집은 직장어린이집으로 분류됩니다(「영유아보육법」 제10조제4호 참조).
사회복지어린이집
사회복지어린이집이란 「사회복지사업법」 에 따른 사회복지법인이 설치·운영하는 어린이집을 말합니다(「영유아보육법」 제10조제2호).
법인·단체등어린이집
법인·단체등어린이집이란 각종 법인(사회복지법인을 제외한 비영리법인)이나 단체 등이 설치·운영하는 어린이집으로서 다음의 어느 하나에 해당하는 어린이집을 말합니다(「영유아보육법」 제10조제3호 및 「영유아보육법 시행령」 제18조의2).
「유아교육법」, 「초·중등교육법」 및 「고등교육법」에 따른 법인 또는 학교법인이 설치·운영하는 어린이집
종교단체가 설치·운영하는 어린이집
「산업재해보상보험법」에 따른 근로복지공단이 설치·운영하는 어린이집
「영유아보육법」 제21조제2항제2호에 따른 교육훈련시설이 설치·운영하는 어린이집
그 밖에 보건복지부장관이 정하는 어린이집
직장어린이집
사업주가 사업장의 근로자를 위하여 설치·운영하는 어린이집(국가나 지방자치단체의 장이 소속 공무원 및 국가나 지방자치단체의 장과 근로계약을 체결한 사람으로서 공무원이 아닌 사람을 위하여 설치·운영하는 어린이집을 포함)을 말합니다(「영유아보육법」 제10조제4호).
가정어린이집
가정어린이집이란 개인이 가정이나 그에 준하는 곳에 설치·운영하는 어린이집을 말합니다(「영유아보육법」 제10조제5호).
협동어린이집
협동어린이집이란 보호자 또는 보호자와 보육교직원이 조합(영리를 목적으로 하지 아니하는 조합만 해당)을 결성하여 설치·운영하는 어린이집을 말합니다(「영유아보육법」 제10조제6호).
민간어린이집
민간어린이집은 국·공립어린이집, 사회복지법인어린이집, 법인·단체등어린이집, 가정어린이집, 협동어린이집, 직장어린이집에 해당하지 않는 어린이집을 말합니다(「영유아보육법」 제10조제7호 참조)."
어린이집 설치 가이드,"어린이집 설치 전 상담
「영유아보육법」 제13조제1항과 「영유아보육법」 제14조제1항에 따라 어린이집을 설치하려는 자는 해당 지역의 보육수요 등 지역적 여건과 어린이집 설치기준 등에 대해 관할 특별자치도지사·시장·군수·구청장(자치구의 구청장을 말함, 이하 같음)과 미리 상담할 수 있습니다(「영유아보육법 시행규칙」 제4조의3 전단).
어린이집 설치 인가신청
국공립어린이집을 제외한 사회복지법인어린이집, 법인·단체등 어린이집, 직장어린이집, 가정어린이집, 협동어린이집 및 민간어린이집을 설치·운영하려는 경우에는 관할 특별자치도지사·시장·군수·구청장에게 인가를 받아야 합니다(「영유아보육법」 제13조제1항).
어린이집 설치인가를 받기 위해서는 어린이집 인가신청서에 다음의 서류(전자문서를 포함)를 첨부하여 관할 특별자치도지사·시장·군수·구청장에 제출해야 합니다(「영유아보육법 시행규칙」 제5조제1항 및 별지 제4호서식).
1 법인의 정관 및 출연금 등에 관한 서류(법인인 경우만 해당)
2 단체의 회칙 또는 규약(단체인 경우만 해당)
3 임대차계약서(부동산을 임차하는 경우만 해당)
4 어린이집의 구조별 면적이 표시된 평면도와 어린이집 및 설비 목록
5 어린이집의 원장의 자격을 증명하는 서류
6 보육교직원 채용계획서
7 어린이집 운영계획서(운영경비와 유지방법을 포함)
8 경비의 지급 및 변제 능력에 관한 서류(설립자가 개인인 경우만 해당)
9 인근 놀이터 이용계획서(영유아 50명 이상의 어린이집으로서 옥외놀이터나 옥내놀이터를 설치하지 아니하는 경우만 해당)
10 「도시가스사업법 시행규칙」 제25조 및 「액화석유가스의 안전관리 및 사업법 시행규칙」 제71조에 따른 정기검사증명서
11 「소방용품의 품질관리 등에 관한 규칙」 제5조에 따른 현장처리물품의 방염성능검사성적서 및 방염성능검사확인표시
￭ 보건복지부는 어린이집 설치 및 운영에 관한 사항을 매년 고시하고 있습니다. 자세한 사항은 [보건복지부, 「2020년 보육사업안내」(2020. 2.)]를 참고하시기 바랍니다.
직장어린이집의 설치
상시 여성근로자 300명 이상 또는 상시근로자 500명 이상을 고용하고 있는 사업장의 사업주는 직장어린이집을 설치해야 합니다(「영유아보육법」 제14조제1항 본문 및 「영유아보육법 시행령」 제20조제1항).
다만, 사업장의 사업주가 직장어린이집을 단독으로 설치할 수 없을 때에는 사업주 공동으로 직장어린이집을 설치·운영하거나, 지역의 어린이집과 위탁계약을 맺어 근로자 자녀의 보육을 지원해야 합니다(「영유아보육법」 제14조제1항 단서)."
어린이집 원장의 자격 등,"어린이집 원장
어린이집의 원장은 어린이집의 종류에 따라 「영유아보육법 시행령」 별표 1 제1호에 따른 자격을 가진 사람으로서 보건복지부장관이 검정·수여하는 자격증을 받은 사람이어야 합니다(「영유아보육법」 제21조제1항 및 「영유아보육법 시행령」 제21조).
어린이집 원장 자격의 일반기준
어린이집 원장 자격의 일반기준은 아래와 같습니다(「영유아보육법 시행령」 별표 1 제1호가목).
1 보육교사 1급 자격을 취득한 후 3년 이상의 보육 등 아동복지업무 경력이 있는 사람
2 「유아교육법」에 따른 유치원 정교사 1급 자격을 취득한 후 3년 이상의 보육 등 아동복지업무 경력이 있는 사람
3 유치원 원장의 자격을 가진 사람
4 「초·중등교육법」에 따른 초등학교 정교사 자격을 취득한 후 5년 이상의 보육 등 아동복지업무 경력이 있는 사람
5 「사회복지사업법」에 따른 사회복지사 1급 자격을 취득한 후 5년 이상의 보육 등 아동복지업무 경력이 있는 사람
6 「의료법」에 따른 간호사 면허를 취득한 후 7년 이상의 보육 등 아동복지업무 경력이 있는 사람
7 국가 또는 지방자치단체에서 7급 이상의 공무원으로 보육 등 아동복지업무에 5년 이상 근무한 경력이 있는 사람
가정어린이집 원장
가정어린이집의 경우 위 일반기준에서 정한 사람 외에 보육교사 1급 이상의 자격을 취득한 후 1년 이상의 보육업무 경력이 있는 사람도 어린이집 원장이 될 수 있습니다(「영유아보육법 시행령」 별표 1 제1호나목).
영아 전담 어린이집 원장
만 3세 미만의 영아만을 20명 이상 보육하는 어린이집(이하 “영아 전담 어린이집”이라 함)의 경우 위 일반기준에서 정한 사람 외에 간호사 면허를 취득한 후 5년 이상의 아동간호업무 경력이 있는 사람도 영아 전담 어린이집의 원장이 될 수 있습니다(「영유아보육법 시행령」 별표 1 제1호다목).
장애아 전문 어린이집 원장
「장애아동 복지지원법」 제32조에 따른 장애영유아 어린이집 중 12명 이상의 장애영유아를 보육할 수 있는 어린이집(이하 “장애아 전문 어린이집”이라 함)의 경우 ① 일반기준에서 정한 자격을 갖춘 사람으로서 대학(전문대학을 포함)에서 장애인복지 및 재활 관련 학과를 전공한 사람 또는 ② 일반기준에서 정한 자격을 갖춘 사람으로서 장애영유아 어린이집에서 2년 이상의 보육업무 경력이 있는 사람이 장애아 전문 어린이집의 원장이 될 수 있습니다(「영유아보육법 시행령」 별표 1 제1호라목).
￭ 사전직무교육이수▪ 일반기준, 가정어린이집, 영아 전담 어린이집, 장애아 전문 어린이집 원장의 자격을 갖추기 위해서는 80시간 이상의 사전직무교육을 받아야 합니다(「영유아보육법 시행규칙」 제11조의2제1항).
대학 또는 교육훈련시설이 운영하는 어린이집 원장
「고등교육법」에 따른 대학(전문대학을 포함) 또는 「영유아보육법」 제21조제2항제2호에 따른 교육훈련시설이 운영(위탁 또는 부설 운영을 말함)하는 어린이집 원장의 경우 위 일반기준에서 정한 사람 외에 어린이집을 운영하는 대학의 조교수 또는 교육훈련시설의 전임교수 이상으로서 보육 관련 교과목에 대하여 3년 이상의 교육 경력이 있는 사람도 원장이 될 수 있습니다(「영유아보육법 시행령」 별표 1 제1호마목).
명의대여 등의 금지
어린이집의 원장은 다른 사람에게 자기의 성명이나 어린이집의 명칭을 사용하여 어린이집의 원장의 업무를 수행하게 하거나 자격증을 대여해서는 안 됩니다(「영유아보육법」 제22조의2).
원장은 다른 사람에게 자격증을 빌려줘서는 안 되고, 빌려서도 안 됩니다(「영유아보육법」 제22조의2제2항).
원장은 위의 행위를 알선해서는 안 됩니다(「영유아보육법」 제22조의2제3항).
위반 시 제재
명의대여 금지 등의 의무를 위반하면 원장 자격이 취소될 수 있습니다(「영유아보육법」 제48조제1항제4호).
또한 ① 자기의 성명이나 어린이집의 명칭을 사용하여 어린이집의 원장의 업무를 수행하게 한 사람 및 그 상대방, ② 다른 사람에게 자격증을 빌려주거나 빌린 사람, ③ 자격증을 빌려주거나 빌리는 것을 알선한 사람은 1년 이하의 징역 또는 1천만원 이하의 벌금에 처해집니다(「영유아보육법」 제54조제4항제3호)."
어린이집의 입지조건,"어린이집을 설치할 수 있는 곳
어린이집은 보육수요·보건·위생·급수·안전·교통·환경 및 교통편의 등을 충분히 고려하여 쾌적한 환경을 갖춘 부지를 선정해야 합니다(「영유아보육법 시행규칙」 제9조제1항 및 별표 1 제1호가목).
위험시설의 배제
어린이집은 위험시설로부터 50m 이상 떨어진 곳에 위치해야 합니다(「영유아보육법 시행규칙」 별표 1 제1호나목 전단).
￭ 어린이집과 50m 이상 떨어져야 하는 위험시설▪ 「주택건설기준 등에 관한 규정」 제9조의2제1항 각 호의 시설을 말합니다(「영유아보육법 시행규칙」 별표 1 제1호나목 후단).
어린이집을 설치할 수 있는 건축물
어린이집은 「건축법」의 용도별 건축물의 종류 중 ‘노유자시설’에 설치할 수 있습니다(「영유아보육법 시행규칙」 별표 1 제1호다목 및 「건축법 시행령」 별표 1 제11호).
다만, 아래의 경우에는 ‘노유자시설’ 이외의 건축물에도 어린이집을 설치할 수 있습니다[「건축법 시행령」 별표 1 및 보건복지부, 「2020년 보육사업안내」(2020. 2.) p.3 ~ p.18 참조].
구분 용도별 건축물
국·공립어린이집  영유아 20명 이하를 보육하는 경우 단독주택 및 공동주택에 설치 가능
직장어린이집 ▪ 「건축법 시행령」 제2조제13호의 ‘부속용도’에 해당하는 곳에 직장어린이집을 설치하는 경우 「영유아보육법」, 「산업집적활성화 및 공장설립에 관한 법률」 및 관계법령(자치법규 포함)에 반하지 않는 경우에는 별도의 노유자 시설로의 용도변경 없이 설치 가능 ▪ 영유아 20명 이하를 보육하는 경우 단독주택 및 공동주택에 설치 가능
가정어린이집 ▪ 단독주택 및 공동주택에 설치 가능▪ 공공임대아파트 단지 내 가정어린이집은 해당 공공주택사업자와 협의하여 인가 가능(「공공주택 특별법」 제49조의9 참조)
협동어린이집 영유아 20명 이하를 보육하는 경우 단독주택 및 공동주택에 설치 가능
▪ 어린이집의 설치기준에 관한 자세한 사항은 [보건복지부, 「2020년 보육사업안내」(2020. 2.)]를 참고하시기 바랍니다."
어린이집의 재산 및 규모,"가정어린이집 및 민간어린이집
가정어린이집 및 민간어린이집은 시설로 사용되는 토지·건물의 소유권·전세권 등에 대한 부채비율이 100분의 50 미만이어야 합니다(「영유아보육법 시행규칙」 별표 1 제1호의2가목).
협동어린이집
협동어린이집은 보육영유아의 보호자 11명 이상 또는 보호자와 보육교직원을 합하여 11명 이상의 출자가 있어야 합니다(「영유아보육법 시행규칙」 별표 1 제1호의2나목).
어린이집의 시설 및 정원기준
어린이집은 다음의 인원을 보육할 수 있는 시설을 갖추어야 하며, 정원은 총 300명을 초과할 수 없습니다(「영유아보육법 시행규칙」 별표 1 제2호).
구분 인원수
국·공립어린이집 상시 영유아 11명 이상
직장어린이집 상시 영유아 5명 이상
사회복지법인어린이집, 법인·단체등 어린이집 및 민간어린이집 상시 영유아 21명 이상
가정어린이집 상시 영유아 5명 이상 20명 이하
협동어린이집 상시 영유아 11명 이상"
어린이집의 시설기준,"어린이집의 구조 및 설비의 일반기준
어린이집을 설치·운영하려는 경우에는 어린이집 설치기준을 갖춰야 합니다(「영유아보육법」 제15조).
어린이집의 구조 및 설비는 그 시설을 이용하는 영유아의 특성에 맞도록 해야 하며, 사적 용도를 위한 시설 등 영유아의 보육 목적에 부합하지 않는 시설은 설치할 수 없습니다[「영유아보육법 시행규칙」 별표 1 제3호가목1) 본문].
▪ 다만, 관할 특별자치도지사·시장·군수·구청장이 지역적 특수성을 고려하여 필요하다고 인정하는 경우에는 어린이집이 설치된 건물 내에 다음의 시설을 설치할 수 있습니다[「영유아보육법 시행규칙」 별표 1 제3호가목1) 단서].① 보육교직원의 기숙시설② 다함께돌봄센터(「아동복지법」 제44조의2) 또는 지역아동센터(「아동복지법」 제52조제1항제8호)√ 위 ②에 따른 시설을 설치하는 경우에는 다음의 기준을 준수해야 합니다[「영유아보육법 시행규칙」 별표 1 제3호가목2)].㉮ 어린이집이 설치된 건물의 최상층부터 설치하되, 어린이집과 다른 층에 설치할 것㉯ 시설에서 건물 외부로 통하는 출입구를 어린이집과 별도로 설치하는 등 공간을 분리할 것㉰ 「아동복지법」 등 관련 법령에 따라 비상재해대비시설 또는 전기·가스·수도 계량기를 설치·사용하는 경우에는 어린이집의 시설과 분리하여 설치·사용할 것
어린이집은 하나의 건물에 설치해야 합니다. 다만, 담 또는 울타리로 둘러싸인 동일 대지 안에 여러 개의 건물(모두 5층 이하여야 함)이 있는 경우 모든 건물의 전체가 어린이집으로 사용되고 옥외놀이터가 설치된 경우에는 그렇지 않습니다[「영유아보육법 시행규칙」 별표 1 제3호가목3)].
어린이집의 보육실을 포함한 시설면적(놀이터 면적은 제외한다)은 영유아 1명당 4.29㎡ 이상으로 합니다[「영유아보육법 시행규칙」 별표 1 제3호가목4) 후단].
▪ 그 밖에 어린이집의 보육실, 조리실, 목욕실, 화장실, 교사실, 급배수시설 등 실내설비 기준에 대한 자세한 사항은 「영유아보육법 시행규칙」 별표 1 제3호가목4)에서 확인할 수 있습니다.▪ 장애아 전문 어린이집의 설비 기준에 대한 자세한 사항은 「영유아보육법 시행규칙」 별표 1 제3호나목에서 확인할 수 있습니다.
놀이터의 설치
어린이집을 설치·운영하는 자는 놀이터를 설치해야 합니다(「영유아보육법」 제15조의2제1항 본문).
보육 정원 50명 이상인 어린이집(12개월 미만의 영아만을 보육하는 어린이집은 제외)은 영유아 1명당 3.5㎡ 이상의 규모로 옥외놀이터를 설치하는 것을 원칙으로 합니다[「영유아보육법」 제15조의2제1항 본문 및 「영유아보육법 시행규칙」 별표 1 제3호가목4)바)].
다만, ① 보육 정원 50명 미만인 어린이집 또는 ② 100m 이내에 「영유아보육법 시행규칙」 별표 1에서 정하는 기준을 충족하는 놀이터가 설치되어 있는 어린이집은 놀이터를 설치하지 않을 수 있습니다(「영유아보육법」 제15조의2제1항 단서).
▪ 위 규정에도 불구하고 특별자치도지사·시장·군수·구청장은 지방보육정책위원회의 심의를 거쳐 2005년 1월 29일 이전에 인가받은 어린이집이 도심지 및 도서·벽지 등 지역의 여건상 놀이터를 설치하기 곤란한 경우로서 보육상 지장이 없다고 인정하는 경우에는 놀이터를 설치하지 아니하거나 놀이터 설치 기준을 완화하여 변경인가할 수 있습니다(「영유아보육법」 제15조의2제2항).▪ 그 밖에 옥외놀이터 및 옥내놀이터의 설치 기준에 대한 자세한 사항은 「영유아보육법 시행규칙」 별표 1 제3호가목4)바)에서 확인할 수 있습니다.
비상재해대비시설의 설치
어린이집을 설치·운영하는 자는 반드시 1층과 2층 이상 등 「영유아보육법 시행규칙」 별표 1 제3호가목4)에서 정하는 설비기준을 갖춘 종류별 비상재해대비시설을 설치해야 합니다(「영유아보육법」 제15조의3제1항).
▪ 다만, 특별자치도지사·시장·군수·구청장은 2009년 7월 3일 이전에 이미 인가받은 어린이집(""기인가 어린이집""이라 함)이 비상재해 대비에 지장이 없다고 판단할 경우 종전 인가당시 기준을 적용할 수 있습니다. 이 경우, 특별자치도지사·시장·군수·구청장은 기인가 어린이집이 비상재해 대비에 지장이 없는지 여부를 판단하기 위해 비상재해대비시설기준 심의위원회를 구성·운영해야 하며 해당 위원회의 심의를 반드시 거쳐야 합니다(「영유아보육법」 제15조의3제2항).
폐쇄회로 텔레비전(CCTV)의 설치
어린이집을 설치·운영하는 자는 아동학대 방지 등 영유아의 안전과 어린이집의 보안을 위하여 「개인정보 보호법」 및 관련 법령에 따른 폐쇄회로 텔레비전(이하 ""폐쇄회로 텔레비전""이라 함)을 설치·관리해야 합니다(「영유아보육법」 제15조의4제1항 본문).
다만, 다음의 어느 하나에 해당하는 경우에는 그렇지 않습니다(「영유아보육법」 제15조의4제1항 단서).
어린이집을 설치·운영하는 자가 보호자 전원의 동의를 받아 시장·군수·구청장에게 신고한 경우
어린이집을 설치·운영하는 자가 보호자 및 보육교직원 전원의 동의를 받아 「개인정보 보호법」 및 관련 법령에 따른 네트워크 카메라를 설치한 경우
폐쇄회로 텔레비전을 설치하지 아니하거나 설치·관리의무를 위반한 경우에는 300만원 이하의 과태료를 부과 받습니다(「영유아보육법」 제56조제2항제4호).
▪ 그 밖에 폐쇄회로 텔레비전의 설치 기준에 대한 자세한 사항은 「영유아보육법 시행규칙」 별표 1 제3호가목4) 에서 확인할 수 있습니다.
위반 시 제재
보건복지부장관과 시·도지사 및 시장·군수·구청장은 「영유아보육법」 제15조의2와 「영유아보육법 시행규칙」 제9조제1항 및 별표 1에서 규정하고 있는 어린이집의 설치기준을 위반한 경우에는 어린이집의 원장 또는 그 설치·운영자에게 기간을 정해 그 시정 또는 변경을 명할 수 있습니다(「영유아보육법」 제44조제2호).
어린이집의 설치·운영자가 시정 또는 변경 명령을 위반하는 경우에는 1년 이내의 운영정지 또는 어린이집 폐쇄 처분을 받을 수 있습니다(「영유아보육법」 제45조제1항제3호).
보건복지부장관, 시·도지사 또는 시장·군수·구청장은 어린이집의 설치·운영자에게 어린이집 운영정지를 명하여야 하는 경우로서 그 운영정지가 영유아 및 보호자에게 심한 불편을 주거나 그 밖에 공익을 해칠 우려가 있으면 어린이집 운영정지 처분을 갈음하여 3천만원 이하의 과징금을 부과할 수 있습니다(「영유아보육법」 제45조의2제1항)."
어린이집의 명칭 정하기,"어린이집의 명칭
어린이집의 명칭은 ""OO 어린이집""으로 해야 합니다(「영유아보육법 시행규칙」 제23조 및 별표 8제1호가목).
▪ 이 명칭은 국공립어린이집이나 특별자치도지사·시장·군수·구청장의 인가를 받아 설치되는 어린이집만 사용할 수 있으며, 동일한 시·군·구에서는 동일한 명칭을 사용할 수 없습니다(「영유아보육법 시행규칙」 제23조 및 별표 8제1호나목).▪ ""OO어린이집""이라는 명칭 외에 다른 기관으로 오인할 수 있는 별도의 명칭을 표기하거나 병기하여서는 안 됩니다(「영유아보육법 시행규칙」 제23조 및 별표 8제1호다목).
인가를 받지 않고 어린이집의 명칭을 사용하면 1년 이하의 징역 또는 1천만원 이하의 벌금에 처해 집니다(「영유아보육법」 제54조제4항제1호)."
어린이집의 인가 대상 및 인가 신청,"인가받아야 하는 어린이집
국공립어린이집 외의 어린이집을 설치·운영하려면 특별자치도지사·시장·군수·구청장의 인가를 받아야 합니다(「영유아보육법」 제13조제1항).
어린이집 인가 신청
어린이집의 설치인가를 받으려는 자는 어린이집 인가신청서에 다음의 서류(전자문서를 포함)를 첨부하여 관할 특별자치도지사·시장·군수·구청장에게 제출해야 합니다(「영유아보육법 시행규칙」 제5조제1항 및 별지 제4호서식).
1 법인의 정관 및 출연금 등에 관한 서류(법인인 경우만 해당)
2 단체의 회칙 또는 규약(단체인 경우만 해당)
3 임대차계약서(부동산을 임차하는 경우만 해당)
4 어린이집의 구조별 면적이 표시된 평면도와 어린이집 및 설비 목록
5 어린이집의 원장의 자격을 증명하는 서류
6 보육교직원 채용계획서
7 어린이집 운영계획서(운영경비와 유지방법을 포함)
8 경비의 지급 및 변제 능력에 관한 서류(설립자가 개인인 경우만 해당)
9 인근 놀이터 이용계획서(영유아 50명 이상의 어린이집으로서 옥외놀이터나 옥내놀이터를 설치하지 아니하는 경우만 해당)
10 「도시가스사업법 시행규칙」 제25조 및 「액화석유가스의 안전관리 및 사업법 시행규칙」 제71조에 따른 정기검사증명서
11 「소방용품의 품질관리 등에 관한 규칙」 제5조에 따른 현장처리물품의 방염성능검사성적서 및 방염성능검사확인표시
인가를 받지 않고 어린이집을 운영하면 1년 이하의 징역 또는 1천만원 이하의 벌금에 처해집니다(「영유아보육법」 제54조제4항제1호).
어린이집 인가증
특별자치도지사·시장·군수·구청장은 어린이집을 인가한 경우에 신청인에게 어린이집 인가증을 발급합니다(「영유아보육법 시행규칙」 제5조제4항 및 별지 제5호서식).
인가증을 발급받은 어린이집은 방문자가 잘 볼 수 있는 곳에 인가증을 게시하여 인가받은 사실을 확인할 수 있도록 해야 합니다(「영유아보육법」 제13조제2항).
어린이집의 변경 인가
어린이집의 설치인가를 받아 어린이집을 운영하는 자는 ① 어린이집의 대표자, ② 어린이집의 종류·명칭·소재지 또는 보육정원을 변경하려는 경우에는 어린이집 변경인가신청서에 다음의 서류(전자문서를 포함)를 첨부하여 특별자치도지사·시장·군수·구청장에게 제출해야 합니다(「영유아보육법 시행규칙」 제5조의2제1항 및 별지 제6호서식).
1 법인의 이사회 회의록(법인의 대표자가 변경되는 경우만 해당)
2 경비의 지급 및 변제 능력에 관한 서류(대표자가 변경되고 변경되는 대표자가 개인인 경우만 해당)
3 변경되는 어린이집의 평면도(소재지 또는 보육정원의 변경 등으로 어린이집 시설이 변경되는 경우만 해당)
4 시설 및 재산에 관한 사용·처분계획서(소재지가 변경되는 경우만 해당)
5 보육 영유아에 대한 조치계획서(소재지가 변경되는 경우만 해당)
6 어린이집 인가증
7 임대차계약서(대표자 또는 소재지가 변경되는 경우로서 부동산을 임차하는 경우만 해당)
8 어린이집 운영계획서(운영경비와 유지방법을 포함하며, 대표자가 변경되는 경우만 해당)
9 인근 놀이터 이용계획서(대표자 또는 소재지가 변경되는 경우 중 영유아 50명 이상의 어린이집으로서 옥외놀이터나 옥내놀이터를 설치하지 아니하는 경우만 해당)
10 「도시가스사업법 시행규칙」 제25조 및 「액화석유가스의 안전관리 및 사업법 시행규칙」 제71조에 따른 정기검사증명서(소재지가 변경되는 경우만 해당)
11 「소방용품의 품질관리 등에 관한 규칙」 제5조에 따른 현장처리물품의 방염성능검사성적서 및 방염성능검사확인표시(대표자 또는 소재지가 변경되는 경우만 해당하되, 대표자만을 변경하면서 현장처리물품을 교체하지 않은 때에는 이에 대한 소방관서의 확인서로 갈음할 수 있음)
어린이집의 설치·운영자가 중요사항이 변경된 경우에도 변경인가 신청을 하지 않고 어린이집을 운영하는 경우에는 시정 또는 변경의 명령을 받을 수 있습니다(「영유아보육법」 제44조제1호).
어린이집의 설치·운영자가 시정 또는 변경 명령을 위반하는 경우에는 1년 이내의 운영정지 또는 어린이집 폐쇄 처분을 받을 수 있습니다(「영유아보육법」 제45조제1항제3호).
▪ 보건복지부장관, 시·도지사 또는 시장·군수·구청장은 시정 또는 정지명령을 위반하여 어린이집 운영정지를 명해야 하는 경우로서 그 운영정지가 영유아 및 보호자에게 심한 불편을 주거나 그 밖에 공익을 해칠 우려가 있으면 어린이집 운영정지 처분을 갈음하여 3천만원 이하의 과징금을 부과할 수 있습니다(「영유아보육법」 제45조의2제1항)."
사업자등록,"어린이집의 부가가치세 면세
어린이집은 부가가치세 면세가 가능한 업종으로 면세사업자로 신청할 수 있습니다(「부가가치세법」 제26조제1항제6호 및 「부가가치세법 시행령」 제36조제1항제1호).
▪ 부가가치세에 관한 자세한 사항은 국세청 홈페이지 (https://www.nts.go.kr/, 성실신고지원, 부가가치세)를 참고하시기 바랍니다.
어린이집의 사업자등록
어린이집을 설치하는 경우 사업개시일로부터 20일 이내에 사업자등록 신청서에 구비 서류를 갖추어 사업장 소재지 관할 세무서에 사업자등록을 해야 합니다(「소득세법」제168조,「부가가치세법」 제8조 준용).
사업자등록신청서 1부 (「부가가치세법 시행규칙」 별지 제4호서식)
어린이집 인가증 사본 1부
임대차계약서 사본(사업장을 임차한 경우만 해당) 1부
「상가건물 임대차보호법」이 적용되는 상가건물의 일부분을 임차한 경우에는 해당 부분의 도면 1부
사업자 단위로 등록하려는 사업자는 과세 적용 사업장 외의 사업장에 대하여 위 서류 및 사업장 소재지·업태·종목이 적힌 서류를 제출해야 함
「부가가치세법」 제8조제3항 부터 제5항에 따라 사업자단위로 등록하려는 사업자는 본점 또는 주사무소에 대하여 사업자 등록신청서를 관할 세무서장에게 제출해야 합니다(「부가가치세법 시행령」 제11조제2항).
▪ 사업자등록에 관한 자세한 사항은 국세청 홈페이지(https://www.nts.go.kr/)를 방문하시어 국세정보, 사업자등록안내를 참고하시기 바랍니다."
어린이집의 폐지·휴지 및 재개,"신고의무
인가된 어린이집을 폐지하거나 일정기간 운영을 중단하거나 운영을 재개하려는 경우에는 특별자치도지사·시장·군수·구청장(자치구의 구청장을 말함, 이하 같음)에게 미리 신고해야 합니다(「영유아보육법」 제43조제1항).
￭ 영유아 전원조치▪ 휴지·폐지를 하는 경우 어린이집에 보육 중인 영유아는 다른 어린이집으로 전원조치하는 등 영유아의 권익을 보호하기 위한 조치를 해야 합니다(「영유아보육법」 제43조제2항).
신고절차
인가된 어린이집을 폐지하거나 일정기간 운영을 중단(중단하는 기간은 1년 이내로 하되 특별자치도지사·시장·군수·구청장이 불가피하다고 인정하는 경우에는 그 기간을 1년의 범위에서 한 차례만 연장할 수 있음)하려는 자는 어린이집 폐지·휴지·재개 신고서(전자문서로 된 신고서 포함)에 아래의 서류를 첨부하여 특별자치도지사·시장·군수·구청장에게 2개월 전까지 제출하고 보육교직원 및 부모 등 보호자에게 알려야 합니다(「영유아보육법」 제43조제1항, 「영유아보육법 시행규칙」 제36조제1항 및 별지 제18호서식).
보육 영유아에 대한 전원조치(轉園措置) 계획서
어린이집의 재산에 관한 사용·처분계획서(부동산을 임차한 경우는 제외)
어린이집 인가증 또는 신고증(어린이집을 폐지하는 경우만 해당)
보육교직원의 인사기록카드(어린이집을 폐지하는 경우만 해당)
위반 시 제재
신고를 하지 않고 어린이집을 폐지하거나 일정기간 운영을 중단하거나 운영을 재개하면 500만원 이하의 과태료가 부과됩니다(「영유아보육법」 제56조제1항).
「영유아보육법」 제43조제1항에 따른 신고를 하지 않고 어린이집을 폐지하거나 일정기간 운영을 중단하거나 운영을 재개한 경우에는 보건복지부장관과 시·도지사 및 시장·군수·구청장은 어린이집의 원장 또는 그 설치·운영자에게 기간을 정하여 그 시정 또는 변경을 명할 수 있습니다(「영유아보육법」 제44조제7호).
어린이집의 설치·운영자가 시정 또는 변경 명령을 위반하는 경우에는 1년 이내의 운영정지 또는 어린이집 폐쇄 처분을 받을 수 있습니다(「영유아보육법」 제45조제1항제3호).
휴업·폐업 신고
등록한 사업자가 사업을 하다가 사업을 잠시 쉴 경우나 폐업을 하는 경우에는 지체 없이 관할 세무서에 휴업신고를 해야 합니다(「부가가치세법」 제8조제7항).
등록한 사업자가 휴업 또는 폐업한 경우에는 지체없이 휴업(폐업) 신고서에 사업자등록증과 폐업신고확인서를 첨부하여 세무서장(관할 또는 그 밖의 모든 세무서장을 말함)에게 제출해야 합니다(「부가가치세법」 제8조제7항,「부가가치세법 시행령」 제13조제1항, 제2항 및 「부가가치세법 시행규칙」 별지 제9호서식).
▪ 어린이집의 운영정지 및 폐쇄 처분에 관한 사항은 「영유아보육법 시행규칙」 제38조 및 별표 9에서 확인할 수 있습니다."
