cate2,paragraph
재혼금지기간,"재혼금지기간의 폐지
구 「민법」(법률 제7427호로 개정되기 전의 것)은 여자인 경우 혼인관계를 종료한 날부터 6개월 이내에는 재혼할 수 없다는 ‘재혼금지기간’을 두고 있었지만, 이 규정은 「민법」이 개정되면서 2005년 3월 31일부터 폐지되었습니다.
따라서 현재는 전혼(前婚)이 해소되면 기간의 제한 없이 언제든지 재혼할 수 있습니다."
사실상 이혼 상태에서의 재혼,"이혼하기로 합의하고 장기간 별거하는 등 사실상 이혼상태인 경우라도 법적 절차를 밟아 행정관청에 이혼신고를 하지 않으면 법률상 혼인이 해소된 것으로 인정되지 않습니다.     이러한 사실상 이혼상태에서 다른 사람과 재혼(혼인신고를 마친 재혼을 말함)하게 되면 배우자 있는 사람이 중복해서 혼인한 상태, 즉 중혼(重婚)이 되어, 당사자 및 이해관계인은 이를 이유로 그 재혼을 취소할 수 있게 됩니다.
사실상 이혼이란?
혼인신고를 한 부부가 이혼에 합의하고 장기간 별거하는 등 실질적으로 부부공동생활의 실체가 소멸했지만 형식적으로는 이혼신고를 하지 않은 상태를 사실상 이혼이라고 합니다. 이혼할 것을 전제로 별거하는 경우는 사실상 이혼에 해당하지만, 부부싸움으로 인한 일시적 별거나 가출은 사실상 이혼에 해당하는 것으로 볼 수 없습니다.
사실상 이혼 후 재혼할 수 있는지 여부
우리나라 법은 ① 협의이혼인 경우 법원의 협의이혼의사확인을 받아 행정관청에 이혼신고를 하거나 ② 재판상 이혼인 경우 법원의 이혼확정판결을 받은 때에만 이혼의 효력이 발생하는 것으로 규정하고 있습니다(「민법」 제836조제1항, 제840조, 「가족관계의 등록 등에 관한 법률」 제75조 및 제78조).
따라서 사실상 이혼상태인 경우 재혼하려면 위의 법적 이혼절차를 밟는 과정이 선행되어야 합니다. 그렇지 않으면 다음과 같은 문제가 발생할 수 있습니다(「민법」 제806조, 제810조, 제840조 및 제843조).
재혼 후 혼인신고를 한 경우
√ 이중[전혼(前婚)과 후혼(後婚)]으로 혼인관계가 존재하는 중혼(重婚)상태 발생하여 후혼, 즉 재혼이 취소될 수 있습니다.
재혼 후 혼인신고를 하지 않은 경우(중혼적 사실혼인 경우)
√ 재혼취소사유는 아니지만 전혼의 배우자(법률상 배우자)가 이를 이유로 재판상 이혼과 위자료를 청구할 수 있습니다.
중혼 금지 및 혼인취소
우리나라 법은 배우자가 있는 사람이 중복해서 혼인(혼인신고를 마친 혼인)하는, 이른바 중혼을 인정하지 않습니다(「민법」 제810조). 중혼은 혼인취소사유에 해당하므로(「민법」 제816조제1호), 중혼을 이유로 나중의 혼인(재혼)을 취소할 수 있습니다.
중혼을 이유로 한 혼인취소청구는 중혼 당사자 및 그 배우자(전·후혼), 직계혈속, 4촌 이내의 방계혈족 또는 검사가 중혼이 존속하는 동안 언제든지 할 수 있습니다(「민법」 제818조). 판례는 중혼 당사자의 일방이 사망(중혼관계 해소)한 후라도 전혼의 배우자 등이 취소청구를 할 수 있는 것으로 보고 있습니다(대법원 1993. 8. 24. 선고 92므907 판결, 대법원 1991. 12. 10. 선고 91므535 판결, 대법원 1986. 6. 24. 선고 86므9 판결 등).
※ 혼인취소청구에 관한 자세한 내용은 이 사이트(https://www.easylaw.go.kr) 『결혼준비자』의 <결혼 및 약혼제도-결혼무효·취소-어떤 경우에 결혼이 취소될 수 있나요?>에서 확인할 수 있습니다."
재혼대상자의 범위,"재혼대상자의 범위
이혼한 전(前) 배우자와는 다시 혼인할 수 있습니다.
그러나 다음에 해당하는 혈족 및 인척과는 재혼할 수 없으며, 만일 재혼하는 경우에는 그 재혼이 무효가 되거나 취소될 수 있습니다(「민법」 제809조, 제815조제2호부터 제4호까지 및 제816조제1호).
재혼 금지대상 재혼한 경우 효과
8촌 이내의 혈족(친양자 입양 전의 혈족을 포함)인 사람 재혼 무효
직계인척관계(예를 들어, 시아버지와 며느리, 장모와 사위, 계모와 계자 사이)가 있거나 있었던 사람
양부모계의 직계혈족관계(예를 들어, 양부와 양녀, 양모와 양자 사이)가 있었던 사람
6촌 이내의 혈족의 배우자, 배우자의 6촌 이내의 혈족(전 배우자의 형제자매 등), 배우자의 4촌 이내의 혈족의 배우자(전 배우자의 형제자매의 배우자 등)인 인척이거나 이러한 인척이었던 사람 재혼 취소(가능)
6촌 이내의 양부모계의 혈족이었던 사람
4촌 이내의 양부모계의 인척이었던 사람
참고: 혼인대상자의 범위 예시
1. 형부와 처제 사이의 혼인 A가 전 배우자의 여동생 B와 재혼한다고 할 때, A에게 B는 ‘배우자의 6촌 이내의 혈족’인 인척이었던 사람이고, B에게 A는 ‘6촌 이내의 혈족의 배우자’인 인척이었던 사람입니다. 따라서 A와 B가 혼인하더라도 당사자(A 또는 B), 그 직계존속, 4촌 이내의 방계혈족이 법원에 청구해서 그 혼인을 취소할 수 있습니다(「민법」 제816조제1호 및 제817조). 2. 사돈 사이의 혼인 A와 B는 부부인데, A의 남동생 C와 B의 여동생 D가 혼인한다고 할 때, C에게 D는 ‘혈족의 배우자의 혈족’이고, D에게 C는 ‘혈족의 배우자의 혈족’으로서 「민법」 제769조에서 말하는 인척의 범위에 포함되지 않습니다. 따라서 C와 D가 혼인하더라도 혼인 무효나 취소의 대상이 되지 않습니다."
전(前) 배우자의 유족연금 수급자격권 상실,"재혼으로 인한 유족연금 수급권 상실
산업재해보상보험, 국민연금, 공무원연금 등의 보험 또는 연금에 가입한 사람이 사망하면 그 배우자는 유족으로서 유족연금을 수령받을 수 있습니다. 이 유족연금 등은 사망한 사람에 의해 부양되고 있던 유족의 생활보장 등을 목적으로 하는 것으로서, 그 배우자가 재혼하면 유족연금의 지급목적이 종료된 것으로 보아 각 법률에서는 배우자의 유족연금 수급권 상실에 관해 규정하고 있습니다.
개별법에 따른 유족연금 수급권 상실 예시
다음에서 예시하고 있는 유족연금은 배우자인 수급권자가 재혼한 경우 그 수급권이 상실됩니다.
「산업재해보상보험법」에 따른 유족연금(「산업재해보상보험법」 제64조제1항제2호)
「국민연금법」에 따른 유족연금(「국민연금법」 제75조제1항제2호)
「공무원연금법」에 따른 퇴직유족연금(「공무원연금법」 제57조제1항제2호)
「공무원 재해보상법」에 따른 장해유족연금, 순직유족연금 또는 위험직무순직유족연금(「공무원 재해보상법」제40조제1항제2호)
「군인연금법」에 따른 유족연금(「군인연금법」 제29조제1항제2호)
「별정우체국법」에 따른 유족연금(「별정우체국법」 제27조의4제1항제2호)
「사립학교교직원 연금법」에 따른 유족연금(「사립학교교직원 연금법 시행령」 제46조의6제2호)"
전혼(前婚)으로 발생한 인척관계의 종료,"(협의·재판상) 이혼 후 재혼한 경우
전혼(前婚)이 이혼으로 해소된 후 재혼한 경우 전혼에서 생긴 인척관계는 문제되지 않습니다. 이혼하면 전(前) 배우자의 혈족과의 사이에 발생한 인척관계가 종료되기 때문입니다(「민법」 제775조제1항). 여기서 전 배우자의 혈족과의 사이에 발생한 인척이란 배우자의 혈족(시부모, 장인·장모, 처제, 시동생 등), 배우자의 혈족의 배우자(동서 등)를 말합니다(「민법」 제769조).
전(前) 배우자의 사망·실종선고 후 재혼한 경우
전혼이 배우자의 사망·실종선고로 해소된 경우라면 이혼한 경우와 달리 생존 배우자와 사망(실종선고를 받은) 배우자의 혈족과의 사이에 발생한 인척관계는 그대로 유지됩니다. 다만, 생존 배우자가 재혼하게 되면 그 때부터 전혼에서 발생한 인척관계가 종료됩니다(「민법」 제775조제2항).
재혼 후 배우자의 대습상속권(代襲相續權) 소멸
배우자가 재혼하면 전 배우자의 혈족과의 사이에 발생한 인척관계가 소멸하므로, 전 배우자의 사망(실종선고) 후 전 배우자의 직계존속(예를 들어, 시부모, 장인·장모)이 사망했을 때 전 배우자의 상속순위를 대신해서 상속받을 수 있는 권리인 대습상속권도 함께 소멸합니다(「민법」 제1001조 및 제1003조제2항)."
이혼ㆍ재혼사실의 가족관계등록부 기재,"2008년 1월 1일부터 「호적법」이 폐지되고 대신 가족관계등록제도를 규율하는 법률인 「가족관계의 등록 등에 관한 법률」 이 시행되고 있습니다.
가족관계등록부의 구성
2005년 2월 3일 헌법재판소의 헌법불합치결정[헌법재판소 2005. 2. 3. 2001헌가9·10·11·12·13·14·15, 2004헌가5(병합) 전원재판부 결정]에 따라 「호적법」이 폐지되고, 호주(戶主)제도를 대체하는 가족관계등록제도에 관한 법률인 「가족관계의 등록 등에 관한 법률」(법률 제8435호, 2007. 5. 17.)이 제정되어 2008년 1월 1일(국적 취득과 상실에 관한 일부 규정은 2008년 9월 1일)부터 시행되고 있습니다.
「가족관계의 등록 등에 관한 법률」은 호주(戶主)를 중심으로 가(家)를 편제하고 가족들의 신분에 관한 모든 사항을 기재하던 호적과 달리, 호주를 없애고 가족을 각 개인으로 구별해서 1인당 1개의 가족관계등록부를 작성하도록 하고 있습니다.
혼인 관련 사항이 기재되는 증명서는 가족관계증명서, 혼인관계증명서이며 각 증명서에 대한 일반증명서의 기재사항은 다음과 같습니다(「가족관계의 등록 등에 관한 법률」 제15조제2항).
가족관계증명서
√ 본인의 등록기준지·성명·성별·본·출생연월일 및 주민등록번호
√ 부모의 성명·성별·본·출생연월일 및 주민등록번호(입양의 경우 양부모를 부모로 기록. 다만, 단독입양한 양부가 친생모와 혼인관계에 있는 때에는 양부와 친생모를, 단독입양한 양모가 친생부와 혼인관계에 있는 때에는 양모와 친생부를 각각 부모로 기록)
√ 배우자, 생존한 현재의 혼인 중의 자녀의 성명·성별·본·출생연월일 및 주민등록번호
혼인관계증명서
√ 본인의 등록기준지·성명·성별·본·출생연월일 및 주민등록번호
√ 배우자의 성명·성별·본·출생연월일 및 주민등록번호
√ 현재의 혼인에 관한 사항
가족관계증명서와 혼인관계증명서의 상세증명서의 기재사항은 위의 기재사항에 다음의 사항을 추가한 것입니다(「가족관계의 등록 등에 관한 법률」 제15조제3항).
가족관계증명서: 모든 자녀의 성명·성별·본·출생연월일 및 주민등록번호
혼인관계증명서: 혼인 및 이혼에 관한 사항"
재혼 무효,"① 혼인 당사자 사이에 혼인에 대한 합의가 없는 경우, ② 8촌 이내의 혈족간 혼인인 경우, ③ 혼인 당사자 사이에 직계인척관계가 있거나 있었던 경우, ④ 혼인 당사자 사이에 양부모계의 직계혈족관계가 있었던 경우 그 재혼은 무효로 됩니다. 재혼이 무효로 되면 그 혼인은 처음부터 없었던 것이 되기 때문에 부부관계를 전제로 한 법률관계가 무효로 됩니다. 한편, 혼인 무효에 대한 책임이 있는 상대방에게는 그로 인한 재산상ㆍ정신상 손해배상을 청구할 수 있습니다. 또한, 재혼이 무효로 되면 재혼 당사자 사이에 출생한 자녀는 혼인 외의 출생자가 됩니다.
재혼 무효 사유
다음의 어느 하나에 해당하는 경우에는 재혼이 무효로 됩니다(「민법」 제815조).
당사자 사이에 혼인에 대한 합의가 없는 경우
8촌 이내의 혈족(친양자의 입양 전 혈족을 포함)간 혼인인 경우
당사자 사이에 직계인척관계가 있거나 있었던 경우(예를 들어, 시아버지와 며느리, 장모와 사위, 계모와 계자 사이)
당사자 사이에 양부모계의 직계혈족관계가 있었던 경우(예를 들어, 양부와 양녀, 양모와 양자 사이)
소송의 제기권자
혼인무효확인소송은 당사자, 법정대리인 또는 4촌 이내의 친족이 가정법원에 제기할 수 있습니다(「가사소송법」 제23조).
소송의 상대방
혼인무효확인소송은 ① 부부의 일방이 제기한 경우에는 배우자가, ② 제3자가 제기한 경우에는 부부가, ③ 소송의 상대방이 될 사람이 사망한 경우에는 검사가 소송의 상대방이 됩니다(「가사소송법」 제24조).
조정절차의 생략
혼인무효확인소송은 법원의 조정절차를 거치지 않습니다(「가사소송법」 제50조제1항).
재혼의 해소
재혼이 무효로 되면 당사자는 처음부터 부부가 아니었던 것으로 됩니다. 따라서 일상가사대리, 상속 등 부부임을 전제로 한 법률관계는 모두 무효로 됩니다.
손해배상청구
당사자 일방의 과실로 재혼이 무효가 된 경우 상대방은 그에 대한 재산상·정신상의 손해를 배상할 것을 청구할 수 있습니다(「민법」 제806조 및 제825조).
자녀에 대한 효과
재혼이 무효로 되면 재혼 부부 사이에 출생한 자녀는 혼인 외의 출생자가 됩니다(「민법」 제855조제1항)
따라서 그 자녀는 모(母)의 성(姓)과 본(本)을 따르게 됩니다(「민법」 제781조제3항). 다만, 부(父)가 혼인 외의 출생자를 자신의 자녀로 인지(認知)한 경우에는 부(父)의 성과 본을 따를 수도 있고, 부모의 합의에 따라 종전대로 모(母)의 성과 본을 따를 수도 있습니다(「민법」 제781조제1항 및 제5항)."
재혼 취소,"① 혼인적령(만 18세)에 도달하지 않은 경우, ② 미성년자 또는 금치산자가 동의 없이 혼인한 경우, ③ 근친 간 혼인한 경우, ④ 중혼(重婚)인 경우, ⑤ 혼인 당시 당사자 일방에게 부부생활을 할 수 없는 악질ㆍ사유가 있음을 알지 못한 경우, ⑥ 사기 또는 강박으로 인해 혼인의 의사표시를 한 경우 그 재혼은 취소될 수 있습니다.     재혼이 취소되면 그 혼인은 장래를 향해서 해소되기 때문에 혼인이 취소되기 전에 한 법률행위는 그대로 유지됩니다. 한편, 혼인 취소에 대한 책임이 있는 상대방에게는 그로 인한 재산상ㆍ정신상 손해배상을 청구할 수 있습니다. 또한, 재혼이 취소되면 자녀에 대한 친권자는 가정법원이 직권으로 정하며, 양육자에 대해 당사자 사이에 합의가 없는 경우에는 당사자의 청구 또는 직권으로 가정법원이 양육자를 결정합니다.
재혼 취소 사유
다음의 어느 하나에 해당하는 경우에는 재혼이 취소될 수 있습니다(「민법」 제816조, 제819조 및 제820조).
혼인적령(만 18세)에 도달하지 않은 경우
미성년자 또는 피성년후견인이 부모 또는 성년후견인의 동의 없이 혼인한 경우
√ 이 경우 당사자가 19세에 달한 후 또는 성년후견종료의 심판이 있은 후 3개월이 지나거나 결혼 중 임신하면 취소를 청구할 수 없습니다.
6촌 이내의 혈족의 배우자, 배우자의 6촌 이내의 혈족, 배우자의 4촌 이내의 혈족의 배우자인 인척이거나 이러한 인척이었던 사람과 혼인한 경우
√ 이 경우 당사자가 혼인 중 임신하면 취소를 청구할 수 없습니다.
6촌 이내의 양부모계의 혈족이었던 사람과 4촌 이내의 양부모계의 인척이었던 사람과 혼인한 경우
√ 이 경우 당사자가 혼인 중 임신하면 취소를 청구할 수 없습니다.
중혼(重婚)인 경우
혼인 당시 당사자 일방에게 부부생활을 계속할 수 없는 악질이나 그 밖의 중대 사유가 있음을 알지 못한 경우
√ 이 경우 상대방은 취소사유가 있음을 안 날부터 6개월이 지나면 취소를 청구할 수 없습니다.
사기 또는 강박으로 인해 혼인의 의사표시를 한 경우
√ 이 경우 사기를 안 날 또는 강박을 면한 날부터 3개월이 지나면 취소를 청구할 수 없습니다.
소송의 제기권자
혼인취소소송은 다음에 해당하는 사람이 제기할 수 있습니다(「민법」 제817조 및 제818조).
혼인취소소송의 원인 소송의 제기권자
혼인적령(만 18세)에 도달하지 않은 경우 당사자, 법정대리인
미성년자 또는 피성년후견인이 동의 없이 혼인한 경우 당사자, 법정대리인
6촌 이내의 혈족의 배우자, 배우자의 6촌 이내의 혈족, 배우자의 4촌 이내의 혈족의 배우자인 인척이거나 이러한 인척이었던 사람과 혼인한 경우 당사자, 직계존속,4촌 이내의 방계혈족
6촌 이내의 양부모계의 혈족이었던 사람과 4촌 이내의 양부모계의 인척이었던 사람과 혼인한 경우 당사자, 직계존속,4촌 이내의 방계혈족
중혼(重婚)인 경우 당사자, 배우자, 직계혈속,4촌 이내의 방계혈족, 검사
소송의 상대방
혼인취소소송은 ① 부부의 일방이 제기한 경우에는 배우자가, ② 제3자가 제기한 경우에는 부부가, ③ 소송의 상대방이 될 사람이 사망한 경우에는 검사가 소송의 상대방이 됩니다(「가사소송법」 제24조).
조정 신청
혼인취소소송을 제기하려면 우선 가정법원의 조정절차를 거쳐야 합니다(「가사소송법」 제2조제1항제1호나목 2) 및 제50조제1항).
소송의 제기 및 재판의 확정
① 조정을 하지 않기로 하는 결정이 있거나(「민사조정법」 제26조), ② 조정이 성립되지 않은 것으로 종결되거나(「민사조정법」 제27조), ③ 조정에 갈음하는 결정 등에 대해 2주 이내에 이의신청이 제기되어 그 결정이 효력을 상실한 경우(「민사조정법」 제34조)에는 조정신청을 한 때 소송이 제기된 것으로 보아, 조정절차가 종결되고 소송절차로 이행됩니다(「가사소송법」 제49조 및 「민사조정법」 제36조제1항).
이혼판결이 확정되면 부부 중 어느 한 쪽이 재판의 확정일부터 1개월 이내에 재판의 등본 및 확정증명서를 첨부해서 등록기준지 또는 주소지 관할 시청·구청·읍사무소 또는 면사무소에 혼인취소사실을 신고해야 합니다(「가족관계의 등록 등에 관한 법률」 제58조 및 제73조).
재혼의 해소(소급효의 불인정)
재혼이 취소되면 그 혼인은 장래를 향해서 해소되며, 소급효는 인정되지 않습니다(「민법」 제824조).
따라서 배우자 사이에 재산상속이 있은 후에 혼인이 취소되면 그 상속은 무효로 되지 않습니다(대법원 1996. 12. 23. 선고 95다48308 판결).
손해배상청구
당사자 일방의 과실로 재혼이 취소된 경우 상대방은 그에 대한 재산상·정신상의 손해를 배상할 것을 청구할 수 있습니다(「민법」 제806조 및 제825조).
인척관계의 종료
혼인이 취소되면 인척관계는 종료됩니다(「민법」 제775조제1항).
자녀에 대한 효과
재혼이 취소되더라도 재혼 중에 출생한 자녀는 혼인 중의 출생자로서의 지위가 유지됩니다.
재혼이 취소된 경우 자녀에 대한 양육책임은 당사자가 합의해서 정하고, 합의가 이루어지지 않거나 합의를 할 수 없을 경우에는 당사자의 청구 또는 직권으로 가정법원이 정하게 됩니다(「민법」 제824조의2 및 제837조). 한편, 자녀의 친권자는 가정법원이 직권으로 정하게 됩니다(「민법」 제909조제5항)."
중혼(重婚)이란?,"중혼은 배우자가 있는 사람이 다시 혼인하는 것을 말합니다.     중혼이 되는 경우로는 ① 협의이혼을 한 후 재혼했는데 그 이혼이 무효ㆍ취소판결을 받은 경우, ② 재판상 이혼을 한 후 재혼했는데 그 이혼확정판결을 기각하는 재심판결이 확정된 경우, ③ 전혼이 배우자 실종선고로 해소된 후 실종 배우자의 생존사실을 알면서도 재혼했는데 그 실종 배우자가 살아 돌아와 실종선고가 취소된 경우 등을 들 수 있습니다.
중혼
중혼이란 배우자가 있는 사람이 다시 혼인하는 것으로서(「민법」 제810조), 이중[전혼(前婚, 먼저 한 혼인)과 후혼(後婚, 나중에 한 혼인)]으로 혼인신고가 된 상태를 의미합니다. 따라서 배우자 외의 사람과 혼인하더라도 혼인신고를 하지 않은 사실혼 관계라면 중혼이 되지 않습니다.
협의이혼의 무효·취소판결
협의이혼을 한 후 재혼했는데 나중에 그 협의이혼이 이혼무효심판에 의해 무효로 확정된 경우 그 이혼은 처음부터 없었던 것으로 되기 때문에 전혼이 부활해서 후혼(재혼)은 중혼이 됩니다.
협의이혼을 한 후 재혼했는데 나중에 그 협의이혼이 이혼취소심판에 의해 취소로 확정된 경우 판례는 당초부터 이혼하지 않은 상태로 되돌아갔다고 할 수 있으므로 후혼(재혼)은 중혼이 되는 것으로 보고 있습니다(대법원 1984. 3. 27. 선고 84므9 판결).
이혼확정판결을 기각하는 재심판결
판례는 이혼심판청구를 인용(認容)하는 판결이 확정된 후 재혼했는데, 재심청구(「가사소송법」 제12조 및 「민사소송법」 제451조)에 의해 그 이혼심판청구를 기각하는 재심심판이 확정된 경우 후혼(재혼)은 중혼이 되는 것으로 보고 있습니다(대법원 1994. 10. 11. 선고 94므932 판결, 대법원 1991. 5. 28. 선고 89므211 판결, 대법원 1985. 9. 10. 선고 85므35 판결).
전(前) 배우자의 실종선고 취소
배우자가 실종선고를 받은 경우에는 사망한 것으로 간주되어(「민법」 제28조) 혼인이 해소됩니다. 만약 전 배우자가 살아 돌아온다면, 실종선고를 받은 본인, 이해관계인 또는 검사의 청구에 의해 실종선고가 취소됩니다(「민법」 제29조제1항 본문). 이 때 실종선고와 그 취소 사이에 재혼이 이루어진 경우 전 배우자의 실종선고가 취소되면 중혼이 되는지 여부가 문제됩니다.
재혼 당사자가 선의(善意)인 경우, 즉 실종 배우자의 생존사실을 모르고 재혼한 경우에는 전혼이 부활하지 않으므로 후혼(재혼)은 중혼이 되지 않습니다. 그러나 재혼 당사자가 악의(惡意)인 경우, 즉 실종 배우자의 생존사실을 알고 재혼한 경우에는 전혼이 부활해서 후혼(재혼)은 중혼이 됩니다(「민법」 제29조제1항 단서).
배우자의 실종선고를 통해 전혼을 해소한 것이 아니라 배우자의 생사불명을 사유로 이혼소송을 제기해서 전혼을 해소한 경우에는 전 배우자가 살아 돌아오더라도 재혼 당사자의 선의, 악의 여부를 불문하고 전혼이 부활하지 않습니다."
본인과 배우자의 관계,"중혼은 법률상 혼인관계가 둘 이상 존재하는 위법한 상태이지만, 그 자체로 당연히 무효가 되는 것이 아니라 혼인의 취소사유가 될 뿐입니다.     중혼이 취소되지 않는 한, 전혼(前婚)과 후혼(後婚) 모두 유효한 혼인으로 인정되기 때문에 중혼자인 본인은 전 배우자뿐만 아니라 재혼 배우자와도 법률상 부부로서 그 권리와 의무를 인정받습니다.
중혼(重婚) 효과
중혼은 법률상 혼인관계가 둘 이상 존재하는 위법한 상태이지만, 그 자체로 당연히 무효가 되는 것이 아니라 혼인의 취소사유가 될 뿐입니다(「민법」 제816조제1호).
본인과 전(前) 배우자·재혼 배우자의 관계
중혼을 이유로 나중에 한 혼인(재혼)이 취소되지 않는 한, 전혼과 후혼 모두 유효한 혼인으로 인정되기 때문에 중혼자인 본인은 전 배우자뿐만 아니라 재혼 배우자와도 법률상 부부로서 그 권리와 의무를 인정받습니다. 예를 들어, 중혼이 취소되지 않은 사이에 본인이 사망한 경우 전 배우자와 재혼 배우자가 모두 본인의 상속인이 되며, 반대의 경우에도 본인은 전·후 배우자의 상속인으로서의 지위를 모두 갖게 됩니다.
한편, 중혼을 이유로 재혼이 취소되면 전 배우자와만 법률상 부부관계가 유지되고, 재혼 배우자와의 부부관계는 종료됩니다."
